Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4402,3865,21224,9609,4.82,383
2,United Kingdom,Western Europe,1294,1163,7892,2142,6.1,223
3,China,Asiatic Region,1184,1110,5852,2938,4.94,118
4,Japan,Asiatic Region,887,728,2611,993,2.94,127
5,Canada,Northern America,848,784,4614,1040,5.44,197
6,Australia,Pacific Region,830,759,3548,966,4.27,178
7,Germany,Western Europe,766,719,3921,916,5.12,188
8,Italy,Western Europe,763,683,4636,1260,6.08,177
9,Netherlands,Western Europe,597,551,3196,580,5.35,184
10,Spain,Western Europe,555,520,3227,668,5.81,142
11,France,Western Europe,502,453,2322,369,4.63,158
12,Brazil,Latin America,337,312,1347,274,4.0,93
13,Sweden,Western Europe,326,309,2124,413,6.52,156
14,South Korea,Asiatic Region,316,304,1301,275,4.12,88
15,Turkey,Middle East,313,288,938,229,3.0,64
16,Switzerland,Western Europe,293,266,2041,249,6.97,130
17,Taiwan,Asiatic Region,249,214,929,230,3.73,84
18,Belgium,Western Europe,226,209,1289,177,5.7,112
19,Singapore,Asiatic Region,199,169,1218,258,6.12,74
20,Russian Federation,Eastern Europe,196,194,665,151,3.39,85
21,Israel,Middle East,180,165,1071,164,5.95,103
22,India,Asiatic Region,178,153,701,239,3.94,73
23,Ireland,Western Europe,175,154,1214,152,6.94,92
24,Hong Kong,Asiatic Region,166,147,806,143,4.86,92
25,Denmark,Western Europe,150,138,808,99,5.39,99
26,Iran,Middle East,148,144,715,182,4.83,45
27,Finland,Western Europe,145,133,653,115,4.5,116
28,Norway,Western Europe,135,132,896,150,6.64,94
29,Portugal,Western Europe,125,115,570,84,4.56,69
30,Poland,Eastern Europe,118,113,667,51,5.65,74
31,Greece,Western Europe,114,107,748,108,6.56,77
32,Austria,Western Europe,105,88,481,37,4.58,79
33,New Zealand,Pacific Region,105,94,702,121,6.69,80
34,Thailand,Asiatic Region,98,90,199,54,2.03,42
35,Mexico,Latin America,82,76,478,58,5.83,55
36,Malaysia,Asiatic Region,80,73,238,78,2.98,44
37,Colombia,Latin America,77,74,320,60,4.16,37
38,South Africa,Africa,69,61,240,34,3.48,36
39,Chile,Latin America,68,62,437,96,6.43,48
40,Czech Republic,Eastern Europe,58,53,328,28,5.66,51
41,Saudi Arabia,Middle East,55,53,298,38,5.42,40
