Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,69461,67099,1092494,484322,15.73,278
2,China,Asiatic Region,34125,33823,220288,93150,6.46,132
3,India,Asiatic Region,25646,24686,124214,52916,4.84,104
4,United Kingdom,Western Europe,18545,17727,360360,88507,19.43,203
5,Canada,Northern America,12747,12464,233564,45907,18.32,169
6,Germany,Western Europe,12688,12431,159414,39432,12.56,130
7,Australia,Pacific Region,10449,10132,172215,37533,16.48,137
8,Japan,Asiatic Region,10287,10138,66872,14958,6.5,80
9,Italy,Western Europe,9256,8943,106009,27211,11.45,108
10,France,Western Europe,7882,7711,108173,19948,13.72,118
11,Spain,Western Europe,6518,6382,92355,16708,14.17,114
12,South Korea,Asiatic Region,6444,6269,61038,9115,9.47,90
13,Netherlands,Western Europe,6338,6144,147256,22966,23.23,143
14,Taiwan,Asiatic Region,5636,5527,49926,7125,8.86,77
15,Iran,Middle East,4196,4133,43495,8033,10.37,83
16,Switzerland,Western Europe,4045,3921,64373,8960,15.91,103
17,Turkey,Middle East,3614,3567,37645,5410,10.42,78
18,Greece,Western Europe,3494,3414,41670,6499,11.93,81
19,Sweden,Western Europe,3435,3355,52980,8930,15.42,89
20,Brazil,Latin America,3421,3362,35101,6693,10.26,72
21,Russian Federation,Eastern Europe,3193,3167,9064,3125,2.84,33
22,Saudi Arabia,Middle East,2801,2712,26315,5608,9.39,67
23,Malaysia,Asiatic Region,2786,2712,34180,5937,12.27,81
24,Singapore,Asiatic Region,2672,2604,46952,5913,17.57,89
25,Finland,Western Europe,2521,2465,33840,4870,13.42,73
26,Portugal,Western Europe,2517,2423,24497,4189,9.73,63
27,Belgium,Western Europe,2502,2422,35085,4184,14.02,74
28,Denmark,Western Europe,2493,2428,44443,7162,17.83,83
29,Norway,Western Europe,2366,2322,38883,5170,16.43,82
30,Hong Kong,Asiatic Region,2334,2275,44751,3397,19.17,86
31,Romania,Eastern Europe,2333,2300,6827,1690,2.93,28
32,Indonesia,Asiatic Region,2281,2263,6617,2189,2.9,28
33,Pakistan,Asiatic Region,2278,2189,19384,5572,8.51,62
34,Bangladesh,Asiatic Region,2266,2235,12526,2856,5.53,44
35,Austria,Western Europe,2206,2147,31603,4060,14.33,75
36,Poland,Eastern Europe,1950,1898,17384,3536,8.91,49
37,Mexico,Latin America,1733,1696,11258,1682,6.5,40
38,Ireland,Western Europe,1670,1628,22511,2534,13.48,62
39,New Zealand,Pacific Region,1552,1508,19677,3615,12.68,60
40,Egypt,Africa/Middle East,1536,1515,13965,2094,9.09,54
41,Thailand,Asiatic Region,1391,1351,11653,1106,8.38,39
42,Czech Republic,Eastern Europe,1314,1282,8294,1523,6.31,40
43,Israel,Middle East,1222,1189,20953,2075,17.15,67
44,South Africa,Africa,1215,1153,13849,2656,11.4,58
45,United Arab Emirates,Middle East,1164,1135,7154,1050,6.15,37
46,Colombia,Latin America,924,915,7137,1017,7.72,35
47,Hungary,Eastern Europe,837,828,7267,979,8.68,39
48,Jordan,Middle East,793,778,5864,907,7.39,33
49,Iraq,Middle East,764,756,4320,1206,5.65,29
50,Argentina,Latin America,689,676,6327,905,9.18,33
51,Slovenia,Eastern Europe,632,624,8644,1014,13.68,41
52,Serbia,Eastern Europe,610,599,3197,544,5.24,27
53,Morocco,Africa,570,538,4357,856,7.64,27
54,Algeria,Africa,561,555,3538,421,6.31,31
55,Chile,Latin America,533,511,3872,512,7.26,28
56,Slovakia,Eastern Europe,519,418,1693,442,3.26,20
57,Croatia,Eastern Europe,501,470,3458,598,6.9,28
58,Sri Lanka,Asiatic Region,499,486,1646,257,3.3,17
59,Nigeria,Africa,491,451,3076,667,6.26,26
60,Tunisia,Africa,486,475,2868,511,5.9,27
61,Qatar,Middle East,466,456,5410,452,11.61,33
62,Viet Nam,Asiatic Region,445,420,3833,672,8.61,32
63,Bulgaria,Eastern Europe,427,418,1844,353,4.32,16
64,Cyprus,Western Europe,405,382,4650,1061,11.48,34
65,Peru,Latin America,378,371,1774,423,4.69,20
66,Ukraine,Eastern Europe,373,354,1133,407,3.04,14
67,Philippines,Asiatic Region,324,304,2475,528,7.64,23
68,Lebanon,Middle East,320,303,2491,304,7.78,22
69,Uzbekistan,Asiatic Region,302,297,144,48,0.48,5
70,Ethiopia,Africa,273,257,1724,463,6.32,24
71,Ecuador,Latin America,270,257,1441,247,5.34,17
72,Kenya,Africa,269,260,4766,723,17.72,33
73,Kazakhstan,Asiatic Region,255,253,962,153,3.77,15
74,Macao,Asiatic Region,243,238,2940,223,12.1,26
75,Lithuania,Eastern Europe,208,204,1583,234,7.61,20
76,Estonia,Eastern Europe,206,203,2148,301,10.43,22
77,Uganda,Africa,199,195,2283,391,11.47,24
78,Ghana,Africa,193,181,2455,247,12.72,22
79,Bosnia and Herzegovina,Eastern Europe,176,165,2286,296,12.99,18
80,Luxembourg,Western Europe,175,174,1964,238,11.22,23
81,Kuwait,Middle East,171,166,1615,122,9.44,18
82,Oman,Middle East,163,151,869,135,5.33,13
83,Venezuela,Latin America,149,146,1316,159,8.83,16
84,Bahrain,Middle East,143,140,789,60,5.52,10
85,Palestine,Middle East,134,127,706,65,5.27,14
86,Macedonia,Eastern Europe,127,126,724,90,5.7,14
87,Cuba,Latin America,123,123,1317,76,10.71,17
88,Tanzania,Africa,123,119,1386,227,11.27,21
89,Uruguay,Latin America,120,119,666,139,5.55,12
90,Yemen,Middle East,118,115,499,94,4.23,9
91,Iceland,Western Europe,102,99,1205,85,11.81,18
92,Montenegro,Eastern Europe,97,95,115,39,1.19,5
93,Malta,Western Europe,96,80,1853,60,19.3,15
94,Costa Rica,Latin America,92,89,186,52,2.02,6
95,Cameroon,Africa,90,88,892,83,9.91,17
96,Nepal,Asiatic Region,88,80,567,76,6.44,13
97,Malawi,Africa,83,81,835,66,10.06,14
98,Latvia,Eastern Europe,76,76,214,69,2.82,7
99,Fiji,Pacific Region,71,68,335,95,4.72,9
100,Sudan,Africa,70,68,432,57,6.17,10
101,Rwanda,Africa,68,65,353,35,5.19,7
102,Botswana,Africa,67,65,627,89,9.36,15
103,Mauritius,Africa,66,59,1006,24,15.24,11
104,Puerto Rico,Latin America,63,62,428,24,6.79,10
105,Zimbabwe,Africa,59,41,320,22,5.42,7
106,Senegal,Africa,59,58,229,43,3.88,7
107,Belarus,Eastern Europe,57,56,222,36,3.89,9
108,Zambia,Africa,52,50,467,39,8.98,10
109,Albania,Eastern Europe,51,46,129,33,2.53,6
110,Burkina Faso,Africa,51,49,388,69,7.61,11
111,Myanmar,Asiatic Region,47,46,229,15,4.87,8
112,Paraguay,Latin America,43,41,165,12,3.84,7
113,Georgia,Eastern Europe,42,39,484,8,11.52,10
114,Moldova,Eastern Europe,41,41,47,12,1.15,4
115,Brunei Darussalam,Asiatic Region,40,40,188,29,4.7,6
116,Panama,Latin America,37,36,268,5,7.24,8
117,Cambodia,Asiatic Region,36,36,445,48,12.36,13
118,Libya,Africa,36,36,215,20,5.97,9
119,Mongolia,Asiatic Region,32,32,178,14,5.56,6
120,Azerbaijan,Eastern Europe,31,30,74,15,2.39,5
121,Trinidad and Tobago,Latin America,31,30,442,18,14.26,9
122,Namibia,Africa,30,29,116,3,3.87,7
123,Afghanistan,Asiatic Region,28,28,211,9,7.54,6
124,Jamaica,Latin America,28,26,200,21,7.14,8
125,Syrian Arab Republic,Middle East,26,26,159,6,6.12,6
126,Armenia,Eastern Europe,26,26,142,6,5.46,7
127,Mali,Africa,24,24,335,24,13.96,9
128,Mozambique,Africa,23,22,202,38,8.78,9
129,Congo,Africa,23,21,596,40,25.91,9
130,Benin,Africa,22,21,154,18,7.0,7
131,Guatemala,Latin America,18,18,299,27,16.61,9
132,Côte d’Ivoire,Africa,17,16,213,9,12.53,6
133,Monaco,Western Europe,16,15,192,11,12.0,6
134,Sierra Leone,Africa,15,13,42,8,2.8,4
135,Swaziland,Africa,15,15,233,24,15.53,10
136,Barbados,Latin America,15,15,68,0,4.53,4
137,Gambia,Africa,15,15,118,4,7.87,5
138,Bhutan,Asiatic Region,14,13,43,6,3.07,4
139,Angola,Africa,12,12,86,1,7.17,2
140,Liberia,Africa,12,10,55,6,4.58,3
141,Laos,Asiatic Region,12,12,124,9,10.33,5
142,Dominican Republic,Latin America,11,11,54,7,4.91,5
143,Gabon,Africa,11,10,58,3,5.27,4
144,Honduras,Latin America,11,10,191,11,17.36,5
145,Nicaragua,Latin America,11,11,113,1,10.27,4
146,El Salvador,Latin America,11,11,31,8,2.82,3
147,Haïti,Latin America,9,9,91,26,10.11,6
148,Democratic Republic Congo,Africa,9,9,30,3,3.33,3
149,Solomon Islands,Pacific Region,9,3,42,4,4.67,2
150,Cayman Islands,Latin America,8,8,118,11,14.75,7
