Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,647,632,15318,9522,23.68,278
2,United Kingdom,Western Europe,289,264,2479,699,8.58,203
3,Japan,Asiatic Region,162,162,413,103,2.55,80
4,Netherlands,Western Europe,152,150,891,226,5.86,143
5,Germany,Western Europe,150,150,824,269,5.49,130
6,Italy,Western Europe,124,124,560,220,4.52,108
7,France,Western Europe,110,110,563,151,5.12,118
8,Canada,Northern America,68,68,1873,146,27.54,169
9,Greece,Western Europe,61,60,229,66,3.75,81
10,Spain,Western Europe,60,60,380,90,6.33,114
11,Denmark,Western Europe,60,59,455,174,7.58,83
12,Belgium,Western Europe,50,49,522,37,10.44,74
13,Sweden,Western Europe,45,44,184,65,4.09,89
14,Finland,Western Europe,41,41,234,52,5.71,73
15,Australia,Pacific Region,30,30,224,53,7.47,137
16,Switzerland,Western Europe,28,28,486,55,17.36,103
17,Austria,Western Europe,25,25,110,20,4.4,75
18,Turkey,Middle East,23,23,173,81,7.52,78
19,South Korea,Asiatic Region,22,22,114,13,5.18,90
20,China,Asiatic Region,22,22,82,15,3.73,132
21,Taiwan,Asiatic Region,22,22,199,81,9.05,77
22,Ireland,Western Europe,21,21,109,31,5.19,62
23,Egypt,Africa/Middle East,18,18,87,33,4.83,54
24,Poland,Eastern Europe,18,18,28,11,1.56,49
25,India,Asiatic Region,18,18,292,100,16.22,104
26,Slovenia,Eastern Europe,16,16,48,32,3.0,41
27,Romania,Eastern Europe,16,16,11,6,0.69,28
28,Norway,Western Europe,16,16,202,35,12.63,82
29,Brazil,Latin America,13,13,11,4,0.85,72
30,Israel,Middle East,12,12,53,9,4.42,67
31,Hong Kong,Asiatic Region,11,11,22,0,2.0,86
32,Hungary,Eastern Europe,11,11,79,7,7.18,39
33,Portugal,Western Europe,10,10,18,4,1.8,63
34,Czech Republic,Eastern Europe,8,8,4,3,0.5,40
35,Mexico,Latin America,7,7,41,18,5.86,40
36,Russian Federation,Eastern Europe,6,6,12,5,2.0,33
37,Croatia,Eastern Europe,6,6,28,7,4.67,28
38,Slovakia,Eastern Europe,5,5,23,18,4.6,20
39,New Zealand,Pacific Region,5,4,11,6,2.2,60
40,Venezuela,Latin America,5,5,16,5,3.2,16
41,Singapore,Asiatic Region,4,4,74,4,18.5,89
42,Bulgaria,Eastern Europe,4,4,18,3,4.5,16
43,Saudi Arabia,Middle East,3,3,11,7,3.67,67
44,Cyprus,Western Europe,3,3,35,6,11.67,34
45,Ukraine,Eastern Europe,3,3,0,0,0.0,14
46,South Africa,Africa,3,3,4,2,1.33,58
47,Iran,Middle East,3,3,11,0,3.67,83
48,Argentina,Latin America,2,2,0,0,0.0,33
49,Serbia,Eastern Europe,2,2,1,1,0.5,27
50,Chile,Latin America,2,2,0,0,0.0,28
51,Uruguay,Latin America,1,1,0,0,0.0,12
52,Uzbekistan,Asiatic Region,1,1,0,0,0.0,5
53,Macedonia,Eastern Europe,1,1,2,0,2.0,14
54,Latvia,Eastern Europe,1,1,0,0,0.0,7
55,Malaysia,Asiatic Region,1,1,0,0,0.0,81
56,Luxembourg,Western Europe,1,1,1,0,1.0,23
57,Peru,Latin America,1,1,0,0,0.0,20
58,Philippines,Asiatic Region,1,1,1,0,1.0,23
59,Lithuania,Eastern Europe,1,1,0,0,0.0,20
60,Puerto Rico,Latin America,1,1,3,0,3.0,10
61,Ghana,Africa,1,1,3,1,3.0,22
62,Algeria,Africa,1,1,19,0,19.0,31
63,Cuba,Latin America,1,1,2,1,2.0,17
64,Bahrain,Middle East,1,1,1,0,1.0,10
