Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,7738,6502,93072,50914,12.03,358
2,United Kingdom,Western Europe,2748,2444,41115,13029,14.96,297
3,Australia,Pacific Region,1410,1288,23791,6229,16.87,163
4,Canada,Northern America,1405,1285,18439,5099,13.12,203
5,Germany,Western Europe,944,748,13612,2694,14.42,141
6,Netherlands,Western Europe,750,688,15243,2581,20.32,178
7,Brazil,Latin America,666,615,5328,3193,8.0,85
8,Italy,Western Europe,539,467,6422,1534,11.91,121
9,China,Asiatic Region,498,477,7845,4181,15.75,106
10,Sweden,Western Europe,484,464,11234,1821,23.21,143
11,Switzerland,Western Europe,469,427,8303,1147,17.7,132
12,France,Western Europe,468,410,4904,797,10.48,121
13,India,Asiatic Region,425,377,3860,1229,9.08,76
14,South Africa,Africa,413,363,6377,1789,15.44,85
15,Spain,Western Europe,401,366,8933,1611,22.28,116
16,Norway,Western Europe,324,308,4701,851,14.51,98
17,Belgium,Western Europe,282,256,4141,542,14.68,105
18,Iran,Middle East,243,223,2804,872,11.54,63
19,Denmark,Western Europe,232,213,3343,525,14.41,92
20,Russian Federation,Eastern Europe,216,216,743,431,3.44,39
21,Thailand,Asiatic Region,201,193,1498,315,7.45,58
22,Japan,Asiatic Region,198,190,2297,741,11.6,77
23,New Zealand,Pacific Region,170,149,2679,385,15.76,77
24,Finland,Western Europe,165,145,2646,341,16.04,78
25,South Korea,Asiatic Region,158,154,1884,357,11.92,61
26,Ireland,Western Europe,157,140,1997,317,12.72,74
27,Israel,Middle East,142,118,1292,219,9.1,75
28,Portugal,Western Europe,140,127,1232,235,8.8,55
29,Singapore,Asiatic Region,134,114,1989,253,14.84,67
30,Nigeria,Africa,119,112,1350,430,11.34,52
31,Poland,Eastern Europe,110,95,1377,185,12.52,56
32,Colombia,Latin America,109,100,528,123,4.84,41
33,Cuba,Latin America,109,98,134,59,1.23,21
34,Kenya,Africa,107,101,1754,438,16.39,59
35,Austria,Western Europe,103,99,1310,194,12.72,72
36,Indonesia,Asiatic Region,96,93,765,301,7.97,38
37,Uganda,Africa,96,90,1310,285,13.65,55
38,Malaysia,Asiatic Region,95,88,1104,257,11.62,53
39,Hong Kong,Asiatic Region,94,84,1502,234,15.98,62
40,Turkey,Middle East,94,87,838,108,8.91,50
41,Argentina,Latin America,94,83,596,123,6.34,54
42,Mexico,Latin America,91,86,747,181,8.21,55
43,Taiwan,Asiatic Region,88,72,921,183,10.47,69
44,Ghana,Africa,88,82,1259,332,14.31,57
45,Saudi Arabia,Middle East,82,76,982,228,11.98,47
