Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3277,3142,149513,67704,45.62,513
2,Germany,Western Europe,1779,1740,29547,6623,16.61,334
3,France,Western Europe,1196,1136,26019,4805,21.76,331
4,Japan,Asiatic Region,1061,1006,26301,6183,24.79,223
5,Italy,Western Europe,1027,964,29586,5851,28.81,329
6,United Kingdom,Western Europe,965,894,33920,6454,35.15,332
7,Netherlands,Western Europe,477,463,20490,3096,42.96,287
8,Spain,Western Europe,346,308,8655,1081,25.01,252
9,Canada,Northern America,305,292,14276,1786,46.81,272
10,Australia,Pacific Region,282,271,7570,1176,26.84,230
11,Sweden,Western Europe,259,253,10473,1425,40.44,227
12,Switzerland,Western Europe,193,184,8000,667,41.45,247
13,Austria,Western Europe,184,179,5086,551,27.64,218
14,Belgium,Western Europe,182,175,6908,483,37.96,217
15,Denmark,Western Europe,157,150,4824,381,30.73,186
16,Israel,Middle East,143,138,3990,580,27.9,168
17,Greece,Western Europe,98,91,1593,239,16.26,152
18,Norway,Western Europe,91,87,2843,277,31.24,144
19,Turkey,Middle East,89,63,997,241,11.2,104
20,Poland,Eastern Europe,85,82,967,228,11.38,151
21,Finland,Western Europe,85,81,3645,286,42.88,133
22,Russian Federation,Eastern Europe,56,56,483,53,8.63,102
23,India,Asiatic Region,56,49,768,315,13.71,95
24,China,Asiatic Region,53,52,3506,776,66.15,176
25,Brazil,Latin America,47,43,1519,383,32.32,123
26,Hong Kong,Asiatic Region,44,31,2039,239,46.34,108
27,Taiwan,Asiatic Region,44,43,770,110,17.5,99
28,Argentina,Latin America,38,35,568,86,14.95,89
29,Hungary,Eastern Europe,32,30,428,70,13.38,98
30,South Africa,Africa,32,31,383,41,11.97,80
31,Serbia,Eastern Europe,32,31,243,15,7.59,49
32,New Zealand,Pacific Region,32,29,2559,163,79.97,80
33,Czech Republic,Eastern Europe,31,28,406,96,13.1,132
34,Portugal,Western Europe,24,22,674,18,28.08,107
35,South Korea,Asiatic Region,22,21,419,9,19.05,134
36,Ireland,Western Europe,19,17,586,17,30.84,109
37,Croatia,Eastern Europe,17,17,104,14,6.12,53
38,Mexico,Latin America,14,13,155,70,11.07,70
39,Tunisia,Africa,13,12,151,23,11.62,40
40,Thailand,Asiatic Region,13,13,494,144,38.0,78
41,Saudi Arabia,Middle East,12,12,225,22,18.75,78
42,Bulgaria,Eastern Europe,10,10,124,2,12.4,42
43,Slovenia,Eastern Europe,9,8,78,16,8.67,64
44,Ukraine,Eastern Europe,8,8,4,3,0.5,37
45,Chile,Latin America,8,8,344,20,43.0,62
46,Egypt,Africa/Middle East,7,7,581,34,83.0,63
47,Slovakia,Eastern Europe,7,7,111,40,15.86,56
48,United Arab Emirates,Middle East,6,6,105,10,17.5,34
49,Malaysia,Asiatic Region,6,5,82,2,13.67,51
50,Belarus,Eastern Europe,6,6,21,2,3.5,23
51,Romania,Eastern Europe,5,5,155,8,31.0,54
52,Morocco,Africa,5,5,23,6,4.6,29
53,Singapore,Asiatic Region,5,5,112,2,22.4,108
54,Iran,Middle East,5,5,95,10,19.0,75
55,Georgia,Eastern Europe,5,5,14,2,2.8,31
56,Jamaica,Latin America,4,3,145,4,36.25,29
57,Macedonia,Eastern Europe,4,4,6,1,1.5,17
58,Malta,Western Europe,3,3,28,1,9.33,23
59,Iceland,Western Europe,3,3,63,7,21.0,61
60,Venezuela,Latin America,3,3,58,23,19.33,31
61,Pakistan,Asiatic Region,3,3,33,9,11.0,33
62,Azerbaijan,Eastern Europe,3,3,1,1,0.33,8
63,Estonia,Eastern Europe,3,3,0,0,0.0,41
64,Kuwait,Middle East,3,3,29,6,9.67,28
65,Luxembourg,Western Europe,3,3,30,0,10.0,31
66,Ghana,Africa,2,2,150,20,75.0,26
67,Colombia,Latin America,2,2,11,3,5.5,33
68,Puerto Rico,Latin America,2,2,199,1,99.5,31
69,Cyprus,Western Europe,2,2,75,3,37.5,43
70,Cameroon,Africa,2,2,16,10,8.0,23
71,Zambia,Africa,2,2,57,3,28.5,8
72,Guadeloupe,Latin America,1,0,8,0,8.0,22
73,Iraq,Middle East,1,1,3,0,3.0,18
74,Jordan,Middle East,1,1,0,0,0.0,37
75,Lebanon,Middle East,1,1,55,1,55.0,68
76,Lithuania,Eastern Europe,1,1,0,0,0.0,41
77,Latvia,Eastern Europe,1,1,11,0,11.0,21
78,Ecuador,Latin America,1,1,3,0,3.0,10
79,Nigeria,Africa,1,1,1,1,1.0,31
80,Nicaragua,Latin America,1,1,42,6,42.0,14
81,Cuba,Latin America,1,1,0,0,0.0,23
82,Costa Rica,Latin America,1,1,17,0,17.0,22
83,Oman,Middle East,1,1,9,1,9.0,31
84,Palestine,Middle East,1,1,47,0,47.0,17
85,Rwanda,Africa,1,1,0,0,0.0,6
86,Sudan,Africa,1,1,50,2,50.0,15
87,Benin,Africa,1,0,3,0,3.0,10
88,Senegal,Africa,1,1,6,3,6.0,17
89,Syrian Arab Republic,Middle East,1,1,6,0,6.0,14
90,Togo,Africa,1,1,17,6,17.0,9
91,Zimbabwe,Africa,1,1,26,2,26.0,13
92,Tonga,Pacific Region,1,1,0,0,0.0,0
93,Bahrain,Middle East,1,1,24,1,24.0,23
94,Trinidad and Tobago,Latin America,1,1,15,0,15.0,11
95,Burkina Faso,Africa,1,1,8,1,8.0,15
96,Uruguay,Latin America,1,0,1,0,1.0,34
97,Viet Nam,Asiatic Region,1,1,15,0,15.0,19
