Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3503,3155,203285,0,58.03,513
2,Germany,Western Europe,1173,1057,54546,0,46.5,334
3,France,Western Europe,1113,1007,46509,0,41.79,331
4,Italy,Western Europe,1048,863,48892,0,46.65,329
5,United Kingdom,Western Europe,1047,901,59381,0,56.72,332
6,Japan,Asiatic Region,859,785,27535,0,32.05,223
7,Netherlands,Western Europe,505,442,37420,0,74.1,287
8,Canada,Northern America,455,411,26949,0,59.23,272
9,Spain,Western Europe,374,344,22715,0,60.74,252
10,Sweden,Western Europe,309,296,21251,0,68.77,227
11,Turkey,Middle East,279,244,3942,0,14.13,104
12,Switzerland,Western Europe,246,215,12998,0,52.84,247
13,Austria,Western Europe,223,206,12386,0,55.54,218
14,Greece,Western Europe,204,173,6713,0,32.91,152
15,Australia,Pacific Region,192,172,10487,0,54.62,230
16,Israel,Middle East,181,167,6913,0,38.19,168
17,Belgium,Western Europe,167,153,11482,0,68.75,217
18,India,Asiatic Region,163,133,1932,0,11.85,95
19,Poland,Eastern Europe,154,146,5715,0,37.11,151
20,Russian Federation,Eastern Europe,139,133,1906,0,13.71,102
21,Denmark,Western Europe,123,115,9792,0,79.61,186
22,China,Asiatic Region,107,98,2867,0,26.79,176
23,Brazil,Latin America,107,89,3151,0,29.45,123
24,South Korea,Asiatic Region,99,91,3354,0,33.88,134
25,Norway,Western Europe,98,94,5745,0,58.62,144
26,Taiwan,Asiatic Region,97,93,2331,0,24.03,99
27,Czech Republic,Eastern Europe,85,80,3092,0,36.38,132
28,Finland,Western Europe,81,77,4529,0,55.91,133
29,Hong Kong,Asiatic Region,60,49,1356,0,22.6,108
30,Argentina,Latin America,59,53,1503,0,25.47,89
31,Thailand,Asiatic Region,59,52,1425,0,24.15,78
32,Portugal,Western Europe,45,40,5781,0,128.47,107
33,Hungary,Eastern Europe,40,38,1365,0,34.13,98
34,Ireland,Western Europe,39,32,1323,0,33.92,109
35,Serbia,Eastern Europe,29,27,110,0,3.79,49
36,Cuba,Latin America,29,27,189,0,6.52,23
37,Mexico,Latin America,28,23,519,0,18.54,70
38,New Zealand,Pacific Region,27,23,1114,0,41.26,80
39,Slovenia,Eastern Europe,25,22,2311,0,92.44,64
40,Bulgaria,Eastern Europe,23,23,141,0,6.13,42
41,Iran,Middle East,20,20,778,0,38.9,75
42,Lebanon,Middle East,20,13,535,0,26.75,68
43,Slovakia,Eastern Europe,18,16,2039,0,113.28,56
44,Singapore,Asiatic Region,18,18,582,0,32.33,108
45,Croatia,Eastern Europe,17,13,319,0,18.76,53
46,Estonia,Eastern Europe,17,17,1605,0,94.41,41
47,Saudi Arabia,Middle East,16,13,250,0,15.63,78
48,South Africa,Africa,16,14,725,0,45.31,80
49,Egypt,Africa/Middle East,16,16,257,0,16.06,63
50,Tunisia,Africa,15,14,223,0,14.87,40
51,Iceland,Western Europe,14,14,1637,0,116.93,61
52,Chile,Latin America,12,11,337,0,28.08,62
53,Philippines,Asiatic Region,11,11,162,0,14.73,21
54,Kuwait,Middle East,10,10,381,0,38.1,28
55,Malta,Western Europe,8,6,1337,0,167.13,23
56,Romania,Eastern Europe,8,6,196,0,24.5,54
57,Belarus,Eastern Europe,6,5,63,0,10.5,23
58,Malaysia,Asiatic Region,6,6,195,0,32.5,51
59,Oman,Middle East,6,6,134,0,22.33,31
60,Armenia,Eastern Europe,5,5,13,0,2.6,10
61,Luxembourg,Western Europe,5,5,366,0,73.2,31
62,Nigeria,Africa,5,5,56,0,11.2,31
63,Pakistan,Asiatic Region,5,3,81,0,16.2,33
64,Morocco,Africa,5,5,42,0,8.4,29
65,Latvia,Eastern Europe,4,4,70,0,17.5,21
66,Cyprus,Western Europe,4,4,59,0,14.75,43
67,Algeria,Africa,3,3,66,0,22.0,25
68,United Arab Emirates,Middle East,3,3,13,0,4.33,34
69,Sri Lanka,Asiatic Region,3,3,233,0,77.67,21
70,Lithuania,Eastern Europe,3,3,281,0,93.67,41
71,Macedonia,Eastern Europe,3,2,41,0,13.67,17
72,Venezuela,Latin America,3,3,79,0,26.33,31
73,Jordan,Middle East,2,2,99,0,49.5,37
