Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3080,2413,6408,2352,2.08,498
2,China,Asiatic Region,2395,2049,2736,1481,1.14,199
3,Japan,Asiatic Region,996,816,1608,460,1.61,250
4,United Kingdom,Western Europe,880,710,2325,402,2.64,292
5,Italy,Western Europe,784,594,2174,498,2.77,297
6,France,Western Europe,693,540,1643,202,2.37,294
7,Spain,Western Europe,617,526,1601,199,2.59,253
8,India,Asiatic Region,572,373,786,164,1.37,136
9,Germany,Western Europe,534,435,2070,314,3.88,285
10,South Korea,Asiatic Region,503,420,1055,234,2.1,156
11,Canada,Northern America,489,402,1337,159,2.73,269
12,Netherlands,Western Europe,350,291,1058,116,3.02,219
13,Australia,Pacific Region,350,261,811,90,2.32,229
14,Russian Federation,Eastern Europe,315,312,312,26,0.99,57
15,Taiwan,Asiatic Region,203,131,585,62,2.88,162
16,Switzerland,Western Europe,199,163,707,55,3.55,192
17,Belgium,Western Europe,193,152,687,55,3.56,208
18,Hong Kong,Asiatic Region,190,160,789,87,4.15,165
19,Sweden,Western Europe,186,159,633,83,3.4,178
20,Egypt,Africa/Middle East,173,148,318,42,1.84,75
21,Denmark,Western Europe,164,129,517,55,3.15,146
22,Singapore,Asiatic Region,164,118,484,106,2.95,106
23,Austria,Western Europe,150,118,644,63,4.29,153
24,Iran,Middle East,132,123,171,15,1.3,67
25,Brazil,Latin America,124,106,373,32,3.01,88
26,Mexico,Latin America,104,84,305,30,2.93,76
27,Greece,Western Europe,103,86,454,35,4.41,121
28,Israel,Middle East,103,85,454,24,4.41,126
29,Thailand,Asiatic Region,91,73,285,15,3.13,71
30,Turkey,Middle East,90,76,411,17,4.57,91
31,Portugal,Western Europe,80,56,230,12,2.88,78
32,Czech Republic,Eastern Europe,72,60,163,10,2.26,71
33,Poland,Eastern Europe,70,59,259,10,3.7,97
34,Argentina,Latin America,69,57,285,16,4.13,92
35,New Zealand,Pacific Region,62,54,197,17,3.18,104
36,Norway,Western Europe,56,47,242,12,4.32,103
37,Chile,Latin America,54,44,178,12,3.3,65
38,Malaysia,Asiatic Region,53,43,253,6,4.77,65
39,Pakistan,Asiatic Region,50,35,184,5,3.68,48
40,Ireland,Western Europe,45,40,206,10,4.58,111
41,Finland,Western Europe,44,40,238,9,5.41,115
42,Saudi Arabia,Middle East,36,35,203,3,5.64,60
43,Romania,Eastern Europe,31,28,193,7,6.23,64
44,Indonesia,Asiatic Region,31,27,152,2,4.9,44
45,South Africa,Africa,30,25,232,6,7.73,75
46,Colombia,Latin America,28,28,157,6,5.61,38
47,Philippines,Asiatic Region,27,22,136,1,5.04,51
48,Lebanon,Middle East,25,24,154,2,6.16,32
49,Slovenia,Eastern Europe,24,19,199,5,8.29,32
50,Viet Nam,Asiatic Region,23,22,25,1,1.09,24
51,Georgia,Eastern Europe,22,18,80,2,3.64,44
52,Hungary,Eastern Europe,21,21,147,2,7.0,71
53,Slovakia,Eastern Europe,20,17,121,2,6.05,38
54,United Arab Emirates,Middle East,19,17,164,1,8.63,33
55,Bangladesh,Asiatic Region,18,18,167,2,9.28,33
56,Ecuador,Latin America,15,12,139,4,9.27,12
57,Ethiopia,Africa,15,14,136,2,9.07,19
58,Peru,Latin America,14,13,83,4,5.93,21
59,Jordan,Middle East,13,13,111,0,8.54,20
60,Lithuania,Eastern Europe,12,11,148,4,12.33,32
61,Qatar,Middle East,12,12,139,2,11.58,28
62,Serbia,Eastern Europe,12,10,159,3,13.25,36
63,Ukraine,Eastern Europe,12,11,122,3,10.17,27
64,Nigeria,Africa,12,11,144,1,12.0,22
65,Bulgaria,Eastern Europe,12,10,123,4,10.25,26
66,Croatia,Eastern Europe,11,11,173,3,15.73,38
67,Cyprus,Western Europe,11,9,51,0,4.64,20
68,Iceland,Western Europe,10,8,74,4,7.4,45
69,Kuwait,Middle East,10,9,137,1,13.7,22
70,Tunisia,Africa,10,10,122,2,12.2,24
71,Uruguay,Latin America,10,9,24,1,2.4,20
72,Nepal,Asiatic Region,10,10,139,1,13.9,14
73,Sri Lanka,Asiatic Region,9,8,138,2,15.33,23
74,Guatemala,Latin America,8,3,12,4,1.5,10
75,Kenya,Africa,8,6,40,5,5.0,11
76,Moldova,Eastern Europe,7,6,125,2,17.86,12
77,Ghana,Africa,7,7,133,4,19.0,16
78,Uganda,Africa,7,7,129,3,18.43,11
79,Morocco,Africa,7,6,51,0,7.29,22
80,Bahrain,Middle East,7,7,132,2,18.86,13
81,Luxembourg,Western Europe,6,4,46,1,7.67,21
82,Armenia,Eastern Europe,6,6,121,1,20.17,14
83,Cameroon,Africa,6,6,1,0,0.17,14
