Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,931,874,32759,15117,35.19,255
2,Japan,Asiatic Region,483,470,12176,3519,25.21,138
3,Germany,Western Europe,386,380,14656,3685,37.97,183
4,United Kingdom,Western Europe,377,338,16465,3418,43.67,192
5,Spain,Western Europe,194,173,4064,919,20.95,103
6,Italy,Western Europe,191,176,3928,954,20.57,117
7,Russian Federation,Eastern Europe,173,173,486,202,2.81,50
8,France,Western Europe,171,169,7592,1128,44.4,143
9,Canada,Northern America,108,103,3415,421,31.62,125
10,Australia,Pacific Region,103,102,3583,756,34.79,129
11,Poland,Eastern Europe,100,99,750,249,7.5,68
12,Switzerland,Western Europe,81,77,5130,514,63.33,140
13,Netherlands,Western Europe,77,74,3630,502,47.14,136
14,Sweden,Western Europe,67,62,1799,274,26.85,101
15,Denmark,Western Europe,57,56,3583,516,62.86,105
16,India,Asiatic Region,54,44,813,158,15.06,63
17,Brazil,Latin America,48,46,740,234,15.42,76
18,Belgium,Western Europe,41,33,1564,144,38.15,91
19,Austria,Western Europe,40,39,1981,195,49.53,95
20,Finland,Western Europe,38,38,1945,146,51.18,85
21,Israel,Middle East,36,34,1221,143,33.92,69
22,China,Asiatic Region,25,24,681,106,27.24,112
23,Turkey,Middle East,23,18,181,24,7.87,56
24,Argentina,Latin America,21,17,298,47,14.19,49
25,New Zealand,Pacific Region,21,18,423,65,20.14,64
26,Hungary,Eastern Europe,21,21,649,79,30.9,57
27,Czech Republic,Eastern Europe,20,19,510,105,25.5,62
28,South Korea,Asiatic Region,20,18,409,49,20.45,75
29,Portugal,Western Europe,19,17,361,63,19.0,57
30,Hong Kong,Asiatic Region,18,18,590,54,32.78,59
31,Malaysia,Asiatic Region,18,15,213,26,11.83,34
32,Greece,Western Europe,17,15,446,51,26.24,54
33,Kuwait,Middle East,15,13,472,27,31.47,29
34,Ukraine,Eastern Europe,14,14,62,13,4.43,22
35,Taiwan,Asiatic Region,13,10,350,28,26.92,56
36,South Africa,Africa,12,10,170,19,14.17,51
37,Ireland,Western Europe,11,7,247,15,22.45,63
38,Norway,Western Europe,11,11,87,25,7.91,73
39,Slovenia,Eastern Europe,9,9,230,51,25.56,41
40,Singapore,Asiatic Region,9,9,180,19,20.0,52
41,Croatia,Eastern Europe,7,7,270,72,38.57,35
42,Chile,Latin America,7,6,44,9,6.29,42
43,Venezuela,Latin America,7,7,98,44,14.0,18
44,Iran,Middle East,7,5,84,9,12.0,44
45,Saudi Arabia,Middle East,6,6,329,3,54.83,48
46,Mexico,Latin America,5,5,111,13,22.2,44
47,Bulgaria,Eastern Europe,5,5,122,15,24.4,26
48,Serbia,Eastern Europe,4,4,59,29,14.75,30
49,Nigeria,Africa,4,4,72,11,18.0,20
50,Slovakia,Eastern Europe,4,3,71,11,17.75,36
51,Thailand,Asiatic Region,4,4,87,2,21.75,35
52,Algeria,Africa,3,3,25,4,8.33,9
53,Egypt,Africa/Middle East,3,3,92,27,30.67,37
54,Romania,Eastern Europe,3,3,156,10,52.0,42
55,Pakistan,Asiatic Region,3,3,72,6,24.0,38
56,Uzbekistan,Asiatic Region,3,3,0,0,0.0,3
57,Puerto Rico,Latin America,2,2,9,2,4.5,15
58,United Arab Emirates,Middle East,2,1,80,0,40.0,23
59,Belarus,Eastern Europe,2,2,6,0,3.0,10
60,Uruguay,Latin America,2,2,58,0,29.0,21
61,Lebanon,Middle East,2,2,66,3,33.0,28
62,Senegal,Africa,1,1,6,0,6.0,7
63,Estonia,Eastern Europe,1,1,0,0,0.0,19
64,Lithuania,Eastern Europe,1,1,38,21,38.0,21
65,Ethiopia,Africa,1,1,26,3,26.0,8
66,Tanzania,Africa,1,1,32,1,32.0,16
67,Sri Lanka,Asiatic Region,1,0,9,1,9.0,13
68,Armenia,Eastern Europe,1,1,0,0,0.0,7
69,Philippines,Asiatic Region,1,1,1,0,1.0,9
70,Georgia,Eastern Europe,1,1,1,0,1.0,10
71,Ghana,Africa,1,1,16,0,16.0,8
72,Morocco,Africa,1,1,7,0,7.0,20
73,Viet Nam,Asiatic Region,1,1,212,4,212.0,15
