Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,8028,7166,285166,119548,35.52,783
2,China,Asiatic Region,2329,2231,57488,24457,24.68,234
3,Germany,Western Europe,2028,1859,75845,13903,37.4,453
4,United Kingdom,Western Europe,2009,1793,81898,14001,40.77,479
5,Italy,Western Europe,1696,1458,49492,11101,29.18,372
6,France,Western Europe,1440,1283,54279,8471,37.69,403
7,Japan,Asiatic Region,1215,1109,36271,6411,29.85,397
8,Canada,Northern America,1104,1007,37939,5063,34.37,356
9,Netherlands,Western Europe,1040,956,45198,5867,43.46,366
10,Spain,Western Europe,959,836,31879,4534,33.24,283
11,Australia,Pacific Region,930,852,36896,4963,39.67,336
12,India,Asiatic Region,692,582,11370,2403,16.43,143
13,Switzerland,Western Europe,674,622,34659,3458,51.42,354
14,Sweden,Western Europe,662,629,29385,3158,44.39,298
15,Brazil,Latin America,602,544,15657,2686,26.01,178
16,South Korea,Asiatic Region,562,531,14097,1892,25.08,177
17,Poland,Eastern Europe,516,480,12235,1419,23.71,180
18,Denmark,Western Europe,472,448,18069,1931,38.28,243
19,Belgium,Western Europe,467,419,22867,2217,48.97,271
20,Turkey,Middle East,453,390,9847,1386,21.74,165
21,Iran,Middle East,349,335,5329,1728,15.27,91
22,Austria,Western Europe,327,301,17205,1525,52.61,260
23,Taiwan,Asiatic Region,305,263,5449,663,17.87,134
24,Russian Federation,Eastern Europe,274,263,3754,668,13.7,124
25,Mexico,Latin America,250,235,7984,687,31.94,154
26,Norway,Western Europe,243,225,11981,818,49.3,197
27,Israel,Middle East,243,223,9342,811,38.44,218
28,Czech Republic,Eastern Europe,202,192,5853,343,28.98,136
29,Singapore,Asiatic Region,197,183,11119,700,56.44,149
30,Greece,Western Europe,186,174,8997,610,48.37,178
31,South Africa,Africa,181,161,3475,773,19.2,161
32,Portugal,Western Europe,179,164,6603,581,36.89,164
33,Finland,Western Europe,160,151,5418,500,33.86,199
34,Ireland,Western Europe,157,141,11008,668,70.11,207
35,Thailand,Asiatic Region,154,141,4128,399,26.81,119
36,Argentina,Latin America,143,133,5549,422,38.8,152
37,Egypt,Africa/Middle East,134,129,2543,248,18.98,86
38,Colombia,Latin America,116,102,3767,256,32.47,89
39,Saudi Arabia,Middle East,116,115,2782,248,23.98,87
40,Hungary,Eastern Europe,102,98,4122,314,40.41,148
41,New Zealand,Pacific Region,86,80,2747,280,31.94,137
42,Cuba,Latin America,84,71,594,112,7.07,51
43,Bulgaria,Eastern Europe,73,70,950,61,13.01,67
44,Chile,Latin America,66,60,2138,199,32.39,95
45,Hong Kong,Asiatic Region,63,58,2250,173,35.71,119
46,Malaysia,Asiatic Region,61,59,1577,142,25.85,68
47,Croatia,Eastern Europe,59,55,908,92,15.39,83
48,Romania,Eastern Europe,57,55,3243,201,56.89,97
49,Serbia,Eastern Europe,57,54,2112,80,37.05,77
50,Uganda,Africa,50,49,1127,299,22.54,87
51,Nigeria,Africa,48,45,523,152,10.9,39
52,Kenya,Africa,45,43,1310,158,29.11,97
53,Tunisia,Africa,44,41,668,57,15.18,56
