Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,12999,11973,18164,7148,1.4,668
2,China,Asiatic Region,8707,8152,9253,4836,1.06,268
3,United Kingdom,Western Europe,4163,3755,8617,1789,2.07,433
4,India,Asiatic Region,3099,2673,3468,1076,1.12,193
5,Italy,Western Europe,2724,2257,4297,1432,1.58,261
6,France,Western Europe,2489,2145,3724,682,1.5,351
7,Germany,Western Europe,2381,2155,4198,789,1.76,347
8,Brazil,Latin America,2368,2164,2372,636,1.0,203
9,Japan,Asiatic Region,2166,1989,2229,606,1.03,246
10,Australia,Pacific Region,2108,1912,2975,651,1.41,295
11,Spain,Western Europe,1955,1739,2801,579,1.43,267
12,Canada,Northern America,1714,1579,2921,484,1.7,318
13,Switzerland,Western Europe,1453,1275,2841,383,1.96,313
14,Netherlands,Western Europe,1338,1241,2451,293,1.83,297
15,South Africa,Africa,1320,1188,2036,441,1.54,204
16,Russian Federation,Eastern Europe,1253,1236,641,213,0.51,122
17,Iran,Middle East,1175,1113,1347,316,1.15,105
18,South Korea,Asiatic Region,1123,1043,1245,300,1.11,154
19,Turkey,Middle East,986,895,819,149,0.83,129
20,Thailand,Asiatic Region,953,874,1047,274,1.1,178
21,Belgium,Western Europe,893,815,1584,209,1.77,248
22,Saudi Arabia,Middle East,779,747,1641,407,2.11,115
23,Taiwan,Asiatic Region,742,663,794,205,1.07,140
24,Sweden,Western Europe,733,682,1645,167,2.24,227
25,Egypt,Africa/Middle East,715,677,1155,287,1.62,105
26,Denmark,Western Europe,631,577,1081,134,1.71,218
27,Mexico,Latin America,609,572,789,119,1.3,135
28,Poland,Eastern Europe,574,558,726,184,1.26,126
29,Pakistan,Asiatic Region,553,474,1085,263,1.96,101
30,Ethiopia,Africa,542,528,448,75,0.83,88
31,Malaysia,Asiatic Region,541,508,930,167,1.72,110
32,Kenya,Africa,484,458,601,111,1.24,149
33,Nigeria,Africa,482,440,807,128,1.67,94
34,Israel,Middle East,464,431,1123,121,2.42,189
35,Portugal,Western Europe,455,411,791,96,1.74,144
36,Colombia,Latin America,449,407,778,167,1.73,110
37,Uganda,Africa,439,417,476,61,1.08,125
38,Singapore,Asiatic Region,434,366,1213,120,2.79,148
39,Indonesia,Asiatic Region,429,412,470,95,1.1,104
40,Austria,Western Europe,428,382,797,116,1.86,177
41,Greece,Western Europe,424,375,746,103,1.76,170
42,Hong Kong,Asiatic Region,421,380,1285,213,3.05,159
43,Peru,Latin America,379,340,618,141,1.63,116
44,Argentina,Latin America,368,343,415,51,1.13,132
45,Bangladesh,Asiatic Region,335,303,913,156,2.73,105
46,Viet Nam,Asiatic Region,308,289,585,41,1.9,120
47,Norway,Western Europe,296,272,468,56,1.58,146
48,Czech Republic,Eastern Europe,296,277,335,56,1.13,124
49,Ireland,Western Europe,295,254,428,47,1.45,155
50,Tanzania,Africa,283,272,328,62,1.16,121
51,Ghana,Africa,272,262,316,57,1.16,93
52,Iraq,Middle East,264,256,273,102,1.03,35
53,Finland,Western Europe,245,219,325,49,1.33,168
54,Chile,Latin America,238,218,335,54,1.41,89
55,United Arab Emirates,Middle East,229,216,383,87,1.67,62
56,New Zealand,Pacific Region,227,216,288,63,1.27,129
57,Romania,Eastern Europe,205,192,319,93,1.56,69
58,Philippines,Asiatic Region,189,149,251,40,1.33,90
59,Cameroon,Africa,188,180,235,35,1.25,87
60,Ecuador,Latin America,180,172,126,16,0.7,65
61,Malawi,Africa,179,173,180,27,1.01,100
62,Zambia,Africa,179,165,273,41,1.53,91
63,Hungary,Eastern Europe,178,171,303,48,1.7,111
64,Zimbabwe,Africa,160,152,209,34,1.31,86
65,Tunisia,Africa,143,133,175,24,1.22,66
66,Croatia,Eastern Europe,129,118,135,28,1.05,75
67,Nepal,Asiatic Region,127,107,245,33,1.93,74
68,Serbia,Eastern Europe,123,105,180,20,1.46,56
69,Jordan,Middle East,122,115,235,49,1.93,52
70,Lebanon,Middle East,122,114,188,17,1.54,59
71,Qatar,Middle East,117,106,239,27,2.04,49
72,Sudan,Africa,115,107,241,37,2.1,73
73,Senegal,Africa,112,102,115,16,1.03,95
74,Burkina Faso,Africa,110,107,68,20,0.62,83
75,Morocco,Africa,109,100,88,25,0.81,62
