Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4478,3326,147177,64983,32.87,585
2,Japan,Asiatic Region,1395,1187,18924,4911,13.57,232
3,United Kingdom,Western Europe,1109,875,45750,9042,41.25,356
4,Germany,Western Europe,1106,941,30053,5293,27.17,277
5,Italy,Western Europe,977,773,27498,5111,28.15,280
6,France,Western Europe,824,710,18673,2645,22.66,252
7,China,Asiatic Region,783,736,19179,6841,24.49,167
8,Australia,Pacific Region,665,510,22102,3457,33.24,267
9,Canada,Northern America,651,515,25225,3524,38.75,307
10,Netherlands,Western Europe,509,400,22566,2724,44.33,257
11,Poland,Eastern Europe,422,371,5262,881,12.47,118
12,South Korea,Asiatic Region,422,363,7348,1264,17.41,133
13,Spain,Western Europe,340,281,12570,1378,36.97,198
14,India,Asiatic Region,332,289,5923,1005,17.84,136
15,Sweden,Western Europe,321,274,14458,2013,45.04,245
16,Russian Federation,Eastern Europe,303,303,1639,657,5.41,76
17,Czech Republic,Eastern Europe,302,264,2509,287,8.31,96
18,Denmark,Western Europe,297,259,14305,1512,48.16,227
19,Turkey,Middle East,260,218,2661,439,10.23,86
20,Iran,Middle East,257,245,3354,926,13.05,81
21,Switzerland,Western Europe,224,191,6813,749,30.42,204
22,Brazil,Latin America,210,187,4474,748,21.3,133
23,Belgium,Western Europe,181,152,6143,712,33.94,192
24,Taiwan,Asiatic Region,180,159,3238,527,17.99,101
25,Finland,Western Europe,157,147,7924,743,50.47,201
26,Greece,Western Europe,151,112,10044,627,66.52,134
27,Mexico,Latin America,150,138,1577,173,10.51,92
28,Austria,Western Europe,150,127,4344,407,28.96,149
29,Israel,Middle East,111,91,3017,185,27.18,149
30,South Africa,Africa,105,96,2566,538,24.44,86
31,Norway,Western Europe,104,95,6531,402,62.8,157
32,New Zealand,Pacific Region,98,73,3146,192,32.1,107
33,Ireland,Western Europe,73,63,2631,238,36.04,120
34,Romania,Eastern Europe,68,63,866,58,12.74,61
35,Saudi Arabia,Middle East,67,62,1196,135,17.85,65
