Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,91240,79606,1380310,542583,15.13,1575
2,China,Asiatic Region,75343,73631,1197403,739728,15.89,612
3,United Kingdom,Western Europe,28631,23959,485616,99488,16.96,1101
4,Germany,Western Europe,21650,18827,345012,70999,15.94,911
5,Japan,Asiatic Region,20178,18422,213435,47236,10.58,645
6,Italy,Western Europe,16736,14977,287573,67284,17.18,797
7,Canada,Northern America,15737,13848,286690,44074,18.22,915
8,Australia,Pacific Region,14521,12741,264848,44868,18.24,771
9,India,Asiatic Region,13097,11817,168136,47337,12.84,470
10,France,Western Europe,12985,11521,226163,33523,17.42,850
11,Spain,Western Europe,12242,11049,206806,34643,16.89,658
12,South Korea,Asiatic Region,11668,11173,178492,30189,15.3,448
13,Brazil,Latin America,11184,10562,137786,34101,12.32,451
14,Netherlands,Western Europe,8793,7982,182167,24330,20.72,777
15,Iran,Middle East,8027,7765,98934,26107,12.33,248
16,Switzerland,Western Europe,7431,6560,135858,15798,18.28,706
17,Turkey,Middle East,7192,6752,67412,11851,9.37,311
18,Russian Federation,Eastern Europe,6574,6504,62295,12883,9.48,315
19,Poland,Eastern Europe,6288,6017,92721,14987,14.75,418
20,Sweden,Western Europe,6091,5654,109919,13134,18.05,631
21,Taiwan,Asiatic Region,5188,4861,75114,10304,14.48,336
22,Belgium,Western Europe,4602,4167,95628,9847,20.78,627
23,Denmark,Western Europe,4511,4136,91948,10543,20.38,572
24,Pakistan,Asiatic Region,3855,3648,40229,7793,10.44,239
25,Egypt,Africa/Middle East,3236,3139,48704,10225,15.05,203
26,Portugal,Western Europe,3234,2945,53039,6773,16.4,336
27,Austria,Western Europe,3203,2907,60712,5700,18.95,446
28,Mexico,Latin America,3143,2962,45028,5304,14.33,315
29,Norway,Western Europe,3096,2836,48764,5538,15.75,449
30,Saudi Arabia,Middle East,3069,2962,45134,7812,14.71,245
31,Israel,Middle East,2833,2540,48438,4296,17.1,450
32,South Africa,Africa,2770,2575,52093,7745,18.81,366
33,Greece,Western Europe,2716,2424,40808,4608,15.03,357
34,Malaysia,Asiatic Region,2704,2589,38001,6345,14.05,242
35,Thailand,Asiatic Region,2670,2540,26589,4153,9.96,271
36,Singapore,Asiatic Region,2492,2270,52632,4844,21.12,361
37,Ireland,Western Europe,2487,2215,42269,4006,17.0,362
38,Czech Republic,Eastern Europe,2378,2287,43071,4291,18.11,334
39,Romania,Eastern Europe,2349,2286,27995,4112,11.92,203
40,New Zealand,Pacific Region,2318,1995,34165,3912,14.74,389
41,Finland,Western Europe,2288,2154,40691,4405,17.78,455
42,Hong Kong,Asiatic Region,2225,2061,51853,4356,23.3,379
43,Argentina,Latin America,1682,1582,30347,2651,18.04,318
44,Hungary,Eastern Europe,1651,1596,29919,2639,18.12,307
45,Indonesia,Asiatic Region,1604,1570,11156,2799,6.96,156
46,Chile,Latin America,1570,1476,24044,2796,15.31,244
47,Colombia,Latin America,1389,1268,16576,1811,11.93,210
48,Nigeria,Africa,1384,1321,13332,2474,9.63,161
49,Serbia,Eastern Europe,1330,1286,12876,1436,9.68,166
50,Croatia,Eastern Europe,1172,1100,11615,1279,9.91,175
51,Ukraine,Eastern Europe,1103,1078,11282,1210,10.23,162
52,Viet Nam,Asiatic Region,990,958,18055,2182,18.24,157
53,Tunisia,Africa,924,846,8438,1130,9.13,156
54,Ethiopia,Africa,880,854,8936,3113,10.15,117
55,Slovakia,Eastern Europe,850,818,12981,1338,15.27,182
56,Slovenia,Eastern Europe,702,675,10422,910,14.85,189
57,Bangladesh,Asiatic Region,686,642,10497,1976,15.3,178
58,Iraq,Middle East,685,672,6071,1173,8.86,92
59,United Arab Emirates,Middle East,642,589,9945,903,15.49,139
60,Morocco,Africa,617,564,4875,645,7.9,120
61,Kenya,Africa,609,569,8548,1181,14.04,199
62,Bulgaria,Eastern Europe,604,584,13760,642,22.78,155
63,Peru,Latin America,598,505,8206,907,13.72,173
64,Lebanon,Middle East,595,546,9116,816,15.32,161
65,Nepal,Asiatic Region,561,533,4486,695,8.0,113
66,Qatar,Middle East,551,506,8136,879,14.77,134
67,Ecuador,Latin America,509,429,3389,434,6.66,92
68,Jordan,Middle East,488,477,4201,533,8.61,115
69,Ghana,Africa,476,452,5347,860,11.23,133
70,Lithuania,Eastern Europe,439,429,7963,557,18.14,137
71,Philippines,Asiatic Region,433,406,7006,448,16.18,169
72,Cyprus,Western Europe,397,368,5987,517,15.08,115
73,Cuba,Latin America,392,346,1558,242,3.97,110
74,Venezuela,Latin America,388,312,2790,113,7.19,122
75,Uganda,Africa,359,340,4232,805,11.79,154
76,Tanzania,Africa,355,331,4094,652,11.53,144
77,Bosnia and Herzegovina,Eastern Europe,310,306,1403,115,4.53,71
78,Cameroon,Africa,305,288,3668,483,12.03,102
79,Sri Lanka,Asiatic Region,288,278,3443,394,11.95,124
80,Kazakhstan,Asiatic Region,281,266,3325,378,11.83,63
81,Oman,Middle East,280,257,3734,282,13.34,99
82,Estonia,Eastern Europe,272,267,6749,337,24.81,158
83,Iceland,Western Europe,263,226,4060,248,15.44,173
84,Algeria,Africa,249,241,3644,467,14.63,100
