Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2550,2341,143959,58243,56.45,495
2,United Kingdom,Western Europe,827,710,38561,6635,46.63,317
3,Spain,Western Europe,460,405,13629,2534,29.63,213
4,Japan,Asiatic Region,455,430,10939,2630,24.04,166
5,Germany,Western Europe,445,409,18908,3346,42.49,244
6,France,Western Europe,410,375,20826,3499,50.8,270
7,Brazil,Latin America,357,351,8215,3415,23.01,169
8,Italy,Western Europe,357,327,9142,1448,25.61,199
9,Canada,Northern America,313,283,17330,1939,55.37,240
10,Russian Federation,Eastern Europe,303,303,726,272,2.4,91
11,Australia,Pacific Region,253,241,8254,1130,32.62,214
12,Netherlands,Western Europe,242,221,14520,1658,60.0,230
13,Sweden,Western Europe,204,193,8926,1138,43.75,172
14,India,Asiatic Region,159,147,4060,1327,25.53,161
15,Switzerland,Western Europe,138,128,6007,643,43.53,209
16,Poland,Eastern Europe,135,133,1271,482,9.41,101
17,Denmark,Western Europe,132,127,7217,757,54.67,183
18,Taiwan,Asiatic Region,115,112,4388,769,38.16,126
19,Belgium,Western Europe,114,109,5858,704,51.39,191
20,Argentina,Latin America,94,91,2303,495,24.5,108
21,Greece,Western Europe,89,79,2288,312,25.71,145
22,Finland,Western Europe,88,87,5318,555,60.43,142
23,Israel,Middle East,87,81,3626,354,41.68,139
24,Turkey,Middle East,81,70,1571,302,19.4,109
25,New Zealand,Pacific Region,76,74,1043,126,13.72,103
26,Norway,Western Europe,69,67,3394,300,49.19,115
27,Mexico,Latin America,67,59,1391,279,20.76,100
28,Ukraine,Eastern Europe,63,63,54,15,0.86,34
29,Czech Republic,Eastern Europe,61,61,1330,227,21.8,95
30,South Africa,Africa,57,51,2924,470,51.3,135
31,Ireland,Western Europe,47,44,1757,186,37.38,124
32,Austria,Western Europe,45,41,2274,241,50.53,128
33,Bulgaria,Eastern Europe,37,37,184,29,4.97,48
34,Slovakia,Eastern Europe,33,30,264,34,8.0,66
35,Thailand,Asiatic Region,31,30,929,159,29.97,125
36,South Korea,Asiatic Region,30,30,1725,393,57.5,127
37,Colombia,Latin America,29,27,1007,82,34.72,91
38,China,Asiatic Region,29,27,1023,291,35.28,197
39,Hungary,Eastern Europe,27,25,810,98,30.0,86
40,Portugal,Western Europe,26,24,1140,231,43.85,122
41,Hong Kong,Asiatic Region,26,25,1018,108,39.15,131
42,Venezuela,Latin America,25,23,605,61,24.2,66
43,Chile,Latin America,19,18,634,79,33.37,79
44,Peru,Latin America,18,16,1093,228,60.72,77
45,Romania,Eastern Europe,16,16,201,5,12.56,51
46,Saudi Arabia,Middle East,16,14,523,86,32.69,96
47,Kenya,Africa,14,14,998,176,71.29,80
48,Egypt,Africa/Middle East,14,14,575,73,41.07,79
49,Malaysia,Asiatic Region,13,13,875,111,67.31,87
50,Cuba,Latin America,13,13,275,61,21.15,44
51,Kuwait,Middle East,13,13,849,55,65.31,50
52,Singapore,Asiatic Region,13,10,334,20,25.69,102
53,Jordan,Middle East,12,12,274,44,22.83,37
54,Bangladesh,Asiatic Region,11,11,714,119,64.91,87
55,Slovenia,Eastern Europe,10,9,294,31,29.4,78
