Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1847,1565,101573,41396,54.99,363
2,Germany,Western Europe,512,425,18469,3324,36.07,215
3,Italy,Western Europe,502,442,15928,2586,31.73,195
4,Japan,Asiatic Region,497,440,17478,4255,35.17,189
5,United Kingdom,Western Europe,396,317,17460,2954,44.09,207
6,Spain,Western Europe,348,277,7642,1405,21.96,146
7,France,Western Europe,288,240,12424,1965,43.14,194
8,Canada,Northern America,275,234,15851,2232,57.64,197
9,Turkey,Middle East,216,199,4929,607,22.82,96
10,Netherlands,Western Europe,190,157,8956,1245,47.14,178
11,Australia,Pacific Region,148,128,8144,1111,55.03,170
12,Taiwan,Asiatic Region,135,110,3371,563,24.97,93
13,Sweden,Western Europe,122,110,6694,583,54.87,145
14,Belgium,Western Europe,119,86,6384,520,53.65,150
15,China,Asiatic Region,106,103,5238,2092,49.42,131
16,Greece,Western Europe,104,88,2590,193,24.9,83
17,South Korea,Asiatic Region,91,82,3965,349,43.57,99
18,Switzerland,Western Europe,84,72,3676,360,43.76,123
19,Poland,Eastern Europe,83,71,2241,301,27.0,89
20,Brazil,Latin America,80,72,2763,358,34.54,102
21,Israel,Middle East,64,58,2963,255,46.3,89
22,India,Asiatic Region,61,50,1472,372,24.13,82
23,Hong Kong,Asiatic Region,60,52,2649,220,44.15,99
24,Austria,Western Europe,57,48,3897,210,68.37,114
25,Denmark,Western Europe,53,43,5809,347,109.6,109
26,Czech Republic,Eastern Europe,52,47,1464,153,28.15,67
27,Argentina,Latin America,49,43,424,61,8.65,53
28,Saudi Arabia,Middle East,39,38,393,32,10.08,45
29,Finland,Western Europe,34,32,1179,84,34.68,82
30,Iran,Middle East,30,24,675,149,22.5,60
31,Russian Federation,Eastern Europe,28,28,142,18,5.07,50
32,New Zealand,Pacific Region,27,25,1496,58,55.41,76
33,Thailand,Asiatic Region,27,17,473,51,17.52,57
34,Norway,Western Europe,25,25,2175,153,87.0,79
35,Hungary,Eastern Europe,24,20,829,43,34.54,65
36,Egypt,Africa/Middle East,23,21,546,34,23.74,53
37,Portugal,Western Europe,20,17,445,27,22.25,69
38,Mexico,Latin America,19,18,744,81,39.16,78
39,Romania,Eastern Europe,14,13,644,21,46.0,67
40,Venezuela,Latin America,13,8,768,51,59.08,46
41,Ireland,Western Europe,13,12,770,25,59.23,78
42,Slovakia,Eastern Europe,11,11,427,38,38.82,37
43,South Africa,Africa,11,9,560,158,50.91,51
44,Croatia,Eastern Europe,11,10,416,30,37.82,43
45,Singapore,Asiatic Region,9,7,348,11,38.67,57
46,Nigeria,Africa,9,9,50,15,5.56,32
47,Bangladesh,Asiatic Region,8,8,1,0,0.13,17
48,Jordan,Middle East,8,8,52,7,6.5,19
49,Chile,Latin America,8,7,82,18,10.25,47
50,Serbia,Eastern Europe,7,7,488,43,69.71,43
51,Tunisia,Africa,7,7,102,4,14.57,25
52,Morocco,Africa,7,7,112,0,16.0,20
53,Lebanon,Middle East,6,5,193,10,32.17,24
54,United Arab Emirates,Middle East,6,6,240,5,40.0,33
55,Kuwait,Middle East,6,6,57,3,9.5,23
56,Libya,Africa,5,5,122,0,24.4,9
57,Pakistan,Asiatic Region,5,5,38,6,7.6,38
58,Iceland,Western Europe,5,4,100,5,20.0,40
59,Macedonia,Eastern Europe,5,4,193,7,38.6,42
60,Bulgaria,Eastern Europe,5,5,147,17,29.4,26
61,Malaysia,Asiatic Region,5,4,185,5,37.0,33
62,Slovenia,Eastern Europe,4,3,190,15,47.5,40
63,Iraq,Middle East,4,4,21,1,5.25,14
64,Cuba,Latin America,4,2,17,6,4.25,9
65,Luxembourg,Western Europe,3,3,260,5,86.67,13
66,Monaco,Western Europe,3,1,18,1,6.0,6
67,Georgia,Eastern Europe,3,3,30,0,10.0,22
68,Qatar,Middle East,3,3,81,1,27.0,19
69,Estonia,Eastern Europe,3,3,106,11,35.33,25
70,Uruguay,Latin America,3,3,19,11,6.33,33
71,Oman,Middle East,2,2,19,2,9.5,14
72,Belarus,Eastern Europe,2,2,0,0,0.0,11
73,Puerto Rico,Latin America,2,2,10,1,5.0,17
74,Lithuania,Eastern Europe,2,2,54,1,27.0,33
75,Peru,Latin America,2,1,36,0,18.0,19
76,Costa Rica,Latin America,1,1,5,1,5.0,13
77,Ghana,Africa,1,1,46,3,46.0,18
78,Nepal,Asiatic Region,1,1,52,0,52.0,13
79,Cyprus,Western Europe,1,1,53,1,53.0,30
80,Philippines,Asiatic Region,1,0,4,0,4.0,17
81,Palestine,Middle East,1,1,11,0,11.0,10
82,Yemen,Middle East,1,1,7,1,7.0,7
83,Gambia,Africa,1,1,3,1,3.0,2
84,Malawi,Africa,1,0,4,0,4.0,8
85,Colombia,Latin America,1,1,8,3,8.0,24
86,Sudan,Africa,1,1,4,1,4.0,16
87,Latvia,Eastern Europe,1,1,147,0,147.0,16
88,Guatemala,Latin America,1,1,14,6,14.0,7
89,Trinidad and Tobago,Latin America,1,1,0,0,0.0,3
90,Ukraine,Eastern Europe,1,1,0,0,0.0,16
91,Bosnia and Herzegovina,Eastern Europe,1,0,1,0,1.0,18
92,Viet Nam,Asiatic Region,1,1,209,0,209.0,16
93,Moldova,Eastern Europe,1,1,52,0,52.0,9
