Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,14878,12394,431837,191647,29.03,670
2,Germany,Western Europe,3764,3320,115870,23535,30.78,420
3,United Kingdom,Western Europe,3511,2977,129830,26182,36.98,485
4,China,Asiatic Region,2980,2785,60941,23689,20.45,199
5,Japan,Asiatic Region,2796,2572,49512,9541,17.71,274
6,Italy,Western Europe,2795,2325,78047,17608,27.92,348
7,Canada,Northern America,2439,2154,92619,14178,37.97,408
8,France,Western Europe,1964,1700,69937,9551,35.61,355
9,Australia,Pacific Region,1643,1458,66124,9867,40.25,320
10,Spain,Western Europe,1472,1217,46627,6567,31.68,280
11,Netherlands,Western Europe,1422,1287,65614,8036,46.14,360
12,South Korea,Asiatic Region,1330,1197,25836,3987,19.43,174
13,Turkey,Middle East,1181,1043,11844,1651,10.03,146
14,Brazil,Latin America,1167,995,19647,3192,16.84,175
15,India,Asiatic Region,1135,793,13316,3067,11.73,140
16,Switzerland,Western Europe,1024,898,35646,4005,34.81,279
17,Sweden,Western Europe,812,738,40306,4849,49.64,294
18,Belgium,Western Europe,633,552,23055,2480,36.42,245
19,Denmark,Western Europe,576,534,29531,2912,51.27,238
20,Austria,Western Europe,549,464,26086,2131,47.52,251
21,Taiwan,Asiatic Region,474,430,10378,1160,21.89,143
22,Russian Federation,Eastern Europe,465,452,5049,1042,10.86,99
23,Israel,Middle East,432,393,12981,1063,30.05,208
24,Poland,Eastern Europe,423,393,8222,878,19.44,138
25,Iran,Middle East,390,361,6137,1409,15.74,97
26,Norway,Western Europe,378,341,15989,1390,42.3,206
27,Finland,Western Europe,349,324,20167,1281,57.79,229
28,Czech Republic,Eastern Europe,347,328,5967,921,17.2,123
29,Greece,Western Europe,289,243,7579,652,26.22,136
30,Portugal,Western Europe,278,240,6362,705,22.88,159
31,Ireland,Western Europe,238,205,7376,714,30.99,151
32,New Zealand,Pacific Region,209,182,7040,701,33.68,144
33,Mexico,Latin America,207,194,3103,373,14.99,104
34,Argentina,Latin America,203,174,8001,461,39.41,133
35,Hungary,Eastern Europe,185,172,4403,505,23.8,127
36,Singapore,Asiatic Region,179,153,5496,434,30.7,120
37,Egypt,Africa/Middle East,172,161,2222,191,12.92,80
38,Hong Kong,Asiatic Region,161,149,8883,553,55.17,126
39,Saudi Arabia,Middle East,152,136,2998,208,19.72,80
40,Chile,Latin America,140,126,4141,351,29.58,91
41,Thailand,Asiatic Region,108,95,1991,188,18.44,78
42,South Africa,Africa,102,99,5808,501,56.94,97
43,Serbia,Eastern Europe,98,88,2727,135,27.83,76
44,Malaysia,Asiatic Region,98,93,2309,256,23.56,70
45,Romania,Eastern Europe,94,85,1847,74,19.65,64
46,Colombia,Latin America,78,71,2412,214,30.92,75
47,Croatia,Eastern Europe,67,58,1352,111,20.18,68
48,Nigeria,Africa,66,56,1559,157,23.62,53
49,Pakistan,Asiatic Region,57,48,1307,94,22.93,59
50,Slovenia,Eastern Europe,56,42,1505,93,26.88,78
51,Slovakia,Eastern Europe,56,54,1595,90,28.48,68
52,Cuba,Latin America,51,47,961,47,18.84,52
53,Tunisia,Africa,44,37,382,51,8.68,46
54,Peru,Latin America,43,37,892,70,20.74,50
55,Kuwait,Middle East,38,34,853,76,22.45,44
56,Lebanon,Middle East,32,26,791,40,24.72,65
57,Luxembourg,Western Europe,32,30,1717,70,53.66,70
58,Ecuador,Latin America,31,27,506,111,16.32,49
59,Qatar,Middle East,31,30,1010,89,32.58,43
60,United Arab Emirates,Middle East,30,27,636,36,21.2,55
61,Estonia,Eastern Europe,27,22,522,18,19.33,63
62,Bulgaria,Eastern Europe,27,23,1035,27,38.33,58
63,Morocco,Africa,26,14,467,10,17.96,41
64,Jordan,Middle East,22,19,555,10,25.23,41
65,Puerto Rico,Latin America,22,21,516,18,23.45,48
66,Kenya,Africa,21,19,577,52,27.48,40
67,Ukraine,Eastern Europe,19,19,196,18,10.32,38
68,Lithuania,Eastern Europe,18,17,794,31,44.11,51
69,Iceland,Western Europe,18,17,853,31,47.39,72
70,Grenada,Latin America,18,18,179,18,9.94,26
71,Cyprus,Western Europe,18,15,399,31,22.17,44
72,Philippines,Asiatic Region,17,15,310,23,18.24,52
73,Oman,Middle East,15,13,171,11,11.4,35
74,Uganda,Africa,14,14,639,76,45.64,42
75,Uruguay,Latin America,13,13,747,26,57.46,47
76,Paraguay,Latin America,13,13,386,4,29.69,18
77,Indonesia,Asiatic Region,13,12,487,16,37.46,34
78,Bolivia,Latin America,13,12,318,1,24.46,24
79,Nepal,Asiatic Region,12,9,202,28,16.83,23
80,Guatemala,Latin America,12,12,324,7,27.0,16
81,Ethiopia,Africa,11,11,542,49,49.27,29
82,El Salvador,Latin America,11,11,374,0,34.0,15
83,Bangladesh,Asiatic Region,11,9,285,30,25.91,35
84,Honduras,Latin America,10,10,337,12,33.7,25
85,Venezuela,Latin America,10,10,339,5,33.9,45
86,Macao,Asiatic Region,10,8,153,16,15.3,23
87,Cameroon,Africa,9,9,136,30,15.11,29
88,Malta,Western Europe,8,8,235,7,29.38,27
89,Azerbaijan,Eastern Europe,8,8,322,0,40.25,11
90,Côte d’Ivoire,Africa,8,8,10,0,1.25,11
91,Benin,Africa,7,6,47,1,6.71,17
92,Ghana,Africa,7,7,327,98,46.71,33
93,Sri Lanka,Asiatic Region,7,7,294,25,42.0,34
94,Zambia,Africa,7,5,297,32,42.43,29
95,Algeria,Africa,7,6,95,3,13.57,35
96,Senegal,Africa,7,6,52,2,7.43,19
97,Belarus,Eastern Europe,6,6,35,3,5.83,19
98,Congo,Africa,6,6,67,5,11.17,14
99,Georgia,Eastern Europe,6,6,131,1,21.83,38
100,Faroe Islands,Western Europe,6,3,42,20,7.0,14
101,Iraq,Middle East,6,3,71,8,11.83,22
102,Albania,Eastern Europe,6,5,80,3,13.33,14
103,Bosnia and Herzegovina,Eastern Europe,6,5,378,10,63.0,20
104,Togo,Africa,6,5,16,0,2.67,8
105,Martinique,Latin America,6,5,2552,6,425.33,25
106,Kazakhstan,Asiatic Region,5,5,37,2,7.4,12
107,Moldova,Eastern Europe,5,5,380,4,76.0,16
108,Myanmar,Asiatic Region,5,4,320,0,64.0,13
109,Palestine,Middle East,5,5,110,6,22.0,17
110,Rwanda,Africa,5,5,355,6,71.0,14
111,Botswana,Africa,5,5,448,10,89.6,12
112,Bahrain,Middle East,5,5,332,2,66.4,25
113,Tanzania,Africa,5,2,62,3,12.4,30
114,Latvia,Eastern Europe,4,4,99,1,24.75,28
