Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,7874,7261,579175,258496,73.56,848
2,Japan,Asiatic Region,2772,2719,100753,21467,36.35,378
3,Germany,Western Europe,1615,1538,80214,14240,49.67,455
4,United Kingdom,Western Europe,1598,1387,103590,14427,64.82,502
5,Italy,Western Europe,1393,1289,60446,10011,43.39,436
6,France,Western Europe,1253,1166,56576,7114,45.15,452
7,China,Asiatic Region,895,892,16652,5085,18.61,327
8,Canada,Northern America,707,668,57679,6205,81.58,426
9,Netherlands,Western Europe,695,660,49111,5821,70.66,396
10,Australia,Pacific Region,475,437,28169,2914,59.3,363
11,Spain,Western Europe,468,426,20320,2382,43.42,375
12,Sweden,Western Europe,458,435,26477,3293,57.81,306
13,Belgium,Western Europe,327,304,19539,1689,59.75,328
14,Turkey,Middle East,323,289,4659,622,14.42,128
15,Greece,Western Europe,313,288,11718,1405,37.44,204
16,Switzerland,Western Europe,309,286,20757,1582,67.17,344
17,Austria,Western Europe,273,254,15429,1053,56.52,256
18,Poland,Eastern Europe,250,247,6357,805,25.43,222
19,Taiwan,Asiatic Region,245,244,10127,1409,41.33,208
20,South Korea,Asiatic Region,201,197,11293,1616,56.18,255
21,India,Asiatic Region,200,184,6085,1577,30.43,164
22,Israel,Middle East,198,193,8661,768,43.74,234
23,Finland,Western Europe,191,185,15089,1328,79.0,214
24,Denmark,Western Europe,158,147,10507,1126,66.5,264
25,Norway,Western Europe,140,139,9929,907,70.92,228
26,Hungary,Eastern Europe,127,123,2670,332,21.02,150
27,Russian Federation,Eastern Europe,124,120,2593,163,20.91,169
28,Hong Kong,Asiatic Region,118,112,7662,875,64.93,191
29,Brazil,Latin America,101,97,4414,661,43.7,180
30,Czech Republic,Eastern Europe,99,95,3301,573,33.34,173
31,Argentina,Latin America,64,60,1916,218,29.94,117
32,Slovenia,Eastern Europe,57,56,2408,157,42.25,120
33,Singapore,Asiatic Region,56,56,5579,316,99.63,176
34,Mexico,Latin America,54,50,2145,150,39.72,121
35,Portugal,Western Europe,50,47,3254,213,65.08,161
36,Ireland,Western Europe,45,41,2467,146,54.82,174
37,New Zealand,Pacific Region,45,43,3822,286,84.93,130
38,Ukraine,Eastern Europe,36,36,360,73,10.0,90
39,Slovakia,Eastern Europe,32,30,1013,133,31.66,101
40,Thailand,Asiatic Region,32,29,2226,173,69.56,117
41,Croatia,Eastern Europe,31,29,552,72,17.81,78
42,South Africa,Africa,31,31,1873,123,60.42,109
43,Egypt,Africa/Middle East,29,29,761,31,26.24,103
44,Saudi Arabia,Middle East,26,23,651,38,25.04,94
45,Bulgaria,Eastern Europe,22,21,252,40,11.45,64
46,Chile,Latin America,22,20,2146,61,97.55,100
47,Romania,Eastern Europe,20,18,72,3,3.6,101
48,Serbia,Eastern Europe,13,12,192,42,14.77,74
49,Iran,Middle East,13,13,495,168,38.08,103
50,Iceland,Western Europe,13,12,1251,34,96.23,96
51,Belarus,Eastern Europe,12,12,102,7,8.5,52
52,Estonia,Eastern Europe,11,11,377,37,34.27,75
53,Uruguay,Latin America,11,10,206,27,18.73,61
54,Kuwait,Middle East,11,11,287,13,26.09,39
55,Lebanon,Middle East,10,7,254,17,25.4,74
