Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3682,3312,147984,61133,40.19,391
2,United Kingdom,Western Europe,1230,914,36989,7016,30.07,236
3,Japan,Asiatic Region,1164,1111,20757,4651,17.83,188
4,China,Asiatic Region,1128,1090,8059,3064,7.14,137
5,Germany,Western Europe,861,781,26999,5740,31.36,216
6,Australia,Pacific Region,508,442,18990,3858,37.38,194
7,India,Asiatic Region,367,294,6872,1547,18.72,127
8,Canada,Northern America,350,328,10376,1663,29.65,157
9,Brazil,Latin America,342,322,5135,894,15.01,117
10,France,Western Europe,339,331,8459,1410,24.95,151
11,Spain,Western Europe,299,273,7175,1470,24.0,136
12,Italy,Western Europe,298,281,9090,1378,30.5,150
13,Turkey,Middle East,253,230,5169,650,20.43,91
14,Switzerland,Western Europe,193,183,5553,578,28.77,148
15,South Korea,Asiatic Region,182,173,4892,577,26.88,113
16,Netherlands,Western Europe,180,166,8545,1144,47.47,150
17,Poland,Eastern Europe,131,131,1510,183,11.53,60
18,Taiwan,Asiatic Region,129,114,3527,405,27.34,86
19,Austria,Western Europe,124,117,3335,336,26.9,114
20,Hong Kong,Asiatic Region,121,85,3244,300,26.81,104
21,Israel,Middle East,115,109,3285,239,28.57,100
22,Singapore,Asiatic Region,100,81,4564,702,45.64,147
23,Mexico,Latin America,92,90,911,83,9.9,64
24,Sweden,Western Europe,89,85,3107,393,34.91,107
25,Belgium,Western Europe,83,81,1944,154,23.42,87
26,New Zealand,Pacific Region,71,53,1571,190,22.13,80
27,Iran,Middle East,68,65,813,145,11.96,73
28,Greece,Western Europe,63,61,1970,183,31.27,86
29,Saudi Arabia,Middle East,56,48,1355,147,24.2,71
30,Denmark,Western Europe,54,50,1544,213,28.59,88
31,Czech Republic,Eastern Europe,50,49,297,78,5.94,44
32,Ireland,Western Europe,49,42,1401,93,28.59,76
33,Hungary,Eastern Europe,48,47,1049,93,21.85,65
34,Finland,Western Europe,48,43,1560,109,32.5,87
35,Thailand,Asiatic Region,31,28,970,56,31.29,59
36,Tunisia,Africa,28,27,270,40,9.64,33
37,Norway,Western Europe,24,21,830,60,34.58,60
38,Portugal,Western Europe,23,23,671,102,29.17,72
39,Argentina,Latin America,22,22,430,94,19.55,60
40,Egypt,Africa/Middle East,20,20,707,23,35.35,67
41,South Africa,Africa,20,17,225,49,11.25,50
42,Lebanon,Middle East,19,18,624,11,32.84,40
43,Malaysia,Asiatic Region,19,18,624,23,32.84,43
44,Tanzania,Africa,14,12,480,51,34.29,35
45,Pakistan,Asiatic Region,14,13,287,69,20.5,34
46,Iceland,Western Europe,13,11,824,95,63.38,57
47,Oman,Middle East,12,12,94,10,7.83,28
48,Slovenia,Eastern Europe,11,11,173,10,15.73,34
49,Morocco,Africa,10,10,138,4,13.8,17
50,Russian Federation,Eastern Europe,10,10,182,57,18.2,47
51,Slovakia,Eastern Europe,9,9,51,10,5.67,18
52,Colombia,Latin America,9,9,258,16,28.67,44
53,Nigeria,Africa,9,8,115,36,12.78,29
54,Chile,Latin America,9,7,183,10,20.33,40
55,Lithuania,Eastern Europe,7,7,189,11,27.0,23
56,Nepal,Asiatic Region,7,6,212,44,30.29,36
57,United Arab Emirates,Middle East,6,5,152,4,25.33,33
58,Bulgaria,Eastern Europe,6,6,114,1,19.0,28
59,Philippines,Asiatic Region,5,5,151,2,30.2,32
60,Estonia,Eastern Europe,5,5,460,20,92.0,30
61,Serbia,Eastern Europe,5,5,164,7,32.8,24
62,Viet Nam,Asiatic Region,5,5,90,6,18.0,20
63,Venezuela,Latin America,5,3,30,0,6.0,46
64,Ethiopia,Africa,4,4,138,46,34.5,29
65,Papua New Guinea,Pacific Region,4,2,45,12,11.25,8
66,Côte d’Ivoire,Africa,4,4,13,0,3.25,7
67,Jordan,Middle East,4,4,65,0,16.25,24
68,Gambia,Africa,4,4,132,8,33.0,17
69,Ghana,Africa,4,3,55,5,13.75,22
70,Barbados,Latin America,4,4,181,5,45.25,24
71,Romania,Eastern Europe,3,3,204,0,68.0,23
72,Mali,Africa,3,3,20,1,6.67,7
73,Costa Rica,Latin America,3,3,57,1,19.0,31
74,Croatia,Eastern Europe,3,2,36,3,12.0,27
75,Congo,Africa,3,3,16,1,5.33,10
76,Martinique,Latin America,2,2,23,0,11.5,11
77,Indonesia,Asiatic Region,2,2,57,1,28.5,30
78,Senegal,Africa,2,2,26,3,13.0,8
79,Kenya,Africa,2,1,17,0,8.5,29
80,Solomon Islands,Pacific Region,2,0,13,2,6.5,5
81,Algeria,Africa,2,2,47,18,23.5,11
82,Bolivia,Latin America,2,2,4,0,2.0,4
83,Ukraine,Eastern Europe,2,2,26,0,13.0,15
84,Puerto Rico,Latin America,2,2,5,0,2.5,34
85,Ecuador,Latin America,2,2,58,3,29.0,12
86,Zambia,Africa,1,1,20,4,20.0,6
87,Myanmar,Asiatic Region,1,1,36,0,36.0,16
88,Mongolia,Asiatic Region,1,1,23,0,23.0,14
89,Malawi,Africa,1,0,4,2,4.0,18
90,Kuwait,Middle East,1,1,33,0,33.0,19
91,Cambodia,Asiatic Region,1,1,4,2,4.0,7
92,Honduras,Latin America,1,1,35,0,35.0,2
93,Guatemala,Latin America,1,1,0,0,0.0,7
94,Panama,Latin America,1,1,62,9,62.0,4
95,Guinea,Africa,1,1,21,0,21.0,3
96,Paraguay,Latin America,1,1,29,0,29.0,15
97,Qatar,Middle East,1,1,3,2,3.0,25
98,Reunion,Africa,1,1,8,0,8.0,2
99,Cape Verde,Africa,1,1,18,0,18.0,1
100,Syrian Arab Republic,Middle East,1,1,1,0,1.0,10
101,Togo,Africa,1,1,3,2,3.0,6
102,Cameroon,Africa,1,1,50,7,50.0,12
103,Bhutan,Asiatic Region,1,1,34,0,34.0,7
104,Uganda,Africa,1,1,39,7,39.0,13
105,Bangladesh,Asiatic Region,1,1,66,11,66.0,17
106,Virgin Islands (U.S.),Latin America,1,1,5,0,5.0,3
