Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6667,6230,248791,113293,37.32,467
2,China,Asiatic Region,1798,1782,15305,5668,8.51,127
3,United Kingdom,Western Europe,1790,1691,65168,14482,36.41,309
4,Germany,Western Europe,1524,1448,40602,9829,26.64,230
5,France,Western Europe,1028,965,29027,5138,28.24,218
6,Canada,Northern America,991,935,47771,6812,48.2,273
7,Japan,Asiatic Region,950,927,25552,6043,26.9,204
8,Australia,Pacific Region,941,891,50863,10900,54.05,277
9,Italy,Western Europe,620,584,22936,4385,36.99,187
10,Spain,Western Europe,597,568,17765,4540,29.76,167
11,Switzerland,Western Europe,565,542,25296,2950,44.77,237
12,Brazil,Latin America,560,547,12984,4496,23.19,130
13,Netherlands,Western Europe,520,497,26940,3289,51.81,222
14,South Korea,Asiatic Region,480,472,13283,1996,27.67,139
15,Turkey,Middle East,351,338,5378,779,15.32,96
16,India,Asiatic Region,320,291,4451,790,13.91,88
17,Sweden,Western Europe,312,295,17262,2038,55.33,221
18,Belgium,Western Europe,282,275,11864,1136,42.07,178
19,Austria,Western Europe,226,218,6516,856,28.83,136
20,Greece,Western Europe,224,213,5977,599,26.68,119
21,Denmark,Western Europe,218,206,12383,2192,56.8,184
22,Norway,Western Europe,215,206,12724,1674,59.18,180
23,Taiwan,Asiatic Region,214,205,4921,544,23.0,100
24,New Zealand,Pacific Region,206,202,9440,966,45.83,143
25,Finland,Western Europe,151,145,6881,721,45.57,162
26,Poland,Eastern Europe,145,142,2154,406,14.86,77
27,Ireland,Western Europe,139,138,4818,460,34.66,114
28,Portugal,Western Europe,138,136,4215,1099,30.54,99
29,Israel,Middle East,132,126,4172,435,31.61,113
30,Hong Kong,Asiatic Region,131,126,4083,470,31.17,113
31,Iran,Middle East,109,104,2261,349,20.74,73
32,Czech Republic,Eastern Europe,107,102,1020,214,9.53,65
33,Singapore,Asiatic Region,79,73,3181,220,40.27,94
34,South Africa,Africa,74,67,2445,274,33.04,111
35,Tunisia,Africa,66,66,2630,219,39.85,73
36,Egypt,Africa/Middle East,65,64,1515,64,23.31,54
37,Qatar,Middle East,47,44,2778,322,59.11,97
38,Croatia,Eastern Europe,46,32,872,87,18.96,61
39,Morocco,Africa,46,45,210,24,4.57,27
40,Argentina,Latin America,44,40,820,66,18.64,64
41,Serbia,Eastern Europe,40,39,641,72,16.03,45
42,Thailand,Asiatic Region,34,28,617,36,18.15,63
43,Slovenia,Eastern Europe,34,33,1037,159,30.5,65
44,Mexico,Latin America,32,29,991,43,30.97,55
45,Lebanon,Middle East,28,28,766,50,27.36,43
46,Malaysia,Asiatic Region,27,27,658,108,24.37,62
47,Hungary,Eastern Europe,26,25,1526,67,58.69,72
48,Estonia,Eastern Europe,20,20,676,43,33.8,49
49,Cuba,Latin America,19,19,7,5,0.37,11
50,Saudi Arabia,Middle East,19,17,449,72,23.63,57
51,Colombia,Latin America,18,17,695,142,38.61,48
52,Lithuania,Eastern Europe,18,18,369,55,20.5,33
