Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1986,1923,58410,23603,29.41,253
2,Japan,Asiatic Region,962,958,9933,2243,10.33,112
3,United Kingdom,Western Europe,649,639,13232,2714,20.39,162
4,Germany,Western Europe,406,402,6972,2207,17.17,146
5,Italy,Western Europe,250,247,2920,520,11.68,116
6,Spain,Western Europe,215,215,1881,222,8.75,96
7,France,Western Europe,195,194,2516,471,12.9,104
8,Canada,Northern America,164,161,5635,560,34.36,125
9,Sweden,Western Europe,144,144,3991,563,27.72,106
10,Netherlands,Western Europe,128,127,4606,596,35.98,122
11,Australia,Pacific Region,127,127,3174,482,24.99,127
12,India,Asiatic Region,105,96,388,121,3.7,84
13,Belgium,Western Europe,98,97,2050,261,20.92,99
14,Brazil,Latin America,85,85,763,184,8.98,97
15,Finland,Western Europe,78,75,1852,319,23.74,81
16,Israel,Middle East,70,69,1608,113,22.97,85
17,Switzerland,Western Europe,63,63,1614,162,25.62,96
18,Denmark,Western Europe,57,57,1542,185,27.05,81
19,Austria,Western Europe,50,50,917,96,18.34,87
20,Turkey,Middle East,49,49,848,126,17.31,80
21,Taiwan,Asiatic Region,38,37,747,192,19.66,82
22,Norway,Western Europe,36,36,1399,96,38.86,69
23,Hong Kong,Asiatic Region,28,28,702,72,25.07,75
24,South Korea,Asiatic Region,27,27,405,49,15.0,81
25,Saudi Arabia,Middle East,27,27,454,15,16.81,48
26,Poland,Eastern Europe,23,23,161,31,7.0,58
27,Greece,Western Europe,21,21,298,24,14.19,73
28,Czech Republic,Eastern Europe,21,21,307,47,14.62,42
29,China,Asiatic Region,20,20,486,60,24.3,82
30,Ireland,Western Europe,20,20,510,6,25.5,51
31,South Africa,Africa,19,19,611,45,32.16,55
32,Russian Federation,Eastern Europe,17,16,110,11,6.47,33
33,Egypt,Africa/Middle East,15,15,416,16,27.73,56
34,New Zealand,Pacific Region,15,14,326,34,21.73,63
35,Mexico,Latin America,13,13,233,22,17.92,46
36,Thailand,Asiatic Region,10,10,430,7,43.0,58
37,Singapore,Asiatic Region,10,10,141,28,14.1,57
38,Croatia,Eastern Europe,9,9,106,20,11.78,36
39,Malaysia,Asiatic Region,9,9,144,5,16.0,41
40,Ukraine,Eastern Europe,8,8,0,0,0.0,16
41,Slovakia,Eastern Europe,7,7,18,0,2.57,25
42,Iran,Middle East,7,7,67,5,9.57,54
43,Hungary,Eastern Europe,6,6,69,4,11.5,39
44,Morocco,Africa,6,6,5,0,0.83,16
45,Argentina,Latin America,5,5,61,9,12.2,38
46,Philippines,Asiatic Region,4,4,89,0,22.25,20
47,Colombia,Latin America,4,4,35,5,8.75,33
48,Zimbabwe,Africa,4,4,77,6,19.25,15
49,Oman,Middle East,3,3,38,0,12.67,17
50,Venezuela,Latin America,3,3,59,0,19.67,20
51,Bulgaria,Eastern Europe,3,3,6,1,2.0,22
52,Nigeria,Africa,3,3,132,21,44.0,43
53,Chile,Latin America,3,3,151,19,50.33,40
54,Papua New Guinea,Pacific Region,3,3,16,1,5.33,11
55,Costa Rica,Latin America,2,2,16,1,8.0,16
56,Jordan,Middle East,2,2,99,14,49.5,36
57,Cuba,Latin America,2,2,282,17,141.0,13
58,Iceland,Western Europe,2,2,19,0,9.5,16
59,Portugal,Western Europe,2,2,10,0,5.0,48
60,Slovenia,Eastern Europe,2,2,75,12,37.5,45
61,Senegal,Africa,2,2,20,1,10.0,8
62,United Arab Emirates,Middle East,2,2,60,0,30.0,31
63,Dominican Republic,Latin America,1,1,1,0,1.0,5
64,Algeria,Africa,1,1,1,0,1.0,10
65,Lebanon,Middle East,1,1,33,0,33.0,31
66,Ghana,Africa,1,1,2,0,2.0,12
67,Greenland,Western Europe,1,1,44,12,44.0,8
68,Togo,Africa,1,1,3,0,3.0,4
69,Cambodia,Asiatic Region,1,1,38,3,38.0,6
70,Bahrain,Middle East,1,1,12,0,12.0,8
71,Macedonia,Eastern Europe,1,1,17,0,17.0,11
72,Tanzania,Africa,1,1,85,6,85.0,14
73,Luxembourg,Western Europe,1,1,18,0,18.0,18
74,Bangladesh,Asiatic Region,1,1,38,0,38.0,10
75,Uruguay,Latin America,1,1,9,0,9.0,20
76,Pakistan,Asiatic Region,1,1,20,0,20.0,25
77,Cameroon,Africa,1,1,5,0,5.0,9
78,Sudan,Africa,1,1,34,10,34.0,11
