Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3062,2948,129715,60241,42.36,409
2,Japan,Asiatic Region,1025,1019,27234,7708,26.57,205
3,United Kingdom,Western Europe,1015,1000,36109,6818,35.58,264
4,Germany,Western Europe,770,765,25137,5915,32.65,246
5,France,Western Europe,508,503,12296,2274,24.2,198
6,Italy,Western Europe,502,492,13449,2343,26.79,194
7,Canada,Northern America,380,375,13952,1929,36.72,214
8,Spain,Western Europe,350,342,6251,1234,17.86,155
9,Australia,Pacific Region,249,246,6113,1149,24.55,172
10,Netherlands,Western Europe,236,234,9721,1279,41.19,206
11,Russian Federation,Eastern Europe,179,179,499,107,2.79,63
12,Poland,Eastern Europe,179,178,1811,418,10.12,96
13,Sweden,Western Europe,160,159,7122,982,44.51,152
14,Switzerland,Western Europe,152,151,7600,720,50.0,185
15,India,Asiatic Region,138,134,1576,499,11.42,92
16,Austria,Western Europe,127,120,5625,507,44.29,151
17,Denmark,Western Europe,118,118,3716,463,31.49,123
18,Finland,Western Europe,113,113,4337,568,38.38,132
19,Belgium,Western Europe,107,105,4320,484,40.37,142
20,China,Asiatic Region,83,83,910,96,10.96,136
21,Hong Kong,Asiatic Region,79,75,2833,260,35.86,106
22,Turkey,Middle East,72,72,797,151,11.07,82
23,Israel,Middle East,70,69,1424,166,20.34,101
24,Brazil,Latin America,68,68,2041,427,30.01,111
25,Norway,Western Europe,62,61,2221,231,35.82,109
26,Taiwan,Asiatic Region,59,58,2569,314,43.54,100
27,Romania,Eastern Europe,57,57,137,58,2.4,48
28,Greece,Western Europe,52,51,901,172,17.33,88
29,Hungary,Eastern Europe,48,46,752,134,15.67,81
30,South Africa,Africa,46,42,1047,54,22.76,77
31,New Zealand,Pacific Region,40,38,1038,85,25.95,93
32,Malaysia,Asiatic Region,26,26,269,23,10.35,51
33,South Korea,Asiatic Region,25,25,485,45,19.4,114
34,Ireland,Western Europe,23,23,840,90,36.52,85
35,Portugal,Western Europe,23,23,509,87,22.13,108
36,Singapore,Asiatic Region,20,19,277,31,13.85,80
37,Saudi Arabia,Middle East,20,19,226,8,11.3,63
38,Czech Republic,Eastern Europe,18,18,379,54,21.06,87
39,Argentina,Latin America,15,15,401,43,26.73,63
40,Slovenia,Eastern Europe,14,14,304,13,21.71,49
41,Ukraine,Eastern Europe,14,14,73,9,5.21,22
42,United Arab Emirates,Middle East,13,13,93,27,7.15,33
43,Mexico,Latin America,13,12,278,81,21.38,76
44,Slovakia,Eastern Europe,13,13,155,23,11.92,46
45,Egypt,Africa/Middle East,9,9,108,16,12.0,59
46,Croatia,Eastern Europe,9,9,217,48,24.11,48
47,Chile,Latin America,9,9,177,63,19.67,59
48,Senegal,Africa,8,8,92,5,11.5,22
49,Serbia,Eastern Europe,7,7,105,8,15.0,36
50,Iceland,Western Europe,6,6,136,17,22.67,33
51,Kuwait,Middle East,6,6,103,8,17.17,33
52,Bulgaria,Eastern Europe,6,6,82,1,13.67,28
53,Iran,Middle East,6,6,71,5,11.83,59
54,Tanzania,Africa,5,5,123,17,24.6,21
55,Thailand,Asiatic Region,5,5,126,7,25.2,57
56,Burkina Faso,Africa,5,5,18,2,3.6,19
57,Puerto Rico,Latin America,4,4,254,25,63.5,23
58,Martinique,Latin America,4,4,18,0,4.5,6
59,Jordan,Middle East,4,4,17,1,4.25,34
60,Belarus,Eastern Europe,4,4,44,18,11.0,21
61,Benin,Africa,4,4,47,11,11.75,13
62,Venezuela,Latin America,4,4,79,8,19.75,30
63,Guam,Pacific Region,3,3,52,2,17.33,9
64,Cameroon,Africa,3,3,14,0,4.67,15
65,Pakistan,Asiatic Region,3,3,39,15,13.0,36
66,Estonia,Eastern Europe,3,3,36,4,12.0,29
67,Morocco,Africa,3,3,36,15,12.0,22
68,Niger,Africa,3,3,4,1,1.33,12
69,Cayman Islands,Latin America,3,3,81,0,27.0,7
70,Côte d’Ivoire,Africa,3,3,38,6,12.67,19
71,Sudan,Africa,3,3,82,28,27.33,24
72,Lithuania,Eastern Europe,2,2,75,6,37.5,26
73,Madagascar,Africa,2,2,23,0,11.5,13
74,Mali,Africa,2,2,3,0,1.5,9
75,Malta,Western Europe,2,2,15,0,7.5,11
76,Nigeria,Africa,2,2,23,13,11.5,35
