Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5670,5292,180615,95570,31.85,476
2,United Kingdom,Western Europe,1271,1154,35384,8581,27.84,307
3,France,Western Europe,898,834,11342,2315,12.63,179
4,Italy,Western Europe,875,810,10928,1854,12.49,186
5,Germany,Western Europe,862,817,13036,2847,15.12,204
6,Japan,Asiatic Region,690,670,8913,1676,12.92,126
7,Spain,Western Europe,629,608,4579,1140,7.28,141
8,Canada,Northern America,493,466,16525,2339,33.52,252
9,Netherlands,Western Europe,422,411,8358,1301,19.81,211
10,India,Asiatic Region,415,377,3599,1254,8.67,110
11,Australia,Pacific Region,338,300,9776,1786,28.92,208
12,Turkey,Middle East,302,269,3048,571,10.09,104
13,Sweden,Western Europe,236,224,9287,1872,39.35,180
14,Israel,Middle East,215,204,5442,481,25.31,150
15,Switzerland,Western Europe,190,175,3805,312,20.03,157
16,Belgium,Western Europe,182,173,4289,404,23.57,143
17,Taiwan,Asiatic Region,148,148,1597,191,10.79,91
18,Finland,Western Europe,133,128,3997,509,30.05,141
19,Czech Republic,Eastern Europe,107,106,384,94,3.59,74
20,Austria,Western Europe,101,98,1644,109,16.28,112
21,Denmark,Western Europe,93,90,4525,779,48.66,140
22,Norway,Western Europe,85,83,3526,412,41.48,134
23,Brazil,Latin America,81,75,796,147,9.83,104
24,Croatia,Eastern Europe,73,73,174,49,2.38,63
25,Poland,Eastern Europe,70,68,595,76,8.5,104
26,Saudi Arabia,Middle East,64,63,804,127,12.56,61
27,Greece,Western Europe,60,58,1030,81,17.17,94
28,South Africa,Africa,55,54,1462,196,26.58,98
29,New Zealand,Pacific Region,51,51,2307,327,45.24,129
30,Slovakia,Eastern Europe,49,47,103,30,2.1,35
31,Portugal,Western Europe,49,45,173,5,3.53,79
32,Mexico,Latin America,49,46,644,42,13.14,76
33,Hong Kong,Asiatic Region,45,41,970,168,21.56,99
34,Argentina,Latin America,41,41,360,60,8.78,76
35,Bulgaria,Eastern Europe,40,40,37,0,0.93,34
36,Chile,Latin America,40,40,463,69,11.58,92
37,Cuba,Latin America,36,36,113,46,3.14,20
38,Hungary,Eastern Europe,31,28,243,51,7.84,79
39,Ireland,Western Europe,29,27,847,50,29.21,104
40,South Korea,Asiatic Region,29,29,726,47,25.03,91
41,Singapore,Asiatic Region,27,27,417,100,15.44,66
42,Tunisia,Africa,21,21,145,25,6.9,33
43,Nigeria,Africa,21,20,295,87,14.05,53
44,Oman,Middle East,20,20,238,7,11.9,30
45,Thailand,Asiatic Region,17,17,290,28,17.06,65
46,United Arab Emirates,Middle East,16,15,135,24,8.44,40
47,Malaysia,Asiatic Region,15,15,343,29,22.87,53
48,China,Asiatic Region,15,15,454,83,30.27,110
49,Uganda,Africa,15,15,86,7,5.73,48
50,Egypt,Africa/Middle East,15,15,314,25,20.93,65
51,Jordan,Middle East,15,15,367,52,24.47,40
52,Bangladesh,Asiatic Region,14,14,278,31,19.86,56
53,Pakistan,Asiatic Region,14,14,378,84,27.0,60
54,Kuwait,Middle East,12,11,133,5,11.08,42
55,Gambia,Africa,11,11,437,71,39.73,41
56,Estonia,Eastern Europe,11,10,338,26,30.73,49
57,Romania,Eastern Europe,10,10,256,8,25.6,43
58,Zimbabwe,Africa,9,9,108,9,12.0,31
