Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,8622,8441,66651,36791,7.73,165
2,United States,Northern America,8162,7387,77158,30943,9.45,425
3,United Kingdom,Western Europe,2858,2520,31647,6923,11.07,337
4,Germany,Western Europe,2212,1823,16309,3367,7.37,250
5,Italy,Western Europe,2166,1880,26346,7032,12.16,214
6,India,Asiatic Region,1704,1538,8885,2837,5.21,152
7,France,Western Europe,1568,1356,19762,2687,12.6,234
8,Japan,Asiatic Region,1555,1493,9273,2278,5.96,192
9,Australia,Pacific Region,1307,1169,13086,2438,10.01,241
10,Canada,Northern America,1290,1163,12728,1999,9.87,257
11,Spain,Western Europe,1207,1098,12981,2321,10.75,205
12,Netherlands,Western Europe,1176,1089,12800,1942,10.88,222
13,Iran,Middle East,812,760,6813,1840,8.39,95
14,Russian Federation,Eastern Europe,752,739,2719,797,3.62,76
15,Switzerland,Western Europe,736,681,9081,1127,12.34,204
16,Brazil,Latin America,694,649,6054,1427,8.72,144
17,South Korea,Asiatic Region,669,638,5496,950,8.22,124
18,Sweden,Western Europe,538,502,4960,756,9.22,187
19,Belgium,Western Europe,503,472,8010,878,15.92,181
20,Turkey,Middle East,482,432,2958,606,6.14,102
21,Denmark,Western Europe,430,399,4751,627,11.05,168
22,Poland,Eastern Europe,387,376,4078,493,10.54,108
23,Saudi Arabia,Middle East,386,370,4521,1214,11.71,75
24,Taiwan,Asiatic Region,361,334,8378,661,23.21,121
25,Egypt,Africa/Middle East,335,323,3655,898,10.91,72
26,South Africa,Africa,323,313,3387,817,10.49,121
27,New Zealand,Pacific Region,319,300,4918,311,15.42,168
28,Greece,Western Europe,308,268,2683,364,8.71,128
29,Portugal,Western Europe,301,274,4631,540,15.39,108
30,Malaysia,Asiatic Region,275,262,2963,497,10.77,76
31,Austria,Western Europe,273,248,3323,380,12.17,136
32,Indonesia,Asiatic Region,258,256,1304,548,5.05,47
33,Thailand,Asiatic Region,257,248,1602,295,6.23,103
34,Serbia,Eastern Europe,253,243,1162,126,4.59,59
35,Colombia,Latin America,237,223,1141,256,4.81,68
36,Norway,Western Europe,219,202,2316,305,10.58,128
37,Ireland,Western Europe,217,198,3472,315,16.0,130
38,Israel,Middle East,209,187,2421,271,11.58,136
39,Pakistan,Asiatic Region,202,178,2789,578,13.81,62
40,Mexico,Latin America,201,188,1632,177,8.12,82
41,Singapore,Asiatic Region,166,154,1871,158,11.27,106
42,Ethiopia,Africa,163,162,1648,423,10.11,37
43,Nigeria,Africa,161,158,1142,219,7.09,57
44,Hong Kong,Asiatic Region,160,153,2003,167,12.52,104
45,Iraq,Middle East,154,152,588,212,3.82,35
46,Finland,Western Europe,140,129,2253,130,16.09,135
47,Argentina,Latin America,138,131,1380,148,10.0,93
48,Chile,Latin America,126,123,1716,185,13.62,69
49,Czech Republic,Eastern Europe,121,118,1356,123,11.21,86
50,Hungary,Eastern Europe,103,97,1040,145,10.1,92
51,Romania,Eastern Europe,98,94,1188,212,12.12,57
52,United Arab Emirates,Middle East,95,91,907,92,9.55,44
53,Lebanon,Middle East,94,89,1507,140,16.03,51
54,Viet Nam,Asiatic Region,88,88,4076,129,46.32,53
55,Ukraine,Eastern Europe,86,86,330,88,3.84,38
56,Qatar,Middle East,75,68,971,74,12.95,41
57,Jordan,Middle East,73,72,446,64,6.11,41
58,Kenya,Africa,71,70,530,96,7.46,59
59,Uganda,Africa,61,60,551,113,9.03,66
60,Bangladesh,Asiatic Region,55,54,814,136,14.8,42
61,Bulgaria,Eastern Europe,55,54,497,25,9.04,44
62,Ecuador,Latin America,54,52,201,92,3.72,27
63,Croatia,Eastern Europe,51,46,653,44,12.8,61
64,Slovenia,Eastern Europe,48,45,982,59,20.46,67
65,Tunisia,Africa,46,41,334,53,7.26,43
66,Macao,Asiatic Region,43,38,479,35,11.14,33
67,Tanzania,Africa,40,40,422,90,10.55,51
68,Peru,Latin America,38,35,251,34,6.61,49
69,Ghana,Africa,37,35,330,86,8.92,40
70,Slovakia,Eastern Europe,37,33,266,47,7.19,48
71,Syrian Arab Republic,Middle East,36,34,304,16,8.44,19
72,Cameroon,Africa,36,36,415,34,11.53,44
73,Kuwait,Middle East,35,27,176,33,5.03,36
74,Nepal,Asiatic Region,35,33,310,68,8.86,33
75,Cyprus,Western Europe,34,31,371,23,10.91,31
76,Oman,Middle East,32,26,224,29,7.0,30
77,Philippines,Asiatic Region,32,31,317,30,9.91,50
78,Morocco,Africa,31,30,233,40,7.52,38
79,Zimbabwe,Africa,24,24,312,47,13.0,45
80,Estonia,Eastern Europe,24,24,439,29,18.29,49
81,Malawi,Africa,23,21,230,39,10.0,41
82,Sudan,Africa,20,18,344,21,17.2,30
83,Venezuela,Latin America,20,20,191,9,9.55,57
84,Uruguay,Latin America,19,19,174,20,9.16,39
85,Latvia,Eastern Europe,19,18,212,15,11.16,39
86,Bahrain,Middle East,19,17,227,8,11.95,33
87,Lithuania,Eastern Europe,19,18,226,18,11.89,45
88,Sri Lanka,Asiatic Region,16,14,134,13,8.38,32
89,Bosnia and Herzegovina,Eastern Europe,15,12,61,9,4.07,25
90,Kazakhstan,Asiatic Region,15,15,58,10,3.87,15
91,Zambia,Africa,15,15,269,47,17.93,38
92,Georgia,Eastern Europe,14,13,80,9,5.71,27
93,Cambodia,Asiatic Region,14,14,52,8,3.71,38
94,Belarus,Eastern Europe,13,13,82,9,6.31,21
95,Algeria,Africa,13,12,177,7,13.62,30
96,Costa Rica,Latin America,13,13,146,20,11.23,26
97,Montenegro,Eastern Europe,12,11,68,20,5.67,13
98,Democratic Republic Congo,Africa,12,9,133,7,11.08,10
99,Côte d’Ivoire,Africa,12,11,45,5,3.75,33
100,Iceland,Western Europe,12,10,107,9,8.92,44
101,Cuba,Latin America,12,12,53,8,4.42,39
102,Rwanda,Africa,11,11,82,11,7.45,25
103,Myanmar,Asiatic Region,11,11,18,3,1.64,12
104,Uzbekistan,Asiatic Region,11,11,25,8,2.27,12
105,Botswana,Africa,10,9,220,35,22.0,32
106,Gambia,Africa,10,10,93,14,9.3,26
107,Puerto Rico,Latin America,9,9,64,2,7.11,50
108,Malta,Western Europe,9,8,65,7,7.22,33
109,Panama,Latin America,9,9,41,1,4.56,19
110,Burkina Faso,Africa,8,8,25,3,3.13,29
111,Palestine,Middle East,8,8,64,1,8.0,25
112,Luxembourg,Western Europe,8,7,832,3,104.0,42
113,Mali,Africa,7,7,64,5,9.14,23
114,Namibia,Africa,7,6,208,38,29.71,19
115,Senegal,Africa,7,7,76,4,10.86,34
116,Benin,Africa,7,7,59,3,8.43,19
117,Albania,Eastern Europe,6,6,110,7,18.33,16
118,Kyrgyzstan,Asiatic Region,6,5,8,0,1.33,7
119,Trinidad and Tobago,Latin America,6,6,75,6,12.5,16
120,Brunei Darussalam,Asiatic Region,6,5,21,6,3.5,13
121,Mozambique,Africa,6,6,24,5,4.0,31
122,Haïti,Latin America,5,5,42,3,8.4,17
123,Dominican Republic,Latin America,5,5,22,1,4.4,16
124,Jamaica,Latin America,5,3,70,0,14.0,21
125,Guatemala,Latin America,5,5,43,5,8.6,21
126,Togo,Africa,5,5,15,4,3.0,10
127,Mongolia,Asiatic Region,4,3,49,5,12.25,10
128,Azerbaijan,Eastern Europe,4,4,119,2,29.75,13
129,Barbados,Latin America,4,4,89,2,22.25,14
