Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,7298,6796,328342,178420,44.99,606
2,United Kingdom,Western Europe,2138,1899,84404,22612,39.48,396
3,Germany,Western Europe,1153,1069,27764,6960,24.08,260
4,Canada,Northern America,827,773,31207,7422,37.74,302
5,Japan,Asiatic Region,799,792,16889,3261,21.14,174
6,Australia,Pacific Region,789,732,27596,6953,34.98,285
7,France,Western Europe,665,633,19267,4446,28.97,238
8,Italy,Western Europe,589,549,17136,3957,29.09,218
9,Brazil,Latin America,511,503,13172,7883,25.78,183
10,Spain,Western Europe,507,456,18023,5470,35.55,216
11,Sweden,Western Europe,490,467,27315,5343,55.74,236
12,Netherlands,Western Europe,473,443,24350,4740,51.48,272
13,India,Asiatic Region,408,372,10277,3702,25.19,180
14,Russian Federation,Eastern Europe,376,371,2572,587,6.84,86
15,China,Asiatic Region,313,310,12185,4923,38.93,238
16,Switzerland,Western Europe,304,261,11299,1318,37.17,250
17,Denmark,Western Europe,261,251,13072,2978,50.08,209
18,Finland,Western Europe,251,245,11801,1378,47.02,185
19,Poland,Eastern Europe,219,216,4156,990,18.98,130
20,Belgium,Western Europe,216,204,6870,953,31.81,187
21,Thailand,Asiatic Region,192,186,3720,956,19.38,121
22,Mexico,Latin America,190,182,4194,1197,22.07,123
23,Norway,Western Europe,185,181,10656,2335,57.6,174
24,Taiwan,Asiatic Region,183,181,5767,1051,31.51,138
25,Israel,Middle East,176,168,4087,653,23.22,125
26,South Africa,Africa,166,154,3965,1138,23.89,157
27,Czech Republic,Eastern Europe,127,127,1267,269,9.98,103
28,New Zealand,Pacific Region,119,110,5518,625,46.37,147
29,South Korea,Asiatic Region,115,114,4456,706,38.75,154
30,Greece,Western Europe,106,100,7674,1763,72.4,143
31,Turkey,Middle East,106,103,2380,551,22.45,107
32,Austria,Western Europe,103,98,2051,237,19.91,127
33,Hong Kong,Asiatic Region,85,84,4222,579,49.67,146
