Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3452,3181,120441,55697,34.89,460
2,Japan,Asiatic Region,1309,1288,14755,3478,11.27,211
3,United Kingdom,Western Europe,962,873,33108,7467,34.42,359
4,Germany,Western Europe,531,516,11647,2595,21.93,266
5,Canada,Northern America,511,483,22436,4083,43.91,307
6,France,Western Europe,490,467,17318,2769,35.34,264
7,Italy,Western Europe,418,388,10523,1669,25.17,253
8,Spain,Western Europe,276,258,6816,1449,24.7,243
9,Netherlands,Western Europe,200,191,9165,1204,45.83,235
10,Australia,Pacific Region,165,158,6098,989,36.96,225
11,Belgium,Western Europe,143,139,6567,629,45.92,213
12,Sweden,Western Europe,133,128,5324,721,40.03,189
13,South Korea,Asiatic Region,129,128,677,126,5.25,133
14,Poland,Eastern Europe,128,126,681,186,5.32,118
15,Switzerland,Western Europe,120,118,4448,429,37.07,196
16,China,Asiatic Region,85,84,807,228,9.49,160
17,India,Asiatic Region,85,66,838,153,9.86,106
18,Austria,Western Europe,71,66,938,78,13.21,137
19,Taiwan,Asiatic Region,62,62,1426,178,23.0,105
20,Israel,Middle East,61,56,1913,175,31.36,116
21,Mexico,Latin America,60,59,1075,145,17.92,102
22,Denmark,Western Europe,59,57,2641,312,44.76,170
23,Turkey,Middle East,58,50,1246,231,21.48,107
24,Finland,Western Europe,51,48,2824,257,55.37,115
25,Brazil,Latin America,51,45,1833,236,35.94,147
26,Greece,Western Europe,39,38,748,125,19.18,127
27,Norway,Western Europe,37,33,1129,164,30.51,121
28,Hong Kong,Asiatic Region,34,29,1156,166,34.0,126
29,Ireland,Western Europe,33,32,682,55,20.67,114
30,Czech Republic,Eastern Europe,27,27,136,7,5.04,86
31,New Zealand,Pacific Region,23,21,1210,102,52.61,119
32,Slovakia,Eastern Europe,20,20,151,19,7.55,53
33,South Africa,Africa,18,15,721,82,40.06,127
34,Argentina,Latin America,17,16,391,17,23.0,89
35,Saudi Arabia,Middle East,11,10,199,12,18.09,69
36,Russian Federation,Eastern Europe,11,11,117,2,10.64,72
37,Hungary,Eastern Europe,10,10,141,26,14.1,83
38,Philippines,Asiatic Region,10,10,5,1,0.5,40
39,Romania,Eastern Europe,9,9,2,2,0.22,54
40,Singapore,Asiatic Region,8,7,80,0,10.0,92
41,Thailand,Asiatic Region,7,7,57,0,8.14,65
42,Slovenia,Eastern Europe,7,7,143,6,20.43,44
43,Tunisia,Africa,5,5,38,1,7.6,40
44,Iran,Middle East,5,4,21,1,4.2,55
45,Pakistan,Asiatic Region,4,4,17,0,4.25,36
46,Chile,Latin America,4,4,441,8,110.25,80
47,Portugal,Western Europe,4,4,40,2,10.0,86
48,Morocco,Africa,3,3,18,2,6.0,30
49,Macedonia,Eastern Europe,3,3,1,0,0.33,19
50,Venezuela,Latin America,3,3,115,20,38.33,51
51,Lithuania,Eastern Europe,3,3,26,3,8.67,43
52,Egypt,Africa/Middle East,3,3,0,0,0.0,57
53,Ukraine,Eastern Europe,3,3,169,2,56.33,31
54,Croatia,Eastern Europe,2,2,42,5,21.0,44
55,Zimbabwe,Africa,2,2,16,1,8.0,19
56,Serbia,Eastern Europe,2,2,0,0,0.0,48
57,United Arab Emirates,Middle East,2,2,9,1,4.5,40
58,Colombia,Latin America,2,2,222,6,111.0,53
59,Azerbaijan,Eastern Europe,2,2,2,0,1.0,12
60,Nigeria,Africa,2,2,50,2,25.0,27
61,Bulgaria,Eastern Europe,2,2,38,1,19.0,38
62,Iceland,Western Europe,2,2,170,16,85.0,61
63,Qatar,Middle East,1,1,1,0,1.0,24
64,Indonesia,Asiatic Region,1,1,8,3,8.0,32
65,Gambia,Africa,1,1,6,0,6.0,24
66,Ghana,Africa,1,1,1,0,1.0,19
67,Estonia,Eastern Europe,1,1,43,2,43.0,52
68,Lebanon,Middle East,1,1,0,0,0.0,36
69,Latvia,Eastern Europe,1,1,0,0,0.0,38
70,Malaysia,Asiatic Region,1,1,3,0,3.0,45
71,Cameroon,Africa,1,1,6,0,6.0,22
72,Panama,Latin America,1,0,1,0,1.0,9
73,Côte d’Ivoire,Africa,1,1,1,0,1.0,14
74,Puerto Rico,Latin America,1,1,0,0,0.0,32
75,Guinea,Africa,1,1,19,0,19.0,11
76,Burkina Faso,Africa,1,1,6,2,6.0,14
77,Uruguay,Latin America,1,1,51,14,51.0,62
