Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1826,1786,56246,24991,30.8,306
2,United Kingdom,Western Europe,547,493,16548,3926,30.25,208
3,Germany,Western Europe,254,245,5587,1191,22.0,160
4,Canada,Northern America,201,198,9121,1425,45.38,191
5,Australia,Pacific Region,156,153,6012,1081,38.54,166
6,Netherlands,Western Europe,147,143,5505,986,37.45,177
7,France,Western Europe,137,136,3750,901,27.37,141
8,Italy,Western Europe,131,130,3699,603,28.24,164
9,Japan,Asiatic Region,103,103,3273,543,31.78,108
10,Sweden,Western Europe,76,76,3189,414,41.96,137
11,Belgium,Western Europe,69,66,3085,385,44.71,146
12,Israel,Middle East,56,55,2382,247,42.54,108
13,Turkey,Middle East,43,42,556,82,12.93,86
14,Austria,Western Europe,40,36,789,51,19.73,90
15,Taiwan,Asiatic Region,40,39,1436,135,35.9,94
16,Switzerland,Western Europe,38,37,2429,216,63.92,134
17,Finland,Western Europe,36,36,2294,194,63.72,99
18,Spain,Western Europe,31,30,1899,164,61.26,117
19,Denmark,Western Europe,23,22,1618,151,70.35,132
20,Ireland,Western Europe,19,15,816,100,42.95,84
21,New Zealand,Pacific Region,19,19,194,26,10.21,83
22,Cuba,Latin America,18,18,14,9,0.78,14
23,Slovakia,Eastern Europe,17,17,12,8,0.71,20
24,Slovenia,Eastern Europe,16,16,539,76,33.69,49
25,India,Asiatic Region,16,16,340,103,21.25,59
26,Brazil,Latin America,15,15,370,65,24.67,78
27,Hong Kong,Asiatic Region,15,15,503,47,33.53,84
28,South Africa,Africa,14,14,521,38,37.21,55
29,Norway,Western Europe,14,14,471,65,33.64,89
30,South Korea,Asiatic Region,12,12,275,14,22.92,84
31,Greece,Western Europe,10,10,287,29,28.7,75
32,Singapore,Asiatic Region,10,10,238,30,23.8,68
33,China,Asiatic Region,10,10,319,42,31.9,96
34,Poland,Eastern Europe,9,9,215,22,23.89,58
35,Portugal,Western Europe,8,8,114,8,14.25,63
36,Czech Republic,Eastern Europe,8,8,228,15,28.5,46
37,Croatia,Eastern Europe,6,6,43,1,7.17,27
38,Egypt,Africa/Middle East,6,6,111,9,18.5,45
39,Russian Federation,Eastern Europe,6,6,167,37,27.83,35
40,Brunei Darussalam,Asiatic Region,4,4,119,0,29.75,8
41,Mexico,Latin America,4,4,208,85,52.0,36
42,Thailand,Asiatic Region,4,4,268,3,67.0,44
43,Hungary,Eastern Europe,4,2,37,24,9.25,36
44,Chile,Latin America,4,4,59,11,14.75,47
45,Saudi Arabia,Middle East,4,2,74,2,18.5,34
46,Jordan,Middle East,4,4,177,5,44.25,33
47,Argentina,Latin America,4,4,138,11,34.5,47
48,Serbia,Eastern Europe,3,3,33,12,11.0,26
49,Iceland,Western Europe,3,3,70,4,23.33,28
50,Costa Rica,Latin America,3,3,137,1,45.67,9
51,United Arab Emirates,Middle East,2,2,11,0,5.5,21
52,Puerto Rico,Latin America,2,2,249,0,124.5,23
53,Colombia,Latin America,2,2,43,0,21.5,28
54,Indonesia,Asiatic Region,2,2,68,1,34.0,21
55,Bulgaria,Eastern Europe,2,2,115,5,57.5,22
56,Kuwait,Middle East,2,2,39,2,19.5,17
57,Romania,Eastern Europe,1,1,0,0,0.0,25
58,Philippines,Asiatic Region,1,1,27,0,27.0,14
59,Venezuela,Latin America,1,1,43,1,43.0,14
60,Malta,Western Europe,1,1,0,0,0.0,14
61,Benin,Africa,1,1,1,0,1.0,6
62,Palestine,Middle East,1,0,1,0,1.0,7
63,Ukraine,Eastern Europe,1,1,4,0,4.0,17
64,Georgia,Eastern Europe,1,1,11,0,11.0,11
65,Pakistan,Asiatic Region,1,1,14,0,14.0,27
66,Zimbabwe,Africa,1,1,15,4,15.0,10
