Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1786,1615,64956,25011,36.37,278
2,United Kingdom,Western Europe,753,635,30762,5210,40.85,247
3,France,Western Europe,635,532,13562,2763,21.36,180
4,Italy,Western Europe,439,397,19997,4042,45.55,184
5,Germany,Western Europe,387,357,11682,1904,30.19,173
6,China,Asiatic Region,340,315,8800,2943,25.88,116
7,Japan,Asiatic Region,312,297,7171,1482,22.98,139
8,Spain,Western Europe,304,290,12420,2043,40.86,162
9,Canada,Northern America,294,274,11248,1373,38.26,169
10,Australia,Pacific Region,281,260,13750,2325,48.93,187
11,Netherlands,Western Europe,265,244,13638,1665,51.46,178
12,Turkey,Middle East,222,190,5140,785,23.15,104
13,Belgium,Western Europe,209,196,10375,1426,49.64,171
14,Brazil,Latin America,190,181,5061,936,26.64,105
15,South Korea,Asiatic Region,186,184,4834,747,25.99,88
16,India,Asiatic Region,171,151,4353,594,25.46,81
17,Iran,Middle East,164,159,2560,973,15.61,72
18,Sweden,Western Europe,162,149,7714,769,47.62,136
19,Israel,Middle East,124,111,4658,507,37.56,133
20,Denmark,Western Europe,118,109,6235,874,52.84,150
21,Egypt,Africa/Middle East,95,82,2091,254,22.01,78
22,Greece,Western Europe,91,85,3836,248,42.15,101
23,Taiwan,Asiatic Region,87,81,2610,307,30.0,82
24,Switzerland,Western Europe,86,80,3518,241,40.91,116
25,Austria,Western Europe,85,75,3820,321,44.94,94
26,Finland,Western Europe,61,57,2323,190,38.08,105
27,Norway,Western Europe,59,52,2853,242,48.36,93
28,Argentina,Latin America,54,52,1241,279,22.98,79
29,Poland,Eastern Europe,51,49,1443,256,28.29,76
30,Chile,Latin America,47,45,2148,284,45.7,76
31,Ireland,Western Europe,43,40,1901,303,44.21,77
32,New Zealand,Pacific Region,42,41,1549,177,36.88,82
33,Hong Kong,Asiatic Region,42,42,1994,188,47.48,76
34,Mexico,Latin America,39,39,1419,94,36.38,64
35,Portugal,Western Europe,38,36,876,216,23.05,68
36,Czech Republic,Eastern Europe,37,33,1532,148,41.41,65
37,South Africa,Africa,37,36,1730,253,46.76,78
38,Nigeria,Africa,35,34,527,145,15.06,44
39,Hungary,Eastern Europe,28,26,620,72,22.14,65
40,Romania,Eastern Europe,26,26,103,22,3.96,27
41,Thailand,Asiatic Region,25,15,432,40,17.28,47
42,Tunisia,Africa,22,22,443,22,20.14,36
43,Saudi Arabia,Middle East,20,20,460,31,23.0,50
44,Kenya,Africa,18,16,393,62,21.83,46
45,Morocco,Africa,16,16,114,16,7.13,24
46,Serbia,Eastern Europe,15,15,225,29,15.0,35
47,Slovenia,Eastern Europe,14,13,399,17,28.5,45
48,Uganda,Africa,11,10,609,85,55.36,32
49,Singapore,Asiatic Region,11,9,420,10,38.18,60
50,Lebanon,Middle East,10,9,188,6,18.8,28
51,Croatia,Eastern Europe,10,9,257,46,25.7,45
52,Venezuela,Latin America,9,9,7,3,0.78,26
53,Ghana,Africa,9,9,156,41,17.33,33
54,United Arab Emirates,Middle East,8,7,517,18,64.63,33
55,Indonesia,Asiatic Region,8,8,192,30,24.0,31
56,Malaysia,Asiatic Region,8,8,231,12,28.88,42
57,Russian Federation,Eastern Europe,7,7,351,20,50.14,41
58,Ethiopia,Africa,7,6,253,72,36.14,39
59,Côte d’Ivoire,Africa,7,7,22,0,3.14,9
60,Senegal,Africa,7,7,29,6,4.14,14
61,Colombia,Latin America,6,5,125,13,20.83,34
62,Cuba,Latin America,6,6,138,7,23.0,19
63,Peru,Latin America,6,5,156,6,26.0,30
64,Estonia,Eastern Europe,6,5,180,14,30.0,35
65,Burkina Faso,Africa,6,6,78,21,13.0,13
66,Puerto Rico,Latin America,5,5,220,28,44.0,19
67,Tanzania,Africa,5,5,315,42,63.0,30
68,Sri Lanka,Asiatic Region,5,5,169,19,33.8,27
69,Zimbabwe,Africa,5,5,64,10,12.8,17
70,Namibia,Africa,5,5,101,9,20.2,12
71,Bahrain,Middle East,5,5,89,10,17.8,20
72,Nepal,Asiatic Region,5,5,279,45,55.8,25
73,Ukraine,Eastern Europe,4,4,692,13,173.0,30
74,Bangladesh,Asiatic Region,4,4,218,40,54.5,28
75,Congo,Africa,4,4,23,2,5.75,12
76,Zambia,Africa,4,4,84,10,21.0,24
77,Viet Nam,Asiatic Region,4,4,112,9,28.0,26
78,Lithuania,Eastern Europe,3,2,44,6,14.67,21
79,Malta,Western Europe,3,2,175,0,58.33,12
80,Panama,Latin America,3,3,26,2,8.67,12
81,Slovakia,Eastern Europe,3,3,68,4,22.67,24
82,Jordan,Middle East,3,3,17,0,5.67,32
83,Pakistan,Asiatic Region,3,3,45,5,15.0,39
84,Monaco,Western Europe,3,3,157,1,52.33,11
85,Rwanda,Africa,3,3,86,2,28.67,16
86,Cameroon,Africa,3,3,72,12,24.0,15
87,Bosnia and Herzegovina,Eastern Europe,2,2,37,5,18.5,7
88,Iraq,Middle East,2,2,26,1,13.0,22
89,Moldova,Eastern Europe,2,2,11,0,5.5,12
90,Madagascar,Africa,2,2,29,5,14.5,9
91,Malawi,Africa,2,2,139,27,69.5,21
92,Oman,Middle East,2,1,64,9,32.0,16
93,Ecuador,Latin America,2,2,71,11,35.5,15
94,Qatar,Middle East,2,2,0,0,0.0,25
95,Bulgaria,Eastern Europe,2,1,15,4,7.5,34
96,Uruguay,Latin America,2,2,223,10,111.5,26
97,Paraguay,Latin America,1,1,14,0,14.0,5
98,Dominican Republic,Latin America,1,1,10,1,10.0,28
99,Philippines,Asiatic Region,1,0,5,0,5.0,20
100,Gabon,Africa,1,1,30,0,30.0,6
101,Togo,Africa,1,1,15,3,15.0,6
102,Belarus,Eastern Europe,1,1,634,1,634.0,9
103,Georgia,Eastern Europe,1,1,8,0,8.0,21
104,Laos,Asiatic Region,1,1,39,2,39.0,7
105,Trinidad and Tobago,Latin America,1,1,0,0,0.0,7
106,Gambia,Africa,1,1,63,7,63.0,13
107,Maldives,Asiatic Region,1,1,60,0,60.0,2
108,Mali,Africa,1,1,30,2,30.0,5
109,Latvia,Eastern Europe,1,1,96,1,96.0,19
110,Kuwait,Middle East,1,1,5,0,5.0,30
111,Cambodia,Asiatic Region,1,1,39,6,39.0,10
112,Azerbaijan,Eastern Europe,1,1,0,0,0.0,3
113,Liechtenstein,Western Europe,1,1,1,0,1.0,1
114,Yemen,Middle East,1,1,98,0,98.0,5
115,American Samoa,Pacific Region,1,1,13,0,13.0,1
116,Sudan,Africa,1,1,7,1,7.0,10
117,Cyprus,Western Europe,1,1,77,0,77.0,18
