Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1409,1159,90019,32868,63.89,374
2,United Kingdom,Western Europe,643,508,46266,8490,71.95,306
3,France,Western Europe,471,394,22205,3481,47.14,240
4,Germany,Western Europe,458,390,24460,4446,53.41,250
5,Italy,Western Europe,335,276,18579,3506,55.46,212
6,Japan,Asiatic Region,334,303,12904,2648,38.63,176
7,Netherlands,Western Europe,296,256,26666,3574,90.09,264
8,Spain,Western Europe,287,229,12764,1820,44.47,209
9,Canada,Northern America,285,251,21848,2915,76.66,230
10,Turkey,Middle East,273,246,6967,1625,25.52,135
11,Brazil,Latin America,139,130,3568,892,25.67,108
12,Sweden,Western Europe,135,128,14691,1714,108.82,200
13,Australia,Pacific Region,127,114,8180,1004,64.41,180
14,Switzerland,Western Europe,121,103,10904,614,90.12,180
15,Israel,Middle East,98,84,4430,406,45.2,125
16,Poland,Eastern Europe,96,92,4589,266,47.8,101
17,Belgium,Western Europe,89,74,9386,624,105.46,174
18,Austria,Western Europe,88,77,6174,745,70.16,162
19,Greece,Western Europe,79,65,4563,394,57.76,137
20,South Korea,Asiatic Region,78,64,3715,461,47.63,110
21,Finland,Western Europe,66,60,3308,269,50.12,125
22,Mexico,Latin America,62,55,1840,179,29.68,116
23,Denmark,Western Europe,58,57,6767,719,116.67,162
24,Czech Republic,Eastern Europe,55,52,4065,141,73.91,100
25,China,Asiatic Region,48,43,1493,411,31.1,120
26,Taiwan,Asiatic Region,48,42,1735,155,36.15,82
27,India,Asiatic Region,41,33,1260,213,30.73,71
28,Hong Kong,Asiatic Region,37,30,1050,84,28.38,81
29,Portugal,Western Europe,34,33,3082,80,90.65,103
30,Bulgaria,Eastern Europe,33,33,9,7,0.27,33
31,Hungary,Eastern Europe,33,29,3109,97,94.21,107
32,Norway,Western Europe,33,32,4535,273,137.42,138
33,Tunisia,Africa,30,13,244,18,8.13,35
34,Ireland,Western Europe,29,23,2495,67,86.03,109
35,Morocco,Africa,26,11,144,17,5.54,37
36,Argentina,Latin America,23,19,1586,35,68.96,97
37,New Zealand,Pacific Region,23,17,3311,139,143.96,96
38,Slovakia,Eastern Europe,21,21,201,12,9.57,45
39,Singapore,Asiatic Region,20,19,1036,55,51.8,62
40,South Africa,Africa,17,15,1011,108,59.47,67
41,Iran,Middle East,16,15,230,51,14.38,48
42,Lebanon,Middle East,14,11,309,14,22.07,36
43,Colombia,Latin America,13,12,309,31,23.77,52
44,Puerto Rico,Latin America,13,10,560,19,43.08,49
45,Slovenia,Eastern Europe,9,8,320,14,35.56,64
46,Egypt,Africa/Middle East,8,7,183,18,22.88,55
47,Kuwait,Middle East,8,8,157,2,19.63,24
48,Saudi Arabia,Middle East,8,7,73,12,9.13,50
49,Serbia,Eastern Europe,7,7,498,11,71.14,64
50,Chile,Latin America,7,6,386,41,55.14,56
51,Thailand,Asiatic Region,7,7,152,27,21.71,47
52,Romania,Eastern Europe,6,6,800,9,133.33,60
53,Lithuania,Eastern Europe,5,5,204,1,40.8,46
54,Croatia,Eastern Europe,5,3,47,1,9.4,45
55,Iceland,Western Europe,5,5,1048,11,209.6,59
56,Peru,Latin America,5,5,150,2,30.0,38
57,Qatar,Middle East,4,3,46,5,11.5,22
58,Philippines,Asiatic Region,4,4,37,16,9.25,35
59,Estonia,Eastern Europe,4,3,225,10,56.25,43
60,Venezuela,Latin America,4,4,102,1,25.5,32
61,Russian Federation,Eastern Europe,3,3,1514,25,504.67,72
62,Ukraine,Eastern Europe,2,1,156,0,78.0,32
63,Algeria,Africa,2,2,24,1,12.0,15
64,United Arab Emirates,Middle East,2,1,15,0,7.5,30
65,Indonesia,Asiatic Region,2,2,29,7,14.5,22
66,Malaysia,Asiatic Region,2,1,3,0,1.5,38
67,Congo,Africa,2,0,2,0,1.0,7
68,Zambia,Africa,1,1,9,1,9.0,9
69,Nepal,Asiatic Region,1,1,2,1,2.0,7
70,Barbados,Latin America,1,1,13,3,13.0,5
71,Macedonia,Eastern Europe,1,1,23,0,23.0,10
72,Latvia,Eastern Europe,1,1,40,3,40.0,33
73,Kenya,Africa,1,0,4,2,4.0,13
74,Iraq,Middle East,1,0,3,2,3.0,12
75,Armenia,Eastern Europe,1,1,25,1,25.0,18
76,Bangladesh,Asiatic Region,1,1,9,1,9.0,15
