Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,14056,12125,464881,211074,33.07,507
2,United Kingdom,Western Europe,3974,3279,99416,17823,25.02,324
3,Japan,Asiatic Region,3676,3456,67520,16670,18.37,238
4,Germany,Western Europe,3467,3096,77666,16480,22.4,277
5,Italy,Western Europe,2515,2214,55503,9171,22.07,247
6,Turkey,Middle East,1941,1773,25787,4036,13.29,130
7,France,Western Europe,1702,1501,40280,6924,23.67,261
8,Canada,Northern America,1469,1327,51457,6492,35.03,270
9,Spain,Western Europe,1240,1115,22036,3289,17.77,183
10,India,Asiatic Region,1159,976,15069,2777,13.0,138
11,Brazil,Latin America,1122,1027,20180,4022,17.99,140
12,China,Asiatic Region,1095,1030,22213,6867,20.29,147
13,South Korea,Asiatic Region,1030,991,28964,4515,28.12,155
14,Australia,Pacific Region,1008,850,30970,3945,30.72,215
15,Netherlands,Western Europe,980,867,37152,4484,37.91,240
16,Switzerland,Western Europe,699,631,25605,2317,36.63,231
17,Taiwan,Asiatic Region,691,647,14495,1647,20.98,138
18,Greece,Western Europe,661,560,11996,1097,18.15,135
19,Austria,Western Europe,509,454,12967,1129,25.48,172
20,Belgium,Western Europe,498,444,15016,1220,30.15,184
21,Sweden,Western Europe,460,414,16758,2101,36.43,223
22,Poland,Eastern Europe,427,395,3589,648,8.41,105
23,Israel,Middle East,315,282,8892,454,28.23,138
24,Iran,Middle East,309,262,5195,966,16.81,83
25,Hong Kong,Asiatic Region,274,239,8793,597,32.09,155
26,Mexico,Latin America,271,251,4020,267,14.83,90
27,Czech Republic,Eastern Europe,247,236,2581,574,10.45,93
28,Ireland,Western Europe,214,182,5229,429,24.43,121
29,Finland,Western Europe,212,195,7788,636,36.74,149
30,Denmark,Western Europe,200,185,10844,1268,54.22,166
31,Chile,Latin America,197,181,2087,231,10.59,77
32,Singapore,Asiatic Region,195,164,4567,314,23.42,111
33,Norway,Western Europe,166,155,7350,681,44.28,151
34,New Zealand,Pacific Region,165,139,4792,295,29.04,121
35,Saudi Arabia,Middle East,140,121,2102,151,15.01,74
36,Romania,Eastern Europe,131,127,813,218,6.21,58
37,South Africa,Africa,129,114,3183,323,24.67,99
38,Egypt,Africa/Middle East,127,118,2739,156,21.57,85
39,Russian Federation,Eastern Europe,96,75,778,108,8.1,71
40,Argentina,Latin America,94,77,1641,122,17.46,100
41,Portugal,Western Europe,94,86,2060,97,21.91,97
42,Thailand,Asiatic Region,93,90,2017,129,21.69,85
43,Cuba,Latin America,75,74,213,34,2.84,27
