Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1329,1233,50309,24065,37.85,299
2,Japan,Asiatic Region,604,591,9528,2283,15.77,132
3,Germany,Western Europe,461,416,13597,2539,29.49,183
4,France,Western Europe,402,371,9148,1444,22.76,178
5,United Kingdom,Western Europe,387,322,10921,1798,28.22,188
6,Italy,Western Europe,207,174,5642,909,27.26,166
7,Netherlands,Western Europe,155,129,4518,607,29.15,145
8,Spain,Western Europe,154,136,4967,697,32.25,151
9,Canada,Northern America,142,134,5338,594,37.59,178
10,Australia,Pacific Region,114,105,3964,471,34.77,133
11,Sweden,Western Europe,107,99,4964,574,46.39,135
12,Belgium,Western Europe,88,80,4061,375,46.15,142
13,Taiwan,Asiatic Region,83,80,905,210,10.9,78
14,Israel,Middle East,74,70,1267,131,17.12,81
15,South Korea,Asiatic Region,67,64,1091,105,16.28,83
16,Switzerland,Western Europe,67,55,2229,273,33.27,134
17,Poland,Eastern Europe,61,60,553,93,9.07,78
18,Turkey,Middle East,60,52,1618,234,26.97,82
19,Austria,Western Europe,58,52,1527,174,26.33,112
20,Hong Kong,Asiatic Region,45,43,670,59,14.89,69
21,Portugal,Western Europe,43,41,318,22,7.4,64
22,China,Asiatic Region,35,34,301,36,8.6,97
23,Finland,Western Europe,32,31,1346,134,42.06,77
24,Singapore,Asiatic Region,27,26,206,24,7.63,55
25,Norway,Western Europe,26,23,712,71,27.38,85
26,India,Asiatic Region,26,21,357,70,13.73,68
27,Brazil,Latin America,24,19,598,59,24.92,94
28,Denmark,Western Europe,23,21,686,71,29.83,84
29,Czech Republic,Eastern Europe,21,18,680,60,32.38,76
30,Thailand,Asiatic Region,15,14,128,8,8.53,39
31,Greece,Western Europe,14,12,243,17,17.36,66
32,South Africa,Africa,13,12,504,30,38.77,39
33,New Zealand,Pacific Region,12,9,818,27,68.17,60
34,Argentina,Latin America,11,9,226,54,20.55,57
35,Pakistan,Asiatic Region,10,10,70,29,7.0,29
36,Hungary,Eastern Europe,9,8,245,16,27.22,57
37,Iran,Middle East,9,9,70,15,7.78,47
38,Saudi Arabia,Middle East,8,6,135,8,16.88,49
39,Malaysia,Asiatic Region,7,7,96,4,13.71,29
40,Ireland,Western Europe,7,7,131,5,18.71,61
41,Russian Federation,Eastern Europe,7,6,82,5,11.71,46
42,Mexico,Latin America,6,6,117,45,19.5,54
43,Slovenia,Eastern Europe,4,3,118,6,29.5,34
44,United Arab Emirates,Middle East,4,4,25,4,6.25,15
45,Slovakia,Eastern Europe,3,3,84,9,28.0,33
46,Romania,Eastern Europe,3,3,236,4,78.67,56
47,Oman,Middle East,3,3,11,1,3.67,14
48,Serbia,Eastern Europe,2,2,47,27,23.5,29
49,Jordan,Middle East,2,2,3,0,1.5,19
50,Iceland,Western Europe,2,1,59,3,29.5,28
51,Kuwait,Middle East,2,2,20,2,10.0,20
52,Lebanon,Middle East,2,1,66,10,33.0,30
53,Lithuania,Eastern Europe,2,2,65,2,32.5,28
54,Latvia,Eastern Europe,2,2,84,3,42.0,19
55,Macedonia,Eastern Europe,2,1,59,1,29.5,33
56,Croatia,Eastern Europe,2,2,65,3,32.5,34
57,Egypt,Africa/Middle East,2,1,2,0,1.0,40
58,Estonia,Eastern Europe,2,2,57,1,28.5,22
59,Tunisia,Africa,2,2,22,3,11.0,29
60,Bulgaria,Eastern Europe,2,2,61,0,30.5,19
61,Cyprus,Western Europe,1,1,44,6,44.0,21
62,Colombia,Latin America,1,1,14,0,14.0,28
63,Nigeria,Africa,1,1,8,7,8.0,18
64,Monaco,Western Europe,1,0,6,0,6.0,10
65,Senegal,Africa,1,0,13,0,13.0,9
66,Brunei Darussalam,Asiatic Region,1,1,1,0,1.0,3
67,Venezuela,Latin America,1,1,10,4,10.0,19
68,Bahrain,Middle East,1,0,61,5,61.0,12
69,Albania,Eastern Europe,1,0,8,4,8.0,12
70,Ukraine,Eastern Europe,1,1,4,0,4.0,14
71,Armenia,Eastern Europe,1,0,7,1,7.0,4
72,Uruguay,Latin America,1,1,33,1,33.0,24
73,Philippines,Asiatic Region,1,1,3,0,3.0,17
74,Indonesia,Asiatic Region,1,1,24,11,24.0,12
