Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3602,2737,94305,41460,26.18,323
2,Germany,Western Europe,816,715,26554,4896,32.54,218
3,Japan,Asiatic Region,728,677,9099,2022,12.5,139
4,United Kingdom,Western Europe,725,571,21025,3645,29.0,216
5,Italy,Western Europe,577,473,22407,4351,38.83,206
6,France,Western Europe,507,439,17551,2371,34.62,185
7,Canada,Northern America,502,427,19753,2556,39.35,180
8,China,Asiatic Region,460,424,8965,2872,19.49,98
9,Spain,Western Europe,441,363,10082,1232,22.86,147
10,Turkey,Middle East,423,381,5591,1062,13.22,107
11,South Korea,Asiatic Region,393,375,7728,1223,19.66,99
12,India,Asiatic Region,319,235,4777,675,14.97,90
13,Netherlands,Western Europe,306,265,14244,1538,46.55,195
14,Australia,Pacific Region,264,227,7406,1314,28.05,136
15,Brazil,Latin America,251,177,4958,634,19.75,105
16,Egypt,Africa/Middle East,179,149,2980,290,16.65,84
17,Taiwan,Asiatic Region,174,167,3078,676,17.69,82
18,Iran,Middle East,167,152,2149,417,12.87,65
19,Austria,Western Europe,161,127,6328,547,39.3,145
20,Sweden,Western Europe,152,128,7946,609,52.28,158
21,Belgium,Western Europe,135,105,8794,595,65.14,156
22,Switzerland,Western Europe,129,112,5698,425,44.17,140
23,Poland,Eastern Europe,126,117,1798,244,14.27,64
24,Greece,Western Europe,105,89,2487,144,23.69,95
25,Denmark,Western Europe,91,84,2824,407,31.03,117
26,Israel,Middle East,77,55,2601,104,33.78,100
27,Czech Republic,Eastern Europe,61,55,1642,126,26.92,70
28,Portugal,Western Europe,56,50,1815,239,32.41,73
29,Argentina,Latin America,50,44,1149,183,22.98,57
30,Saudi Arabia,Middle East,48,41,1466,51,30.54,51
31,Ireland,Western Europe,47,42,667,60,14.19,62
32,Finland,Western Europe,39,37,2998,140,76.87,95
33,Norway,Western Europe,36,31,1015,97,28.19,86
34,Chile,Latin America,36,35,630,47,17.5,53
35,Malaysia,Asiatic Region,34,27,480,77,14.12,49
36,Tunisia,Africa,31,30,273,9,8.81,25
37,Singapore,Asiatic Region,28,27,878,31,31.36,56
38,South Africa,Africa,25,20,639,58,25.56,54
39,Hungary,Eastern Europe,24,23,625,37,26.04,51
40,Mexico,Latin America,23,22,983,66,42.74,61
41,Thailand,Asiatic Region,23,19,369,29,16.04,44
42,Romania,Eastern Europe,20,18,312,27,15.6,45
43,Hong Kong,Asiatic Region,19,17,345,58,18.16,56
44,Russian Federation,Eastern Europe,16,14,3029,45,189.31,54
45,Morocco,Africa,15,15,120,29,8.0,25
46,Serbia,Eastern Europe,14,14,272,38,19.43,33
47,New Zealand,Pacific Region,13,10,494,29,38.0,62
48,Nigeria,Africa,13,13,172,51,13.23,29
49,United Arab Emirates,Middle East,13,11,565,25,43.46,36
50,Croatia,Eastern Europe,12,12,285,16,23.75,37
51,Slovakia,Eastern Europe,11,10,213,13,19.36,32
52,Pakistan,Asiatic Region,10,8,101,14,10.1,39
53,Colombia,Latin America,9,3,14,2,1.56,27
54,Venezuela,Latin America,9,9,388,5,43.11,35
55,Senegal,Africa,9,9,48,9,5.33,11
56,Lithuania,Eastern Europe,6,6,33,11,5.5,16
57,Jordan,Middle East,6,6,114,1,19.0,31
58,Kuwait,Middle East,6,6,92,1,15.33,31
59,Bulgaria,Eastern Europe,6,4,46,5,7.67,20
60,Slovenia,Eastern Europe,6,4,47,3,7.83,29
61,Lebanon,Middle East,5,5,150,1,30.0,26
62,Cuba,Latin America,4,2,58,3,14.5,13
63,Oman,Middle East,4,4,8,0,2.0,14
64,Ukraine,Eastern Europe,4,4,72,15,18.0,17
65,Trinidad and Tobago,Latin America,4,3,44,0,11.0,9
66,Congo,Africa,4,4,19,0,4.75,5
67,Indonesia,Asiatic Region,4,4,37,5,9.25,18
68,Iraq,Middle East,3,3,62,3,20.67,16
69,Iceland,Western Europe,3,3,115,7,38.33,24
70,Ecuador,Latin America,3,3,74,11,24.67,11
71,Peru,Latin America,3,3,61,13,20.33,25
72,Philippines,Asiatic Region,3,3,40,3,13.33,21
73,Puerto Rico,Latin America,3,3,62,15,20.67,15
74,Uganda,Africa,3,3,69,9,23.0,13
