Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,131579,121158,6701081,3092121,50.93,1910
2,United Kingdom,Western Europe,37880,32335,1636264,336702,43.2,1314
3,Japan,Asiatic Region,37252,36292,961220,225174,25.8,796
4,Germany,Western Europe,31369,29693,1088007,229789,34.68,1096
5,France,Western Europe,23125,21464,765153,126071,33.09,1045
6,Italy,Western Europe,18420,17164,614089,108987,33.34,984
7,Canada,Northern America,15031,13983,768826,115195,51.15,1111
8,Spain,Western Europe,12624,11569,334352,64080,26.49,824
9,Netherlands,Western Europe,10407,9783,579622,75814,55.7,992
10,Australia,Pacific Region,10199,9271,428897,70145,42.05,935
11,Sweden,Western Europe,8156,7882,392367,50614,48.11,805
12,China,Asiatic Region,7815,7785,100547,33049,12.87,705
13,Switzerland,Western Europe,7072,6691,329000,32089,46.52,870
14,India,Asiatic Region,6189,5719,110782,35190,17.9,528
15,Belgium,Western Europe,5685,5348,235097,23435,41.35,789
16,Brazil,Latin America,4543,4376,113856,31434,25.06,557
17,Israel,Middle East,4190,3957,167764,17241,40.04,588
18,Denmark,Western Europe,4183,4045,214068,26380,51.18,716
19,Austria,Western Europe,4018,3761,156610,15450,38.98,605
20,Poland,Eastern Europe,3891,3823,59567,11558,15.31,518
21,Russian Federation,Eastern Europe,3872,3844,45714,9841,11.81,399
22,Turkey,Middle East,3783,3428,66375,12767,17.55,397
23,Finland,Western Europe,3668,3574,190284,20619,51.88,597
24,Taiwan,Asiatic Region,3668,3586,97742,15149,26.65,431
25,South Korea,Asiatic Region,3358,3295,94679,14465,28.2,537
26,Norway,Western Europe,2590,2509,106952,12659,41.29,591
27,Czech Republic,Eastern Europe,2371,2327,34581,6328,14.58,443
28,Greece,Western Europe,2136,2001,58764,8181,27.51,492
29,Mexico,Latin America,1991,1923,44417,7644,22.31,393
30,New Zealand,Pacific Region,1895,1762,79841,7309,42.13,485
31,Argentina,Latin America,1749,1695,39675,6007,22.68,392
32,Hungary,Eastern Europe,1710,1634,36480,4703,21.33,406
33,Hong Kong,Asiatic Region,1580,1435,57294,7349,36.26,464
34,South Africa,Africa,1510,1362,41569,6184,27.53,444
35,Ireland,Western Europe,1282,1170,57962,3940,45.21,486
36,Portugal,Western Europe,1156,1097,33214,4429,28.73,440
37,Thailand,Asiatic Region,979,947,27285,4355,27.87,335
38,Singapore,Asiatic Region,962,909,26136,2516,27.17,446
39,Slovakia,Eastern Europe,918,899,12193,1893,13.28,237
40,Saudi Arabia,Middle East,901,833,13585,1799,15.08,297
41,Croatia,Eastern Europe,777,755,9285,2029,11.95,253
42,Egypt,Africa/Middle East,731,710,17574,2021,24.04,261
43,Cuba,Latin America,702,671,6334,1728,9.02,142
44,Bulgaria,Eastern Europe,694,675,8427,1100,12.14,214
45,Chile,Latin America,637,622,17244,2186,27.07,314
46,Malaysia,Asiatic Region,597,570,11899,1771,19.93,287
47,Romania,Eastern Europe,584,570,4552,602,7.79,282
48,Pakistan,Asiatic Region,545,518,8102,1672,14.87,275
49,Ukraine,Eastern Europe,473,472,7686,1075,16.25,201
50,Slovenia,Eastern Europe,470,457,11230,1661,23.89,262
51,Nigeria,Africa,436,423,7521,1788,17.25,208
52,Morocco,Africa,365,354,5367,548,14.7,154
53,Serbia,Eastern Europe,324,320,3494,396,10.78,240
54,Venezuela,Latin America,302,293,6926,794,22.93,178
55,Tunisia,Africa,300,282,2825,573,9.42,181
56,Kenya,Africa,293,278,12579,2000,42.93,237
57,Colombia,Latin America,284,275,7553,846,26.6,276
58,Lebanon,Middle East,276,251,5490,381,19.89,219
59,Kuwait,Middle East,266,258,5007,543,18.82,142
60,Iran,Middle East,242,230,5108,1529,21.11,296
61,Bangladesh,Asiatic Region,211,203,5886,937,27.9,213
62,Indonesia,Asiatic Region,199,192,4910,425,24.67,195
63,Zimbabwe,Africa,192,186,3955,282,20.6,136
64,Senegal,Africa,178,168,2948,352,16.56,123
65,Jordan,Middle East,177,174,2996,280,16.93,149
66,Iceland,Western Europe,172,162,6711,445,39.02,238
67,United Arab Emirates,Middle East,168,154,3466,270,20.63,192
68,Estonia,Eastern Europe,161,157,4205,472,26.12,232
69,Belarus,Eastern Europe,159,159,3282,258,20.64,129
70,Puerto Rico,Latin America,147,141,10864,330,73.9,187
71,Philippines,Asiatic Region,139,138,5809,336,41.79,219
72,Ethiopia,Africa,130,127,4323,908,33.25,152
73,Uganda,Africa,124,116,7127,961,57.48,193
74,Uruguay,Latin America,123,118,5232,477,42.54,164
75,Viet Nam,Asiatic Region,116,110,5413,390,46.66,200
76,Tanzania,Africa,110,108,3848,585,34.98,177
77,Cameroon,Africa,107,105,3430,436,32.06,127
78,Côte d’Ivoire,Africa,106,101,3730,342,35.19,106
79,Lithuania,Eastern Europe,103,101,4948,307,48.04,203
80,Sri Lanka,Asiatic Region,98,95,2729,285,27.85,164
81,Ghana,Africa,98,93,3129,459,31.93,166
82,Nepal,Asiatic Region,98,77,2438,281,24.88,136
83,Jamaica,Latin America,92,90,3946,255,42.89,100
84,Peru,Latin America,90,88,4942,574,54.91,229
85,Oman,Middle East,86,74,1359,123,15.8,126
86,Malawi,Africa,73,62,3971,352,54.4,155
87,Burkina Faso,Africa,70,65,1727,214,24.67,109
88,Gambia,Africa,66,63,4073,311,61.71,135
89,Papua New Guinea,Pacific Region,65,64,2000,165,30.77,90
90,Bosnia and Herzegovina,Eastern Europe,64,63,198,18,3.09,97
91,Sudan,Africa,58,57,2063,198,35.57,104
92,Ecuador,Latin America,57,54,1511,160,26.51,130
93,Bolivia,Latin America,57,57,2429,198,42.61,97
94,Georgia,Eastern Europe,55,53,512,34,9.31,159
95,Madagascar,Africa,55,51,861,140,15.65,82
96,Algeria,Africa,54,53,814,76,15.07,121
97,Latvia,Eastern Europe,54,54,1943,150,35.98,163
98,Costa Rica,Latin America,51,49,1729,149,33.9,161
99,Luxembourg,Western Europe,48,47,1148,51,23.92,176
100,Bahrain,Middle East,47,40,388,49,8.26,89
101,Malta,Western Europe,47,45,1596,53,33.96,124
102,Trinidad and Tobago,Latin America,47,43,997,64,21.21,91
103,Guatemala,Latin America,46,43,2417,50,52.54,100
104,Gabon,Africa,46,45,1733,156,37.67,97
105,Togo,Africa,40,37,325,42,8.13,54
106,Cyprus,Western Europe,38,34,718,72,18.89,167
107,Armenia,Eastern Europe,38,35,906,83,23.84,86
108,Macedonia,Eastern Europe,35,33,477,17,13.63,120
109,Syrian Arab Republic,Middle East,35,34,999,97,28.54,86
110,Panama,Latin America,33,32,1499,114,45.42,126
111,Congo,Africa,33,32,311,51,9.42,100
112,Zambia,Africa,31,31,1044,114,33.68,136
113,Libya,Africa,30,30,496,29,16.53,69
114,Iraq,Middle East,29,27,374,31,12.9,116
115,Benin,Africa,29,28,718,138,24.76,94
116,Botswana,Africa,27,27,1722,74,63.78,95
117,Niger,Africa,26,25,618,35,23.77,69
118,Democratic Republic Congo,Africa,26,25,3169,98,121.88,63
119,Mali,Africa,24,24,537,35,22.38,100
120,Guadeloupe,Latin America,24,20,502,10,20.92,64
121,Dominican Republic,Latin America,23,21,669,21,29.09,79
122,Uzbekistan,Asiatic Region,23,22,242,7,10.52,61
123,Yemen,Middle East,22,22,458,40,20.82,72
124,Honduras,Latin America,21,21,644,47,30.67,70
125,Qatar,Middle East,21,19,279,2,13.29,179
126,Cambodia,Asiatic Region,20,16,433,83,21.65,110
127,Moldova,Eastern Europe,18,18,397,18,22.06,82
128,Central African Republic,Africa,17,17,390,16,22.94,50
129,Mozambique,Africa,17,17,585,42,34.41,117
130,Azerbaijan,Eastern Europe,17,16,185,10,10.88,69
131,Myanmar,Asiatic Region,16,16,299,14,18.69,71
132,Guinea-Bissau,Africa,15,15,762,112,50.8,68
133,Monaco,Western Europe,15,13,421,63,28.07,91
134,French Guiana,Latin America,15,14,405,16,27.0,65
135,Barbados,Latin America,14,13,657,42,46.93,78
136,Martinique,Latin America,14,12,145,6,10.36,49
137,Nicaragua,Latin America,14,13,579,73,41.36,78
138,Paraguay,Latin America,13,13,751,14,57.77,86
139,Guam,Pacific Region,13,13,374,29,28.77,53
140,Mongolia,Asiatic Region,12,12,262,13,21.83,82
141,New Caledonia,Pacific Region,11,10,365,13,33.18,62
142,Guyana,Latin America,11,11,433,6,39.36,39
143,Mauritius,Africa,11,11,889,5,80.82,68
144,Kazakhstan,Asiatic Region,11,11,695,45,63.18,87
145,Albania,Eastern Europe,10,9,63,3,6.3,73
146,Fiji,Pacific Region,9,9,196,4,21.78,67
147,Suriname,Latin America,9,9,268,22,29.78,41
148,Palestine,Middle East,9,9,298,13,33.11,92
149,French Polynesia,Pacific Region,9,9,273,23,30.33,63
150,Brunei Darussalam,Asiatic Region,8,7,223,5,27.88,67
151,Netherlands Antilles,Latin America,8,8,487,8,60.88,47
152,Rwanda,Africa,7,7,389,8,55.57,93
153,Mauritania,Africa,7,7,69,0,9.86,32
154,Kyrgyzstan,Asiatic Region,7,7,166,8,23.71,69
155,Namibia,Africa,7,7,183,5,26.14,68
156,Greenland,Western Europe,6,6,274,14,45.67,53
157,Tajikistan,Asiatic Region,5,5,176,1,35.2,37
158,Laos,Asiatic Region,5,5,105,15,21.0,81
159,Equatorial Guinea,Africa,5,5,286,13,57.2,31
160,Grenada,Latin America,5,5,139,3,27.8,63
161,El Salvador,Latin America,5,5,51,0,10.2,67
162,Burundi,Africa,5,5,246,4,49.2,45
163,Swaziland,Africa,4,3,39,0,9.75,55
164,Guinea,Africa,4,4,109,2,27.25,70
165,Liechtenstein,Western Europe,4,3,214,5,53.5,41
166,Bahamas,Latin America,4,2,188,2,47.0,33
167,Faroe Islands,Western Europe,4,4,559,33,139.75,59
168,Federated States of Micronesia,Pacific Region,4,4,63,1,15.75,32
169,Eritrea,Africa,4,4,173,3,43.25,40
170,Angola,Africa,4,4,163,5,40.75,47
171,Sierra Leone,Africa,4,4,121,8,30.25,73
172,Seychelles,Africa,3,3,133,12,44.33,48
173,Lesotho,Africa,3,3,30,2,10.0,36
174,Reunion,Africa,3,3,86,0,28.67,45
175,Chad,Africa,3,3,63,0,21.0,39
176,Haïti,Latin America,3,2,130,6,43.33,69
177,Vanuatu,Pacific Region,3,3,138,1,46.0,33
178,Somalia,Africa,2,2,12,0,6.0,28
179,Tonga,Pacific Region,2,2,41,5,20.5,29
180,Bermuda,Latin America,2,0,3,1,1.5,27
181,Afghanistan,Asiatic Region,2,2,21,0,10.5,55
182,Macao,Asiatic Region,2,1,0,0,0.0,112
183,Comoros,Africa,2,2,3,0,1.5,21
184,Virgin Islands (U.S.),Latin America,2,2,120,0,60.0,22
185,Solomon Islands,Pacific Region,2,2,20,1,10.0,37
186,Cayman Islands,Latin America,2,2,3,0,1.5,24
