Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,18670,17566,775901,308815,41.56,1588
2,China,Asiatic Region,15599,15390,366648,184488,23.5,560
3,United Kingdom,Western Europe,6098,5811,245024,48265,40.18,909
4,Germany,Western Europe,5701,5486,212357,42149,37.25,807
5,Japan,Asiatic Region,4348,4270,116192,24600,26.72,669
6,France,Western Europe,3443,3334,112974,18180,32.81,661
7,South Korea,Asiatic Region,3389,3340,83364,13057,24.6,363
8,Italy,Western Europe,2922,2832,92618,18911,31.7,538
9,Australia,Pacific Region,2747,2627,107086,19684,38.98,547
10,Canada,Northern America,2727,2595,106603,15339,39.09,665
11,India,Asiatic Region,2602,2304,49813,15755,19.14,270
12,Spain,Western Europe,2472,2419,77785,13209,31.47,463
13,Netherlands,Western Europe,1980,1900,77085,9544,38.93,580
14,Switzerland,Western Europe,1913,1848,85782,8641,44.84,604
15,Brazil,Latin America,1843,1792,47041,12138,25.52,299
16,Sweden,Western Europe,1576,1524,64738,7237,41.08,491
17,Taiwan,Asiatic Region,1497,1484,34325,4804,22.93,239
18,Denmark,Western Europe,991,941,50105,4639,50.56,412
19,Russian Federation,Eastern Europe,991,963,27298,5019,27.55,298
20,Belgium,Western Europe,976,935,35677,3423,36.55,379
21,Austria,Western Europe,894,874,35525,3462,39.74,363
22,Poland,Eastern Europe,854,839,21321,3405,24.97,215
23,Norway,Western Europe,688,659,25240,2955,36.69,293
24,Malaysia,Asiatic Region,688,670,11340,2298,16.48,122
25,Singapore,Asiatic Region,676,657,33087,2607,48.95,277
26,Israel,Middle East,662,636,31230,3170,47.18,387
27,Finland,Western Europe,623,605,22831,2377,36.65,320
28,Mexico,Latin America,577,550,16036,1928,27.79,223
29,South Africa,Africa,565,545,20144,3123,35.65,246
30,Hong Kong,Asiatic Region,538,522,22031,1754,40.95,236
31,Thailand,Asiatic Region,534,530,8352,1353,15.64,140
32,Czech Republic,Eastern Europe,523,518,14579,1899,27.88,199
33,Saudi Arabia,Middle East,518,510,24158,2592,46.64,187
34,Iran,Middle East,498,462,10124,2684,20.33,109
35,Portugal,Western Europe,470,461,19958,2040,42.46,219
36,New Zealand,Pacific Region,428,401,14975,1664,34.99,244
37,Argentina,Latin America,403,391,13844,1499,34.35,199
38,Turkey,Middle East,369,359,8309,999,22.52,139
39,Chile,Latin America,363,349,11623,1524,32.02,190
40,Egypt,Africa/Middle East,359,351,12295,1597,34.25,112
41,Ireland,Western Europe,338,328,16355,989,48.39,241
42,Hungary,Eastern Europe,327,318,9490,1358,29.02,197
43,Pakistan,Asiatic Region,309,302,7429,1660,24.04,101
44,Colombia,Latin America,305,293,6559,853,21.5,129
45,Greece,Western Europe,282,267,9564,1149,33.91,181
46,Bulgaria,Eastern Europe,231,231,1810,388,7.84,77
47,Nigeria,Africa,163,145,5146,773,31.57,83
48,Slovakia,Eastern Europe,154,149,2843,399,18.46,82
49,Indonesia,Asiatic Region,154,150,3567,712,23.16,125
50,Romania,Eastern Europe,153,149,4134,495,27.02,93
