Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3055,2893,89496,44653,29.29,376
2,United Kingdom,Western Europe,796,755,28298,7154,35.55,267
3,Germany,Western Europe,681,658,24411,5958,35.85,205
4,Canada,Northern America,567,550,18813,3673,33.18,208
5,Australia,Pacific Region,437,394,11499,2359,26.31,147
6,Italy,Western Europe,402,385,13626,3364,33.9,154
7,Netherlands,Western Europe,351,339,13589,2361,38.72,187
8,China,Asiatic Region,335,324,10305,3781,30.76,113
9,France,Western Europe,302,288,9922,1820,32.85,165
10,Japan,Asiatic Region,291,282,5259,1256,18.07,110
11,Brazil,Latin America,264,242,6626,1760,25.1,106
12,Spain,Western Europe,214,202,7006,1230,32.74,120
13,Switzerland,Western Europe,201,193,7022,896,34.94,135
14,Belgium,Western Europe,175,168,6193,999,35.39,116
15,Sweden,Western Europe,108,106,4799,540,44.44,120
16,Israel,Middle East,107,103,3148,459,29.42,114
17,Iran,Middle East,105,97,1635,672,15.57,60
18,Austria,Western Europe,90,88,4587,515,50.97,100
19,India,Asiatic Region,74,70,1616,380,21.84,77
20,Denmark,Western Europe,67,66,2543,207,37.96,80
21,South Korea,Asiatic Region,67,66,1545,374,23.06,67
22,New Zealand,Pacific Region,66,62,1695,287,25.68,86
23,Mexico,Latin America,65,64,1132,228,17.42,66
24,Poland,Eastern Europe,64,64,1240,272,19.38,68
25,Taiwan,Asiatic Region,57,56,1861,162,32.65,64
26,Norway,Western Europe,56,52,1825,265,32.59,87
27,Finland,Western Europe,55,55,1728,255,31.42,89
28,Argentina,Latin America,54,53,1971,284,36.5,69
29,Czech Republic,Eastern Europe,50,48,1176,211,23.52,52
30,Portugal,Western Europe,49,47,957,164,19.53,58
31,Ireland,Western Europe,45,44,2687,248,59.71,86
32,Hungary,Eastern Europe,43,42,1151,172,26.77,70
33,Chile,Latin America,40,38,1115,186,27.88,49
34,Russian Federation,Eastern Europe,34,33,1395,216,41.03,60
35,South Africa,Africa,29,27,596,87,20.55,60
36,Turkey,Middle East,26,25,801,110,30.81,55
37,Greece,Western Europe,25,24,727,81,29.08,52
38,Hong Kong,Asiatic Region,24,23,530,30,22.08,48
39,Singapore,Asiatic Region,23,23,724,40,31.48,54
40,Colombia,Latin America,16,14,245,64,15.31,31
41,Malaysia,Asiatic Region,12,12,421,40,35.08,28
42,Saudi Arabia,Middle East,11,11,911,26,82.82,31
43,Nigeria,Africa,11,10,199,57,18.09,23
44,Egypt,Africa/Middle East,11,11,377,41,34.27,33
45,Uruguay,Latin America,9,9,108,28,12.0,30
46,Cuba,Latin America,8,8,171,15,21.38,23
47,Slovenia,Eastern Europe,8,8,136,20,17.0,30
48,Thailand,Asiatic Region,8,8,544,95,68.0,34
49,United Arab Emirates,Middle East,8,8,408,63,51.0,28
50,Serbia,Eastern Europe,7,6,90,24,12.86,24
51,Croatia,Eastern Europe,7,7,127,4,18.14,27
52,Pakistan,Asiatic Region,6,6,93,5,15.5,26
53,Estonia,Eastern Europe,6,6,72,15,12.0,38
54,Slovakia,Eastern Europe,5,5,114,15,22.8,31
55,Indonesia,Asiatic Region,5,5,71,18,14.2,14
56,Bulgaria,Eastern Europe,5,5,126,22,25.2,25
57,Cyprus,Western Europe,5,5,649,37,129.8,23
58,Puerto Rico,Latin America,5,5,133,1,26.6,22
59,Jordan,Middle East,5,5,122,13,24.4,21
60,Tunisia,Africa,4,4,92,18,23.0,19
61,Luxembourg,Western Europe,4,4,105,8,26.25,21
62,Costa Rica,Latin America,4,4,150,8,37.5,18
63,Kazakhstan,Asiatic Region,4,4,82,7,20.5,8
64,Macao,Asiatic Region,3,3,82,11,27.33,15
65,Morocco,Africa,3,3,81,3,27.0,17
66,Philippines,Asiatic Region,2,2,11,1,5.5,15
67,Ukraine,Eastern Europe,2,2,38,14,19.0,16
68,Bahrain,Middle East,2,2,66,1,33.0,9
69,Trinidad and Tobago,Latin America,2,2,17,1,8.5,5
70,Kenya,Africa,2,2,24,3,12.0,26
71,Latvia,Eastern Europe,2,2,54,0,27.0,14
72,Fiji,Pacific Region,2,2,28,1,14.0,2
73,Kuwait,Middle East,2,2,153,0,76.5,12
74,Romania,Eastern Europe,2,2,74,8,37.0,28
75,Lithuania,Eastern Europe,2,2,62,0,31.0,14
76,Lebanon,Middle East,2,2,148,5,74.0,24
77,Viet Nam,Asiatic Region,2,2,33,0,16.5,18
78,Iceland,Western Europe,2,2,118,2,59.0,29
79,Congo,Africa,1,1,14,0,14.0,8
80,Guadeloupe,Latin America,1,1,0,0,0.0,2
81,Guinea,Africa,1,1,33,0,33.0,3
82,Ghana,Africa,1,1,24,0,24.0,11
83,Georgia,Eastern Europe,1,1,0,0,0.0,15
84,Iraq,Middle East,1,1,24,4,24.0,6
85,Jamaica,Latin America,1,1,20,1,20.0,6
86,Ecuador,Latin America,1,1,4,2,4.0,12
87,Sri Lanka,Asiatic Region,1,1,6,2,6.0,9
88,Libya,Africa,1,1,2,0,2.0,2
89,Mali,Africa,1,1,33,2,33.0,3
90,Panama,Latin America,1,1,26,5,26.0,22
91,French Polynesia,Pacific Region,1,1,17,1,17.0,2
92,Qatar,Middle East,1,1,15,6,15.0,14
93,Rwanda,Africa,1,1,44,9,44.0,7
94,Belarus,Eastern Europe,1,1,4,1,4.0,5
95,Sierra Leone,Africa,1,1,18,0,18.0,3
96,Uganda,Africa,1,0,56,3,56.0,11
97,Venezuela,Latin America,1,1,6,2,6.0,27
98,Zambia,Africa,1,1,8,1,8.0,9
