Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1904,1736,76778,36033,40.32,409
2,Germany,Western Europe,689,632,22059,5255,32.02,227
3,United Kingdom,Western Europe,643,574,26848,7266,41.75,240
4,Canada,Northern America,435,397,14129,2550,32.48,195
5,Brazil,Latin America,381,305,7398,1745,19.42,125
6,China,Asiatic Region,328,308,10516,3961,32.06,122
7,Italy,Western Europe,318,296,10570,2540,33.24,154
8,Australia,Pacific Region,295,266,10595,1995,35.92,175
9,Netherlands,Western Europe,284,263,11364,1765,40.01,180
10,Japan,Asiatic Region,267,253,6072,1237,22.74,123
11,France,Western Europe,259,241,7837,1372,30.26,139
12,Switzerland,Western Europe,223,209,8453,1170,37.91,151
13,Spain,Western Europe,194,178,5635,1020,29.05,133
14,South Korea,Asiatic Region,149,142,3776,613,25.34,93
15,Israel,Middle East,124,116,3926,547,31.66,121
16,Belgium,Western Europe,110,106,3533,497,32.12,116
17,Sweden,Western Europe,103,96,4140,464,40.19,122
18,Iran,Middle East,91,84,1672,514,18.37,62
19,Austria,Western Europe,84,80,2855,308,33.99,111
20,Denmark,Western Europe,81,74,2631,279,32.48,103
21,Taiwan,Asiatic Region,75,73,1952,340,26.03,79
22,Turkey,Middle East,60,58,968,136,16.13,73
23,India,Asiatic Region,59,55,1937,420,32.83,80
24,Poland,Eastern Europe,57,57,1544,267,27.09,78
25,Norway,Western Europe,55,49,2030,216,36.91,84
26,Ireland,Western Europe,46,39,1306,143,28.39,91
27,Finland,Western Europe,46,46,1430,201,31.09,93
28,Hong Kong,Asiatic Region,41,40,1059,112,25.83,58
29,Hungary,Eastern Europe,34,31,1227,197,36.09,71
30,Mexico,Latin America,31,30,752,109,24.26,54
31,Czech Republic,Eastern Europe,31,31,917,103,29.58,57
32,Thailand,Asiatic Region,29,19,471,98,16.24,42
33,Greece,Western Europe,27,25,774,62,28.67,55
34,Portugal,Western Europe,26,22,773,96,29.73,54
35,New Zealand,Pacific Region,23,20,927,92,40.3,61
36,Chile,Latin America,22,19,666,106,30.27,48
37,Russian Federation,Eastern Europe,21,20,444,86,21.14,57
38,Singapore,Asiatic Region,21,19,573,66,27.29,53
39,Argentina,Latin America,19,16,879,109,46.26,51
40,Croatia,Eastern Europe,19,17,561,64,29.53,42
41,South Africa,Africa,14,12,482,45,34.43,65
42,Malaysia,Asiatic Region,14,13,403,60,28.79,28
43,Colombia,Latin America,13,12,217,72,16.69,37
44,Saudi Arabia,Middle East,12,11,327,38,27.25,29
45,Serbia,Eastern Europe,12,7,213,27,17.75,30
46,Nigeria,Africa,11,5,90,16,8.18,23
47,Romania,Eastern Europe,9,8,336,14,37.33,35
48,Estonia,Eastern Europe,8,8,148,18,18.5,39
49,Pakistan,Asiatic Region,7,7,175,4,25.0,32
50,Cuba,Latin America,7,7,168,11,24.0,16
51,Egypt,Africa/Middle East,7,7,191,36,27.29,35
52,Macao,Asiatic Region,6,6,126,12,21.0,22
