Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3055,2973,196371,92673,64.28,454
2,Japan,Asiatic Region,773,757,35959,7205,46.52,225
3,United Kingdom,Western Europe,708,638,42954,7597,60.67,307
4,Germany,Western Europe,679,659,40072,8070,59.02,288
5,Canada,Northern America,364,360,23748,3647,65.24,241
6,Italy,Western Europe,361,356,17504,3477,48.49,208
7,France,Western Europe,336,333,21801,3187,64.88,231
8,Australia,Pacific Region,258,251,14524,2609,56.29,211
9,Spain,Western Europe,217,217,12485,2157,57.53,187
10,Sweden,Western Europe,196,195,11700,1338,59.69,190
11,China,Asiatic Region,167,166,7543,2136,45.17,187
12,Switzerland,Western Europe,161,156,12418,1040,77.13,197
13,Netherlands,Western Europe,149,145,10130,1149,67.99,221
14,Israel,Middle East,123,119,7104,879,57.76,151
15,Belgium,Western Europe,119,116,6714,662,56.42,154
16,Brazil,Latin America,116,114,4698,1256,40.5,131
17,South Korea,Asiatic Region,109,108,4193,689,38.47,132
18,Denmark,Western Europe,84,83,4444,761,52.9,141
19,Hungary,Eastern Europe,80,80,3783,580,47.29,105
20,Austria,Western Europe,76,75,4254,457,55.97,150
21,Argentina,Latin America,63,62,3140,550,49.84,95
22,Finland,Western Europe,62,61,2758,304,44.48,135
23,India,Asiatic Region,61,55,2283,461,37.43,115
24,Poland,Eastern Europe,58,57,2788,504,48.07,115
25,Hong Kong,Asiatic Region,55,50,2609,473,47.44,101
26,Singapore,Asiatic Region,54,51,3563,410,65.98,118
27,Taiwan,Asiatic Region,48,47,1981,271,41.27,98
28,Portugal,Western Europe,46,43,2191,364,47.63,108
29,Mexico,Latin America,44,44,1779,478,40.43,82
30,Turkey,Middle East,42,40,1233,196,29.36,87
31,New Zealand,Pacific Region,39,37,1550,169,39.74,88
32,Ireland,Western Europe,32,32,2241,183,70.03,123
33,Norway,Western Europe,31,31,1571,153,50.68,116
34,Greece,Western Europe,30,30,1387,221,46.23,93
35,South Africa,Africa,27,25,1322,197,48.96,65
36,Russian Federation,Eastern Europe,23,22,833,166,36.22,85
37,Czech Republic,Eastern Europe,18,18,723,118,40.17,78
38,Slovakia,Eastern Europe,15,15,570,107,38.0,62
39,Chile,Latin America,13,13,574,45,44.15,79
40,Venezuela,Latin America,9,8,288,12,32.0,34
41,Ukraine,Eastern Europe,9,9,133,26,14.78,30
42,Iceland,Western Europe,7,7,264,20,37.71,49
43,Iran,Middle East,7,7,528,130,75.43,72
44,United Arab Emirates,Middle East,7,7,296,36,42.29,41
45,Puerto Rico,Latin America,6,5,309,34,51.5,45
46,Estonia,Eastern Europe,6,5,83,27,13.83,47
47,Slovenia,Eastern Europe,6,6,349,82,58.17,52
48,Egypt,Africa/Middle East,6,6,184,15,30.67,58
49,Colombia,Latin America,5,5,306,31,61.2,50
50,Croatia,Eastern Europe,4,4,192,28,48.0,49
51,Thailand,Asiatic Region,4,4,296,4,74.0,58
52,Tunisia,Africa,4,4,221,16,55.25,34
53,Uruguay,Latin America,4,4,298,53,74.5,35
54,Tanzania,Africa,4,4,125,8,31.25,24
55,Bulgaria,Eastern Europe,4,4,144,5,36.0,40
56,Serbia,Eastern Europe,3,3,164,7,54.67,41
57,Kuwait,Middle East,3,3,92,2,30.67,22
58,Nepal,Asiatic Region,3,3,157,15,52.33,26
59,Saudi Arabia,Middle East,3,3,336,31,112.0,66
60,Morocco,Africa,3,3,67,1,22.33,24
61,Armenia,Eastern Europe,2,2,34,23,17.0,16
62,Mongolia,Asiatic Region,2,2,270,4,135.0,11
63,Malawi,Africa,2,2,74,5,37.0,15
64,Malaysia,Asiatic Region,2,2,90,6,45.0,45
65,Cyprus,Western Europe,2,2,129,21,64.5,30
66,Bangladesh,Asiatic Region,2,2,174,4,87.0,29
67,Viet Nam,Asiatic Region,2,2,40,1,20.0,20
68,Dominican Republic,Latin America,1,1,44,3,44.0,8
69,Jordan,Middle East,1,1,23,0,23.0,22
70,Oman,Middle East,1,1,19,0,19.0,23
71,Costa Rica,Latin America,1,1,17,5,17.0,24
72,Ethiopia,Africa,1,1,50,13,50.0,17
73,Faroe Islands,Western Europe,1,1,25,3,25.0,15
74,Guadeloupe,Latin America,1,1,187,6,187.0,3
75,Congo,Africa,1,1,45,0,45.0,9
76,Nigeria,Africa,1,1,67,0,67.0,34
77,Belarus,Eastern Europe,1,1,17,14,17.0,15
78,Uganda,Africa,1,1,11,0,11.0,21
79,Guatemala,Latin America,1,1,17,3,17.0,6
80,Lebanon,Middle East,1,1,14,0,14.0,31
81,Algeria,Africa,1,1,70,1,70.0,17
82,Paraguay,Latin America,1,1,74,5,74.0,4
83,Seychelles,Africa,1,1,17,1,17.0,7
