Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,775,742,48678,0,62.81,303
2,United Kingdom,Western Europe,157,147,7841,0,49.94,169
3,Japan,Asiatic Region,138,136,3930,0,28.48,107
4,Germany,Western Europe,130,124,6405,0,49.27,162
5,Canada,Northern America,97,92,6326,0,65.22,157
6,France,Western Europe,75,74,3391,0,45.21,112
7,Australia,Pacific Region,55,54,3213,0,58.42,122
8,Italy,Western Europe,50,48,1914,0,38.28,105
9,Spain,Western Europe,44,44,1847,0,41.98,94
10,Sweden,Western Europe,43,40,2527,0,58.77,119
11,Netherlands,Western Europe,42,41,2311,0,55.02,127
12,Israel,Middle East,38,37,1839,0,48.39,84
13,Brazil,Latin America,31,31,784,0,25.29,64
14,Switzerland,Western Europe,27,27,1463,0,54.19,86
15,Hong Kong,Asiatic Region,26,26,697,0,26.81,52
16,China,Asiatic Region,23,23,945,0,41.09,89
17,Taiwan,Asiatic Region,23,23,741,0,32.22,57
18,Turkey,Middle East,20,18,593,0,29.65,48
19,Mexico,Latin America,20,20,664,0,33.2,41
20,South Korea,Asiatic Region,18,18,1861,0,103.39,63
21,Finland,Western Europe,13,13,1428,0,109.85,79
22,Argentina,Latin America,12,12,296,0,24.67,40
23,Greece,Western Europe,11,11,289,0,26.27,50
24,Austria,Western Europe,9,9,286,0,31.78,57
25,Belgium,Western Europe,9,9,352,0,39.11,83
26,India,Asiatic Region,9,9,261,0,29.0,50
27,Denmark,Western Europe,9,9,435,0,48.33,67
28,New Zealand,Pacific Region,8,8,446,0,55.75,55
29,Russian Federation,Eastern Europe,7,7,243,0,34.71,37
30,Portugal,Western Europe,7,7,353,0,50.43,49
31,Singapore,Asiatic Region,6,6,129,0,21.5,38
32,Hungary,Eastern Europe,6,6,276,0,46.0,43
33,Norway,Western Europe,5,5,477,0,95.4,60
34,Czech Republic,Eastern Europe,3,3,75,0,25.0,29
35,Ireland,Western Europe,3,3,117,0,39.0,46
36,Iran,Middle East,3,3,49,0,16.33,30
37,Poland,Eastern Europe,3,3,192,0,64.0,45
38,Venezuela,Latin America,3,3,93,0,31.0,14
39,Bangladesh,Asiatic Region,2,2,26,0,13.0,11
40,Puerto Rico,Latin America,2,2,34,0,17.0,14
41,Saudi Arabia,Middle East,2,2,51,0,25.5,24
42,Chile,Latin America,2,2,44,0,22.0,36
43,Egypt,Africa/Middle East,1,1,29,0,29.0,23
44,United Arab Emirates,Middle East,1,1,11,0,11.0,18
45,Slovenia,Eastern Europe,1,1,43,0,43.0,27
46,Slovakia,Eastern Europe,1,1,16,0,16.0,15
47,Thailand,Asiatic Region,1,1,59,0,59.0,20
48,Cuba,Latin America,1,1,5,0,5.0,14
49,Uruguay,Latin America,1,1,5,0,5.0,17
50,Lebanon,Middle East,1,1,7,0,7.0,16
51,Kenya,Africa,1,1,47,0,47.0,10
52,Nepal,Asiatic Region,1,0,3,0,3.0,3
53,South Africa,Africa,1,1,65,0,65.0,33
54,Croatia,Eastern Europe,1,1,13,0,13.0,19
55,Georgia,Eastern Europe,1,1,53,0,53.0,13
