Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,834,776,12441,5904,14.92,270
2,China,Asiatic Region,285,283,4147,2040,14.55,78
3,Germany,Western Europe,249,241,3970,979,15.94,168
4,United Kingdom,Western Europe,219,207,3408,728,15.56,157
5,Canada,Northern America,130,122,1754,308,13.49,135
6,Netherlands,Western Europe,110,103,1532,313,13.93,138
7,Italy,Western Europe,106,101,1931,483,18.22,121
8,Australia,Pacific Region,101,96,1312,283,12.99,98
9,France,Western Europe,85,79,1426,259,16.78,118
10,Brazil,Latin America,79,72,900,195,11.39,67
11,Sweden,Western Europe,76,74,1475,190,19.41,99
12,Spain,Western Europe,67,65,839,174,12.52,96
13,Switzerland,Western Europe,53,52,941,102,17.75,96
14,Japan,Asiatic Region,52,49,545,160,10.48,92
15,Poland,Eastern Europe,51,50,675,104,13.24,66
16,Belgium,Western Europe,48,46,691,107,14.4,88
17,Turkey,Middle East,42,39,200,38,4.76,39
18,Romania,Eastern Europe,39,29,210,45,5.38,21
19,Iran,Middle East,35,35,412,81,11.77,35
20,Austria,Western Europe,31,28,358,46,11.55,66
21,Denmark,Western Europe,28,28,505,58,18.04,71
22,Mexico,Latin America,27,27,256,41,9.48,48
23,Ireland,Western Europe,27,24,433,65,16.04,74
24,India,Asiatic Region,26,25,236,62,9.08,42
25,South Korea,Asiatic Region,25,24,296,38,11.84,49
26,Slovakia,Eastern Europe,24,23,73,6,3.04,43
27,Israel,Middle East,23,23,321,42,13.96,82
28,Norway,Western Europe,21,19,392,68,18.67,61
29,Greece,Western Europe,20,19,408,34,20.4,56
30,Finland,Western Europe,19,18,228,35,12.0,55
31,Czech Republic,Eastern Europe,17,17,78,8,4.59,48
32,Singapore,Asiatic Region,17,15,201,12,11.82,32
33,Taiwan,Asiatic Region,17,16,133,25,7.82,41
34,Argentina,Latin America,16,16,253,48,15.81,61
35,Russian Federation,Eastern Europe,14,12,87,18,6.21,34
36,New Zealand,Pacific Region,14,14,205,44,14.64,52
37,Chile,Latin America,12,11,194,13,16.17,28
38,Hong Kong,Asiatic Region,12,12,189,14,15.75,33
39,South Africa,Africa,11,10,229,16,20.82,43
40,Hungary,Eastern Europe,11,11,138,17,12.55,63
41,Serbia,Eastern Europe,9,9,103,24,11.44,21
42,Portugal,Western Europe,8,8,86,9,10.75,44
43,Saudi Arabia,Middle East,6,6,76,8,12.67,20
44,Bulgaria,Eastern Europe,6,6,31,4,5.17,16
45,Thailand,Asiatic Region,5,5,84,4,16.8,26
46,Colombia,Latin America,5,5,74,8,14.8,16
47,Malaysia,Asiatic Region,4,4,29,2,7.25,22
48,Ethiopia,Africa,4,4,20,4,5.0,7
49,Egypt,Africa/Middle East,4,4,21,1,5.25,21
50,Croatia,Eastern Europe,4,4,55,8,13.75,19
51,Lithuania,Eastern Europe,3,3,6,1,2.0,12
52,Luxembourg,Western Europe,3,3,25,0,8.33,13
53,Iraq,Middle East,3,3,15,0,5.0,5
54,Tunisia,Africa,3,3,17,0,5.67,11
55,Indonesia,Asiatic Region,3,2,16,2,5.33,9
56,Uruguay,Latin America,3,3,37,1,12.33,18
57,Tanzania,Africa,2,2,26,3,13.0,4
58,Macao,Asiatic Region,2,2,30,1,15.0,7
59,Sri Lanka,Asiatic Region,2,2,15,3,7.5,6
60,Bangladesh,Asiatic Region,2,2,33,3,16.5,6
61,Viet Nam,Asiatic Region,2,2,12,0,6.0,6
62,Azerbaijan,Eastern Europe,1,1,7,1,7.0,2
63,Lebanon,Middle East,1,1,25,5,25.0,15
64,Morocco,Africa,1,1,7,2,7.0,9
65,Macedonia,Eastern Europe,1,1,0,0,0.0,2
66,Kuwait,Middle East,1,1,16,2,16.0,6
67,Cuba,Latin America,1,1,9,2,9.0,8
68,Nepal,Asiatic Region,1,1,1,0,1.0,2
69,Kenya,Africa,1,1,4,1,4.0,15
70,Panama,Latin America,1,1,9,2,9.0,5
71,Peru,Latin America,1,1,20,0,20.0,6
72,Philippines,Asiatic Region,1,1,6,1,6.0,7
73,Pakistan,Asiatic Region,1,1,2,0,2.0,16
74,Côte d’Ivoire,Africa,1,1,26,6,26.0,4
75,Cyprus,Western Europe,1,1,20,3,20.0,9
76,Qatar,Middle East,1,1,8,0,8.0,8
77,Bahrain,Middle East,1,1,14,0,14.0,3
78,Iceland,Western Europe,1,1,12,0,12.0,8
79,Georgia,Eastern Europe,1,1,13,0,13.0,11
