Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,8325,7957,565042,270969,67.87,828
2,United Kingdom,Western Europe,1709,1632,130050,26067,76.1,514
3,Germany,Western Europe,1631,1581,115331,25066,70.71,462
4,Japan,Asiatic Region,1351,1323,60761,11217,44.97,348
5,Canada,Northern America,1200,1153,64912,11175,54.09,401
6,China,Asiatic Region,1134,1126,47376,17161,41.78,225
7,Italy,Western Europe,882,844,48810,10061,55.34,342
8,France,Western Europe,828,788,56129,8358,67.79,375
9,Spain,Western Europe,574,548,32105,4976,55.93,279
10,Australia,Pacific Region,568,544,29035,4895,51.12,273
11,Netherlands,Western Europe,536,516,38828,5179,72.44,313
12,South Korea,Asiatic Region,533,526,18691,2228,35.07,194
13,Brazil,Latin America,457,441,12649,3188,27.68,166
14,Switzerland,Western Europe,448,426,36144,3965,80.68,335
15,Sweden,Western Europe,345,327,21234,2693,61.55,266
16,India,Asiatic Region,267,236,6681,1430,25.02,123
17,Israel,Middle East,246,235,13269,1502,53.94,241
18,Belgium,Western Europe,231,224,14745,1643,63.83,218
19,Russian Federation,Eastern Europe,214,214,3705,737,17.31,126
20,Taiwan,Asiatic Region,197,187,9077,1063,46.08,132
21,Denmark,Western Europe,159,157,8283,850,52.09,202
22,Turkey,Middle East,155,148,2672,600,17.24,101
23,Finland,Western Europe,149,147,7903,1012,53.04,199
24,Austria,Western Europe,141,137,10568,962,74.95,219
25,Poland,Eastern Europe,133,130,4947,741,37.2,120
26,Hungary,Eastern Europe,118,117,4659,596,39.48,169
27,New Zealand,Pacific Region,103,101,4557,518,44.24,142
28,Greece,Western Europe,100,96,4470,437,44.7,121
29,Mexico,Latin America,100,100,3756,539,37.56,119
30,Portugal,Western Europe,98,94,6467,690,65.99,146
31,Norway,Western Europe,94,92,6782,430,72.15,174
32,Ireland,Western Europe,93,91,7418,592,79.76,148
33,Czech Republic,Eastern Europe,90,88,2383,388,26.48,101
34,Egypt,Africa/Middle East,90,90,690,78,7.67,60
35,Hong Kong,Asiatic Region,87,84,3620,290,41.61,114
36,Singapore,Asiatic Region,86,80,5227,408,60.78,143
37,Argentina,Latin America,77,75,3900,479,50.65,120
38,Chile,Latin America,59,57,2961,375,50.19,103
39,Iran,Middle East,47,46,1598,543,34.0,80
40,Slovakia,Eastern Europe,42,41,675,104,16.07,68
41,Croatia,Eastern Europe,41,40,875,152,21.34,66
42,Ukraine,Eastern Europe,29,29,207,35,7.14,47
43,Serbia,Eastern Europe,25,25,454,135,18.16,50
44,Thailand,Asiatic Region,25,21,762,62,30.48,68
45,Bulgaria,Eastern Europe,22,18,787,39,35.77,56
46,Malaysia,Asiatic Region,21,21,433,42,20.62,57
47,Slovenia,Eastern Europe,20,19,1076,165,53.8,65
48,Romania,Eastern Europe,19,19,956,147,50.32,55
49,Estonia,Eastern Europe,19,19,929,69,48.89,61
50,South Africa,Africa,18,17,755,109,41.94,87
51,Colombia,Latin America,13,13,853,49,65.62,62
52,Lithuania,Eastern Europe,13,13,124,27,9.54,45
53,Puerto Rico,Latin America,13,13,857,32,65.92,50
54,Cuba,Latin America,10,10,148,21,14.8,45
55,Kenya,Africa,10,10,389,70,38.9,38
56,Saudi Arabia,Middle East,10,10,332,29,33.2,77
57,Uruguay,Latin America,9,8,255,20,28.33,54
58,Jordan,Middle East,9,9,173,13,19.22,26
59,Iceland,Western Europe,8,8,462,29,57.75,44
60,United Arab Emirates,Middle East,7,7,199,10,28.43,49
61,Cyprus,Western Europe,6,6,116,17,19.33,31
62,Nigeria,Africa,6,5,54,13,9.0,34
63,Belarus,Eastern Europe,6,6,199,11,33.17,15
64,Indonesia,Asiatic Region,6,6,480,29,80.0,34
65,Algeria,Africa,5,5,92,15,18.4,18
66,Venezuela,Latin America,5,5,242,6,48.4,48
67,Georgia,Eastern Europe,5,5,74,21,14.8,30
68,Kuwait,Middle East,4,3,101,13,25.25,24
69,Qatar,Middle East,4,4,67,8,16.75,27
70,Luxembourg,Western Europe,4,4,209,11,52.25,42
71,Lebanon,Middle East,4,4,93,28,23.25,35
72,Bangladesh,Asiatic Region,4,4,102,18,25.5,37
73,Panama,Latin America,4,4,313,44,78.25,39
74,Pakistan,Asiatic Region,4,4,131,18,32.75,53
75,Tunisia,Africa,3,3,32,2,10.67,32
76,Armenia,Eastern Europe,3,3,19,5,6.33,15
77,Zimbabwe,Africa,2,2,10,0,5.0,17
78,Macedonia,Eastern Europe,2,1,8,0,4.0,17
79,Mongolia,Asiatic Region,2,2,34,2,17.0,8
80,Sri Lanka,Asiatic Region,2,2,16,0,8.0,23
81,Nepal,Asiatic Region,2,1,20,6,10.0,20
82,Oman,Middle East,2,2,15,6,7.5,27
83,Peru,Latin America,2,2,129,19,64.5,34
84,Congo,Africa,2,1,466,9,233.0,16
85,Syrian Arab Republic,Middle East,2,2,24,2,12.0,8
86,Bahrain,Middle East,2,2,23,2,11.5,12
87,Tanzania,Africa,2,2,17,4,8.5,23
88,Azerbaijan,Eastern Europe,2,2,6,0,3.0,7
89,Bosnia and Herzegovina,Eastern Europe,1,1,2,0,2.0,11
90,Madagascar,Africa,1,1,27,0,27.0,16
91,Swaziland,Africa,1,1,237,0,237.0,4
92,Central African Republic,Africa,1,1,77,0,77.0,6
93,Jamaica,Latin America,1,1,12,0,12.0,16
94,Laos,Asiatic Region,1,1,238,6,238.0,7
95,Latvia,Eastern Europe,1,1,23,9,23.0,18
96,Moldova,Eastern Europe,1,1,3,1,3.0,6
97,Mozambique,Africa,1,1,66,22,66.0,10
98,Ghana,Africa,1,1,3,1,3.0,22
99,Seychelles,Africa,1,1,53,0,53.0,17
100,Iraq,Middle East,1,1,3,0,3.0,22
101,Reunion,Africa,1,1,126,2,126.0,4
102,Costa Rica,Latin America,1,1,200,1,200.0,21
