Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2293,2134,49562,21349,21.61,326
2,United Kingdom,Western Europe,800,706,16979,3802,21.22,221
3,Germany,Western Europe,658,614,13860,3586,21.06,210
4,China,Asiatic Region,492,472,9158,3589,18.61,117
5,Japan,Asiatic Region,475,445,7565,1878,15.93,164
6,Australia,Pacific Region,372,343,7664,1469,20.6,163
7,Canada,Northern America,279,259,4762,816,17.07,151
8,Italy,Western Europe,268,237,6441,1522,24.03,143
9,France,Western Europe,266,255,5058,792,19.02,143
10,South Korea,Asiatic Region,254,235,4025,902,15.85,95
11,Netherlands,Western Europe,231,213,4143,822,17.94,141
12,Spain,Western Europe,178,164,4530,858,25.45,125
13,Switzerland,Western Europe,176,165,4493,712,25.53,135
14,India,Asiatic Region,173,148,2342,605,13.54,87
15,Turkey,Middle East,158,119,2365,295,14.97,75
16,Brazil,Latin America,144,132,2773,304,19.26,79
17,Singapore,Asiatic Region,127,109,3239,573,25.5,102
18,Sweden,Western Europe,106,105,1740,250,16.42,95
19,Belgium,Western Europe,101,90,1688,235,16.71,92
20,Hong Kong,Asiatic Region,93,89,1256,199,13.51,86
21,Israel,Middle East,88,78,1088,140,12.36,92
22,Denmark,Western Europe,83,77,1232,278,14.84,82
23,Taiwan,Asiatic Region,81,79,1704,234,21.04,72
24,Austria,Western Europe,75,70,1559,279,20.79,104
25,Finland,Western Europe,56,54,734,171,13.11,96
26,Portugal,Western Europe,51,47,1930,162,37.84,65
27,New Zealand,Pacific Region,50,46,760,166,15.2,77
28,Iran,Middle East,47,44,862,240,18.34,47
29,Poland,Eastern Europe,44,41,726,103,16.5,56
30,Greece,Western Europe,36,26,547,27,15.19,61
31,Czech Republic,Eastern Europe,34,32,410,94,12.06,52
32,Egypt,Africa/Middle East,33,29,569,24,17.24,52
33,Ireland,Western Europe,32,30,1206,124,37.69,72
34,Argentina,Latin America,26,23,703,48,27.04,51
35,Norway,Western Europe,26,25,305,38,11.73,53
36,South Africa,Africa,26,25,394,42,15.15,43
37,Russian Federation,Eastern Europe,25,23,300,84,12.0,44
38,Macao,Asiatic Region,25,25,82,14,3.28,23
39,Hungary,Eastern Europe,21,20,354,64,16.86,55
40,Saudi Arabia,Middle East,20,20,293,24,14.65,44
41,Mexico,Latin America,17,15,451,41,26.53,47
42,Colombia,Latin America,16,9,149,24,9.31,34
43,Malaysia,Asiatic Region,14,13,212,37,15.14,32
44,Thailand,Asiatic Region,13,13,431,21,33.15,41
45,Romania,Eastern Europe,12,6,96,27,8.0,21
46,Chile,Latin America,11,11,106,27,9.64,31
47,Slovenia,Eastern Europe,10,9,134,37,13.4,37
48,Qatar,Middle East,10,9,250,28,25.0,20
49,Indonesia,Asiatic Region,9,9,53,2,5.89,19
50,Cyprus,Western Europe,7,2,18,1,2.57,12
51,Estonia,Eastern Europe,7,7,241,6,34.43,29
52,Iceland,Western Europe,6,6,104,22,17.33,40
53,Cuba,Latin America,5,4,90,19,18.0,20
54,Lebanon,Middle East,5,5,108,14,21.6,27
55,Uruguay,Latin America,5,5,53,17,10.6,23
56,Ukraine,Eastern Europe,4,3,64,2,16.0,14
57,Georgia,Eastern Europe,4,4,66,2,16.5,12
58,Kenya,Africa,4,4,67,10,16.75,21
59,Croatia,Eastern Europe,4,4,31,11,7.75,26
60,Serbia,Eastern Europe,4,4,39,4,9.75,23
61,Nigeria,Africa,3,3,21,2,7.0,21
62,Jamaica,Latin America,3,3,18,2,6.0,4
63,Lithuania,Eastern Europe,3,2,40,13,13.33,19
64,Malta,Western Europe,3,3,45,8,15.0,8
65,Jordan,Middle East,3,3,30,3,10.0,13
66,Ghana,Africa,3,3,20,2,6.67,15
67,Nepal,Asiatic Region,3,3,31,5,10.33,26
68,French Polynesia,Pacific Region,3,3,105,20,35.0,9
69,Pakistan,Asiatic Region,3,3,54,5,18.0,27
70,Puerto Rico,Latin America,3,3,58,0,19.33,14
71,Ecuador,Latin America,3,3,29,5,9.67,9
72,Costa Rica,Latin America,3,3,48,4,16.0,12
73,United Arab Emirates,Middle East,3,3,22,1,7.33,22
74,Venezuela,Latin America,3,3,41,1,13.67,27
75,Ethiopia,Africa,2,2,15,3,7.5,16
76,Tanzania,Africa,2,2,24,2,12.0,24
77,Luxembourg,Western Europe,2,2,38,1,19.0,18
78,Tunisia,Africa,2,2,9,4,4.5,21
79,Bosnia and Herzegovina,Eastern Europe,2,2,10,2,5.0,6
80,Algeria,Africa,2,2,44,1,22.0,12
81,Slovakia,Eastern Europe,2,2,48,7,24.0,15
82,Palestine,Middle East,2,2,15,2,7.5,6
83,Rwanda,Africa,1,1,10,2,10.0,5
84,Sudan,Africa,1,1,3,1,3.0,3
85,Paraguay,Latin America,1,1,14,0,14.0,5
86,Sri Lanka,Asiatic Region,1,1,3,0,3.0,5
87,Suriname,Latin America,1,1,13,0,13.0,4
88,Azerbaijan,Eastern Europe,1,1,2,0,2.0,2
89,Guatemala,Latin America,1,1,14,0,14.0,1
90,Trinidad and Tobago,Latin America,1,1,14,0,14.0,3
91,Bangladesh,Asiatic Region,1,1,20,2,20.0,15
92,Uganda,Africa,1,1,15,1,15.0,12
