Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,17108,16490,1304144,0,76.23,993
2,United Kingdom,Western Europe,4493,4153,343456,0,76.44,654
3,Germany,Western Europe,4139,3954,274685,0,66.37,572
4,Japan,Asiatic Region,3624,3532,157502,0,43.46,401
5,Canada,Northern America,2544,2460,172968,0,67.99,514
6,France,Western Europe,2267,2208,147214,0,64.94,460
7,Italy,Western Europe,1978,1906,113183,0,57.22,428
8,Netherlands,Western Europe,1225,1164,98648,0,80.53,426
9,Australia,Pacific Region,1205,1152,72865,0,60.47,385
10,Spain,Western Europe,1040,1012,59109,0,56.84,350
11,Brazil,Latin America,937,921,27366,0,29.21,237
12,Sweden,Western Europe,881,861,53074,0,60.24,350
13,Switzerland,Western Europe,879,852,65539,0,74.56,402
14,China,Asiatic Region,733,729,25191,0,34.37,304
15,Israel,Middle East,606,587,37739,0,62.28,305
16,Belgium,Western Europe,537,515,32627,0,60.76,300
17,South Korea,Asiatic Region,505,499,22436,0,44.43,231
18,India,Asiatic Region,494,432,12641,0,25.59,174
19,Finland,Western Europe,442,437,29343,0,66.39,258
20,Austria,Western Europe,425,404,29427,0,69.24,295
21,Russian Federation,Eastern Europe,403,397,8487,0,21.06,158
22,Denmark,Western Europe,379,368,22830,0,60.24,270
23,Taiwan,Asiatic Region,372,355,16150,0,43.41,178
24,Turkey,Middle East,355,332,12044,0,33.93,154
25,Hungary,Eastern Europe,319,312,16060,0,50.34,209
26,Poland,Eastern Europe,281,278,10020,0,35.66,176
27,Norway,Western Europe,236,228,15059,0,63.81,244
28,Hong Kong,Asiatic Region,218,205,9456,0,43.38,160
29,Mexico,Latin America,210,205,7997,0,38.08,154
30,New Zealand,Pacific Region,198,193,10602,0,53.55,191
31,Greece,Western Europe,191,187,8122,0,42.52,162
32,Czech Republic,Eastern Europe,168,162,5058,0,30.11,148
33,Singapore,Asiatic Region,161,150,9542,0,59.27,200
34,Argentina,Latin America,155,154,6241,0,40.26,163
35,Ireland,Western Europe,132,117,8244,0,62.45,216
36,Portugal,Western Europe,127,123,6518,0,51.32,193
