Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,479,420,729,0,1.52,83
2,United Kingdom,Western Europe,36,27,278,0,7.72,39
3,Ireland,Western Europe,10,10,169,0,16.9,28
4,Canada,Northern America,7,6,25,0,3.57,36
5,Australia,Pacific Region,7,6,80,0,11.43,30
6,Germany,Western Europe,6,6,100,0,16.67,25
7,Italy,Western Europe,5,5,161,0,32.2,35
8,Belgium,Western Europe,4,4,83,0,20.75,23
9,Turkey,Middle East,2,2,22,0,11.0,17
10,Netherlands,Western Europe,2,2,213,0,106.5,20
11,Brazil,Latin America,2,2,134,0,67.0,16
12,France,Western Europe,2,2,206,0,103.0,25
13,Japan,Asiatic Region,2,2,20,0,10.0,26
14,Mexico,Latin America,2,2,56,0,28.0,6
15,Sweden,Western Europe,2,2,28,0,14.0,13
16,South Africa,Africa,1,1,58,0,58.0,11
17,China,Asiatic Region,1,1,16,0,16.0,16
18,Czech Republic,Eastern Europe,1,1,63,0,63.0,6
19,Estonia,Eastern Europe,1,1,15,0,15.0,7
20,Spain,Western Europe,1,1,2,0,2.0,18
21,Finland,Western Europe,1,1,15,0,15.0,11
22,Greece,Western Europe,1,1,1,0,1.0,23
23,Hong Kong,Asiatic Region,1,1,0,0,0.0,11
24,Poland,Eastern Europe,1,1,16,0,16.0,9
25,Russian Federation,Eastern Europe,1,1,16,0,16.0,9
26,Argentina,Latin America,1,1,6,0,6.0,6
