Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,480,373,2050,1252,4.27,83
2,Iran,Middle East,80,78,555,183,6.94,27
3,United Kingdom,Western Europe,68,56,611,207,8.99,39
4,Canada,Northern America,31,28,234,47,7.55,36
5,Australia,Pacific Region,26,25,439,142,16.88,30
6,Germany,Western Europe,14,13,38,19,2.71,25
7,Ireland,Western Europe,13,12,86,14,6.62,28
8,Japan,Asiatic Region,11,11,76,13,6.91,26
9,China,Asiatic Region,11,10,47,14,4.27,16
10,Portugal,Western Europe,8,8,40,5,5.0,17
11,France,Western Europe,8,8,43,7,5.38,25
12,India,Asiatic Region,7,5,20,5,2.86,9
13,Netherlands,Western Europe,7,6,54,6,7.71,20
14,Brazil,Latin America,7,7,22,14,3.14,16
15,Sweden,Western Europe,6,5,32,7,5.33,13
16,Italy,Western Europe,5,5,41,10,8.2,35
17,Saudi Arabia,Middle East,5,5,71,5,14.2,6
18,Malta,Western Europe,5,5,33,9,6.6,10
19,Greece,Western Europe,5,5,83,13,16.6,23
20,Mexico,Latin America,4,3,21,2,5.25,6
21,Turkey,Middle East,4,4,11,4,2.75,17
22,Spain,Western Europe,4,4,54,5,13.5,18
23,Switzerland,Western Europe,3,3,15,3,5.0,17
24,Denmark,Western Europe,3,3,4,1,1.33,12
25,Finland,Western Europe,3,3,33,6,11.0,11
26,Ghana,Africa,3,3,3,1,1.0,7
27,Norway,Western Europe,3,3,14,3,4.67,12
28,Singapore,Asiatic Region,2,2,11,2,5.5,10
29,Nigeria,Africa,2,1,5,1,2.5,8
30,South Africa,Africa,2,2,13,0,6.5,11
31,Austria,Western Europe,2,2,11,1,5.5,7
32,Iraq,Middle East,2,1,11,1,5.5,6
33,Malawi,Africa,1,1,7,0,7.0,1
34,Czech Republic,Eastern Europe,1,1,3,0,3.0,6
35,Cyprus,Western Europe,1,1,25,1,25.0,4
36,New Zealand,Pacific Region,1,1,0,0,0.0,12
37,Indonesia,Asiatic Region,1,1,8,1,8.0,4
38,Chile,Latin America,1,1,0,0,0.0,1
39,Argentina,Latin America,1,1,1,1,1.0,6
40,Slovakia,Eastern Europe,1,1,18,0,18.0,2
41,Sierra Leone,Africa,1,0,0,0,0.0,0
42,Thailand,Asiatic Region,1,1,8,5,8.0,3
43,Belgium,Western Europe,1,1,4,2,4.0,23
44,Taiwan,Asiatic Region,1,1,0,0,0.0,8
45,Colombia,Latin America,1,1,5,0,5.0,1
46,Georgia,Eastern Europe,1,0,1,0,1.0,2
47,Cambodia,Asiatic Region,1,1,3,0,3.0,1
48,South Korea,Asiatic Region,1,1,2,1,2.0,8
49,Estonia,Eastern Europe,1,1,5,2,5.0,7
