Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,509,477,7969,4087,15.66,115
2,United Kingdom,Western Europe,377,304,1987,676,5.27,56
3,Spain,Western Europe,180,135,95,63,0.53,25
4,Australia,Pacific Region,154,132,2208,871,14.34,62
5,Canada,Northern America,85,84,1265,344,14.88,71
6,Italy,Western Europe,51,47,231,92,4.53,26
7,Malaysia,Asiatic Region,43,29,179,71,4.16,21
8,Netherlands,Western Europe,34,29,310,74,9.12,32
9,India,Asiatic Region,29,25,262,56,9.03,27
10,Egypt,Africa/Middle East,23,22,235,24,10.22,21
11,Sweden,Western Europe,22,21,316,72,14.36,30
12,New Zealand,Pacific Region,18,18,270,51,15.0,28
13,Ireland,Western Europe,14,13,295,46,21.07,22
14,Saudi Arabia,Middle East,13,13,176,44,13.54,14
15,Japan,Asiatic Region,10,8,108,24,10.8,22
16,Finland,Western Europe,10,10,342,21,34.2,23
17,South Africa,Africa,9,7,182,59,20.22,27
18,China,Asiatic Region,9,9,96,43,10.67,25
19,Turkey,Middle East,9,9,61,14,6.78,18
20,Switzerland,Western Europe,8,6,118,19,14.75,26
21,Thailand,Asiatic Region,7,6,42,11,6.0,15
22,Israel,Middle East,6,6,48,6,8.0,30
23,South Korea,Asiatic Region,6,6,46,7,7.67,19
24,Germany,Western Europe,6,6,50,12,8.33,25
25,Bangladesh,Asiatic Region,6,6,90,34,15.0,15
26,Hong Kong,Asiatic Region,6,6,92,20,15.33,26
27,Norway,Western Europe,5,5,66,33,13.2,19
28,Nigeria,Africa,4,4,9,4,2.25,15
29,Austria,Western Europe,4,4,30,2,7.5,10
30,Brazil,Latin America,4,4,49,4,12.25,25
31,France,Western Europe,4,4,28,4,7.0,23
32,Ghana,Africa,4,4,50,26,12.5,11
33,Greece,Western Europe,4,4,53,5,13.25,17
34,Iran,Middle East,3,3,43,10,14.33,23
35,Qatar,Middle East,3,3,40,8,13.33,9
36,Mexico,Latin America,3,3,85,10,28.33,16
37,Singapore,Asiatic Region,3,3,60,20,20.0,19
38,Pakistan,Asiatic Region,3,3,19,3,6.33,11
39,Kenya,Africa,2,2,3,0,1.5,12
40,Jordan,Middle East,2,2,10,1,5.0,9
41,Sri Lanka,Asiatic Region,2,2,7,2,3.5,5
42,Chile,Latin America,2,2,20,4,10.0,9
43,Taiwan,Asiatic Region,2,2,14,4,7.0,15
44,Belgium,Western Europe,2,1,16,0,8.0,17
45,Indonesia,Asiatic Region,1,1,1,0,1.0,10
46,Nepal,Asiatic Region,1,1,9,2,9.0,7
47,Ethiopia,Africa,1,1,3,0,3.0,9
48,Peru,Latin America,1,1,4,4,4.0,13
49,Kazakhstan,Asiatic Region,1,1,3,1,3.0,2
50,Poland,Eastern Europe,1,1,64,1,64.0,11
51,Portugal,Western Europe,1,0,4,2,4.0,13
52,Cambodia,Asiatic Region,1,1,1,0,1.0,2
53,Serbia,Eastern Europe,1,1,0,0,0.0,4
54,Russian Federation,Eastern Europe,1,1,4,0,4.0,8
55,Denmark,Western Europe,1,1,4,1,4.0,23
56,Sudan,Africa,1,1,11,3,11.0,6
57,Colombia,Latin America,1,0,1,0,1.0,13
58,Kyrgyzstan,Asiatic Region,1,1,3,1,3.0,2
59,Slovenia,Eastern Europe,1,1,2,0,2.0,4
60,Viet Nam,Asiatic Region,1,1,38,13,38.0,6
61,Tunisia,Africa,1,1,11,9,11.0,6
62,Tonga,Pacific Region,1,1,3,0,3.0,1
63,Bhutan,Asiatic Region,1,1,21,0,21.0,2
64,Yemen,Middle East,1,1,5,2,5.0,4
65,Bosnia and Herzegovina,Eastern Europe,1,1,10,0,10.0,1
66,Virgin Islands (U.S.),Latin America,1,1,44,0,44.0,1
67,Iceland,Western Europe,1,1,1,0,1.0,10
68,United Arab Emirates,Middle East,1,1,11,2,11.0,9
69,Lebanon,Middle East,1,1,16,1,16.0,5
