Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,653,561,7655,3369,11.72,107
2,United Kingdom,Western Europe,87,71,840,191,9.66,55
3,Australia,Pacific Region,44,38,1066,244,24.23,55
4,Canada,Northern America,26,26,901,97,34.65,51
5,Spain,Western Europe,12,12,67,28,5.58,23
6,Sweden,Western Europe,7,7,219,57,31.29,47
7,Germany,Western Europe,5,5,22,2,4.4,20
8,Ireland,Western Europe,4,4,45,1,11.25,18
9,Greece,Western Europe,3,3,59,5,19.67,19
10,Netherlands,Western Europe,2,2,21,3,10.5,26
11,Denmark,Western Europe,2,2,27,6,13.5,23
12,Norway,Western Europe,2,2,24,5,12.0,26
13,Belgium,Western Europe,1,1,1,0,1.0,18
14,Israel,Middle East,1,1,13,2,13.0,14
15,South Korea,Asiatic Region,1,1,2,0,2.0,19
16,Lebanon,Middle East,1,1,37,4,37.0,8
17,New Zealand,Pacific Region,1,1,8,2,8.0,17
18,Turkey,Middle East,1,1,18,8,18.0,17
