Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,615,517,3686,1514,5.99,120
2,Australia,Pacific Region,204,185,1600,452,7.84,74
3,France,Western Europe,199,161,307,71,1.54,48
4,United Kingdom,Western Europe,131,92,1089,260,8.31,97
5,Germany,Western Europe,125,108,523,244,4.18,68
6,Canada,Northern America,78,63,890,179,11.41,63
7,South Korea,Asiatic Region,73,68,574,178,7.86,43
8,China,Asiatic Region,72,65,291,81,4.04,27
9,Sweden,Western Europe,57,53,547,113,9.6,69
10,Japan,Asiatic Region,55,46,546,105,9.93,49
11,Italy,Western Europe,46,28,409,141,8.89,54
12,South Africa,Africa,41,34,198,63,4.83,24
13,Indonesia,Asiatic Region,38,38,39,17,1.03,11
14,Netherlands,Western Europe,37,33,392,73,10.59,56
15,Spain,Western Europe,33,21,280,66,8.48,32
16,Switzerland,Western Europe,33,22,268,116,8.12,44
17,Denmark,Western Europe,33,31,597,111,18.09,50
18,Iran,Middle East,26,25,186,42,7.15,24
19,Austria,Western Europe,24,19,190,41,7.92,59
20,Norway,Western Europe,20,19,277,47,13.85,66
21,New Zealand,Pacific Region,19,16,169,19,8.89,26
22,India,Asiatic Region,16,11,56,11,3.5,21
23,Finland,Western Europe,16,13,216,26,13.5,44
24,Belgium,Western Europe,16,13,287,23,17.94,51
25,Taiwan,Asiatic Region,15,11,135,22,9.0,40
26,Saudi Arabia,Middle East,13,12,105,27,8.08,15
27,Brazil,Latin America,13,12,104,11,8.0,21
28,Poland,Eastern Europe,12,6,152,38,12.67,17
29,Turkey,Middle East,11,11,62,3,5.64,21
30,Israel,Middle East,11,10,75,6,6.82,26
31,Singapore,Asiatic Region,10,7,45,11,4.5,31
32,Ireland,Western Europe,9,6,91,15,10.11,29
33,Viet Nam,Asiatic Region,8,7,33,5,4.13,6
34,Jordan,Middle East,7,7,36,5,5.14,9
35,Tunisia,Africa,7,7,9,6,1.29,6
36,Lebanon,Middle East,6,6,26,0,4.33,17
37,Qatar,Middle East,6,3,150,0,25.0,11
38,Morocco,Africa,6,6,2,1,0.33,5
39,Nigeria,Africa,5,5,16,0,3.2,13
40,Malaysia,Asiatic Region,4,4,27,2,6.75,12
41,Uganda,Africa,4,4,13,1,3.25,6
42,Greece,Western Europe,4,2,51,1,12.75,26
43,Ghana,Africa,3,3,15,5,5.0,12
44,Hong Kong,Asiatic Region,3,3,39,1,13.0,23
45,Tanzania,Africa,3,2,11,7,3.67,11
46,Mozambique,Africa,3,3,32,2,10.67,3
47,Thailand,Asiatic Region,3,2,5,2,1.67,15
48,Kenya,Africa,3,3,14,1,4.67,9
49,Ethiopia,Africa,3,3,15,9,5.0,10
50,Egypt,Africa/Middle East,3,3,11,0,3.67,11
51,Nepal,Asiatic Region,3,3,14,2,4.67,5
52,Pakistan,Asiatic Region,2,2,5,2,2.5,12
53,Slovenia,Eastern Europe,2,1,4,0,2.0,20
54,Portugal,Western Europe,2,1,8,0,4.0,16
55,Palestine,Middle East,2,2,5,0,2.5,5
56,Hungary,Eastern Europe,2,2,60,5,30.0,8
57,Czech Republic,Eastern Europe,2,1,33,4,16.5,21
58,Guyana,Latin America,2,2,4,2,2.0,1
59,Bahrain,Middle East,1,1,2,0,2.0,2
60,Iceland,Western Europe,1,1,15,0,15.0,9
61,Guadeloupe,Latin America,1,1,1,1,1.0,1
62,Grenada,Latin America,1,1,0,0,0.0,0
63,Kuwait,Middle East,1,1,6,0,6.0,5
64,Luxembourg,Western Europe,1,1,38,3,38.0,14
65,Monaco,Western Europe,1,1,0,0,0.0,1
66,Madagascar,Africa,1,1,0,0,0.0,1
67,Martinique,Latin America,1,1,1,1,1.0,1
68,Mexico,Latin America,1,1,1,1,1.0,14
69,Namibia,Africa,1,1,0,0,0.0,5
70,Ecuador,Latin America,1,1,7,1,7.0,4
71,Oman,Middle East,1,1,7,0,7.0,3
72,Peru,Latin America,1,0,12,1,12.0,7
73,Romania,Eastern Europe,1,1,59,2,59.0,10
74,Russian Federation,Eastern Europe,1,1,59,5,59.0,11
75,Rwanda,Africa,1,1,25,11,25.0,8
76,Cyprus,Western Europe,1,0,12,4,12.0,15
77,Colombia,Latin America,1,1,0,0,0.0,8
78,Sierra Leone,Africa,1,1,7,2,7.0,4
79,Chile,Latin America,1,1,11,1,11.0,11
80,Côte d’Ivoire,Africa,1,1,0,0,0.0,2
