Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,459,378,3668,2105,7.99,91
2,Canada,Northern America,77,19,189,39,2.45,39
3,Spain,Western Europe,74,59,250,191,3.38,24
4,United Kingdom,Western Europe,71,53,818,311,11.52,66
5,France,Western Europe,22,14,69,23,3.14,22
6,Sweden,Western Europe,21,19,211,59,10.05,36
7,Australia,Pacific Region,18,12,94,12,5.22,31
8,Switzerland,Western Europe,17,11,14,0,0.82,19
9,India,Asiatic Region,10,9,42,9,4.2,17
10,Netherlands,Western Europe,7,6,203,10,29.0,21
11,Thailand,Asiatic Region,6,6,10,3,1.67,8
12,Norway,Western Europe,5,5,53,16,10.6,23
13,Ireland,Western Europe,5,4,85,10,17.0,23
14,Japan,Asiatic Region,4,4,10,3,2.5,16
15,China,Asiatic Region,4,4,1,1,0.25,12
16,New Zealand,Pacific Region,4,2,5,0,1.25,13
17,Denmark,Western Europe,3,3,55,2,18.33,25
18,Germany,Western Europe,3,1,58,2,19.33,26
19,Singapore,Asiatic Region,3,2,28,0,9.33,11
20,Belgium,Western Europe,3,3,71,2,23.67,13
21,Jordan,Middle East,2,2,22,7,11.0,8
22,Iran,Middle East,2,2,42,6,21.0,15
23,Taiwan,Asiatic Region,2,1,18,2,9.0,8
24,Iceland,Western Europe,1,1,10,0,10.0,5
25,Cambodia,Asiatic Region,1,0,7,0,7.0,2
26,South Korea,Asiatic Region,1,1,1,0,1.0,14
27,Nigeria,Africa,1,1,4,2,4.0,10
28,Israel,Middle East,1,1,18,0,18.0,14
29,Greece,Western Europe,1,1,2,0,2.0,7
30,Finland,Western Europe,1,1,10,3,10.0,12
31,Peru,Latin America,1,0,0,0,0.0,6
32,Pakistan,Asiatic Region,1,1,13,3,13.0,9
33,Poland,Eastern Europe,1,1,15,2,15.0,11
34,Saudi Arabia,Middle East,1,1,0,0,0.0,10
35,Sudan,Africa,1,1,34,0,34.0,5
36,Egypt,Africa/Middle East,1,1,34,3,34.0,8
37,Chile,Latin America,1,1,2,0,2.0,6
38,Botswana,Africa,1,1,3,1,3.0,3
39,Turkey,Middle East,1,1,63,5,63.0,12
40,Trinidad and Tobago,Latin America,1,1,52,0,52.0,2
41,South Africa,Africa,1,1,11,0,11.0,11
42,Brazil,Latin America,1,1,18,3,18.0,15
43,Venezuela,Latin America,1,0,0,0,0.0,0
44,Italy,Western Europe,1,1,21,2,21.0,24
