Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,780,572,7194,3701,9.22,120
2,Germany,Western Europe,340,311,1149,450,3.38,54
3,United Kingdom,Western Europe,253,212,4545,1220,17.96,88
4,Canada,Northern America,136,110,1621,379,11.92,71
5,France,Western Europe,131,114,394,116,3.01,32
6,Iran,Middle East,109,104,1615,483,14.82,33
7,Australia,Pacific Region,86,69,1249,276,14.52,56
8,Sweden,Western Europe,82,73,1142,379,13.93,57
9,Japan,Asiatic Region,67,64,743,191,11.09,45
10,Netherlands,Western Europe,62,56,1095,290,17.66,56
11,Norway,Western Europe,49,45,753,196,15.37,47
12,Switzerland,Western Europe,48,40,597,93,12.44,41
13,Italy,Western Europe,48,39,604,164,12.58,35
14,Belgium,Western Europe,35,31,379,55,10.83,39
15,Austria,Western Europe,25,24,153,28,6.12,22
16,Denmark,Western Europe,23,22,385,74,16.74,32
17,South Africa,Africa,20,20,320,83,16.0,37
18,Israel,Middle East,20,14,152,28,7.6,29
19,New Zealand,Pacific Region,18,13,1223,46,67.94,34
20,Turkey,Middle East,17,15,157,38,9.24,28
21,Finland,Western Europe,17,16,170,35,10.0,38
22,India,Asiatic Region,15,13,108,21,7.2,30
23,Spain,Western Europe,13,13,160,12,12.31,26
24,Nigeria,Africa,12,10,131,17,10.92,20
25,Brazil,Latin America,12,12,183,22,15.25,20
26,China,Asiatic Region,12,11,106,52,8.83,29
27,Malaysia,Asiatic Region,11,10,150,50,13.64,18
28,South Korea,Asiatic Region,11,11,200,29,18.18,24
29,Romania,Eastern Europe,11,11,67,47,6.09,12
30,Poland,Eastern Europe,11,11,143,17,13.0,21
31,Thailand,Asiatic Region,10,6,136,53,13.6,12
32,Portugal,Western Europe,9,9,98,19,10.89,16
33,Hong Kong,Asiatic Region,9,6,70,3,7.78,26
34,Ireland,Western Europe,8,8,121,13,15.13,33
35,Taiwan,Asiatic Region,8,6,65,12,8.13,27
36,Saudi Arabia,Middle East,7,7,227,21,32.43,18
37,Serbia,Eastern Europe,6,4,82,28,13.67,12
38,Croatia,Eastern Europe,6,5,67,20,11.17,18
39,Kenya,Africa,6,5,91,18,15.17,19
40,Mexico,Latin America,4,3,23,4,5.75,13
41,Cameroon,Africa,4,3,40,2,10.0,13
42,Lithuania,Eastern Europe,4,4,55,3,13.75,11
43,Egypt,Africa/Middle East,4,4,45,4,11.25,16
44,Czech Republic,Eastern Europe,4,3,31,4,7.75,14
45,Estonia,Eastern Europe,3,3,50,0,16.67,9
46,Pakistan,Asiatic Region,3,3,40,10,13.33,16
47,Ghana,Africa,3,3,44,6,14.67,19
48,Qatar,Middle East,3,3,39,9,13.0,7
49,Malawi,Africa,2,2,11,6,5.5,12
50,Slovakia,Eastern Europe,2,1,3,2,1.5,10
51,Singapore,Asiatic Region,2,2,19,13,9.5,23
52,Greece,Western Europe,2,1,10,0,5.0,18
53,Hungary,Eastern Europe,2,2,1,0,0.5,13
54,Iceland,Western Europe,2,2,81,5,40.5,8
55,Botswana,Africa,2,2,31,1,15.5,10
56,Ethiopia,Africa,2,2,20,5,10.0,8
57,Colombia,Latin America,2,2,18,0,9.0,6
58,Kuwait,Middle East,2,2,62,0,31.0,5
59,Uganda,Africa,2,2,31,3,15.5,11
60,Sri Lanka,Asiatic Region,2,2,14,4,7.0,11
61,Madagascar,Africa,2,2,18,0,9.0,1
62,Zimbabwe,Africa,1,1,13,1,13.0,7
63,Argentina,Latin America,1,1,15,2,15.0,9
64,Bangladesh,Asiatic Region,1,1,17,0,17.0,9
65,Burkina Faso,Africa,1,1,2,0,2.0,4
66,Congo,Africa,1,1,2,0,2.0,6
67,Chile,Latin America,1,1,2,0,2.0,12
68,Cyprus,Western Europe,1,1,54,6,54.0,11
69,Faroe Islands,Western Europe,1,1,12,2,12.0,2
70,Grenada,Latin America,1,1,15,5,15.0,7
71,Gambia,Africa,1,1,13,0,13.0,2
72,Indonesia,Asiatic Region,1,1,13,1,13.0,7
73,Jordan,Middle East,1,1,13,3,13.0,11
74,Lebanon,Middle East,1,1,7,2,7.0,12
75,Namibia,Africa,1,1,18,0,18.0,2
76,Niger,Africa,1,1,9,0,9.0,4
77,Peru,Latin America,1,1,6,0,6.0,7
78,Palestine,Middle East,1,0,2,0,2.0,3
79,Reunion,Africa,1,1,0,0,0.0,1
80,Russian Federation,Eastern Europe,1,1,14,0,14.0,8
81,Sudan,Africa,1,1,12,2,12.0,8
82,Tunisia,Africa,1,1,10,1,10.0,5
83,Uruguay,Latin America,1,1,6,0,6.0,4
84,United Arab Emirates,Middle East,1,1,0,0,0.0,7
