Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,974,907,14016,7832,14.39,135
2,United Kingdom,Western Europe,179,143,1433,376,8.01,64
3,Australia,Pacific Region,67,64,1085,231,16.19,60
4,Canada,Northern America,47,47,1538,277,32.72,82
5,Netherlands,Western Europe,15,14,367,53,24.47,31
6,Sweden,Western Europe,13,13,408,98,31.38,38
7,Germany,Western Europe,12,11,192,23,16.0,22
8,Italy,Western Europe,11,11,529,61,48.09,34
9,Ireland,Western Europe,11,11,174,23,15.82,27
10,New Zealand,Pacific Region,10,10,275,15,27.5,21
11,China,Asiatic Region,8,7,24,1,3.0,29
12,Norway,Western Europe,8,8,119,31,14.88,27
13,Taiwan,Asiatic Region,8,8,85,17,10.63,27
14,Turkey,Middle East,7,7,53,21,7.57,21
15,Finland,Western Europe,6,6,57,10,9.5,28
16,Japan,Asiatic Region,5,5,83,20,16.6,22
17,Switzerland,Western Europe,5,5,256,4,51.2,20
18,Greece,Western Europe,4,4,28,6,7.0,19
19,Denmark,Western Europe,3,3,214,18,71.33,20
20,Belgium,Western Europe,3,3,499,81,166.33,25
21,Israel,Middle East,3,3,25,2,8.33,19
22,Spain,Western Europe,3,3,62,4,20.67,22
23,France,Western Europe,2,2,6,3,3.0,18
24,Lebanon,Middle East,2,2,29,0,14.5,12
25,Oman,Middle East,1,1,8,5,8.0,16
26,Philippines,Asiatic Region,1,1,5,0,5.0,9
27,Pakistan,Asiatic Region,1,1,0,0,0.0,13
28,Puerto Rico,Latin America,1,1,2,0,2.0,2
29,Jordan,Middle East,1,1,6,0,6.0,16
30,Singapore,Asiatic Region,1,1,3,1,3.0,19
31,Slovenia,Eastern Europe,1,1,143,0,143.0,6
32,Cyprus,Western Europe,1,1,8,2,8.0,9
33,India,Asiatic Region,1,1,1,0,1.0,21
34,Argentina,Latin America,1,1,0,0,0.0,8
