Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,405,344,7425,3758,18.33,98
2,United Kingdom,Western Europe,220,185,1526,749,6.94,64
3,Germany,Western Europe,206,173,763,454,3.7,40
4,France,Western Europe,41,37,12,6,0.29,17
5,Australia,Pacific Region,32,20,541,233,16.91,69
6,Canada,Northern America,24,19,743,141,30.96,51
7,South Africa,Africa,13,12,22,6,1.69,19
8,Switzerland,Western Europe,13,12,26,9,2.0,28
9,Sweden,Western Europe,10,10,343,83,34.3,55
10,Austria,Western Europe,9,7,6,0,0.67,19
11,Netherlands,Western Europe,6,6,102,26,17.0,27
12,New Zealand,Pacific Region,5,5,29,1,5.8,24
13,Israel,Middle East,5,5,65,7,13.0,22
14,Turkey,Middle East,5,5,83,19,16.6,22
15,Ireland,Western Europe,5,5,161,4,32.2,31
16,Spain,Western Europe,5,5,7,4,1.4,25
17,Japan,Asiatic Region,3,3,100,6,33.33,20
18,Jordan,Middle East,3,1,5,2,1.67,13
19,Iceland,Western Europe,3,0,0,0,0.0,11
20,Taiwan,Asiatic Region,2,2,31,4,15.5,22
21,Egypt,Africa/Middle East,2,0,0,0,0.0,16
22,Croatia,Eastern Europe,2,2,3,0,1.5,6
23,India,Asiatic Region,2,2,19,3,9.5,21
24,Italy,Western Europe,2,2,3,1,1.5,29
25,Tanzania,Africa,2,2,45,2,22.5,12
26,Ghana,Africa,1,1,2,1,2.0,15
27,Finland,Western Europe,1,1,0,0,0.0,20
28,Nigeria,Africa,1,1,0,0,0.0,21
29,Colombia,Latin America,1,1,2,0,2.0,9
30,Norway,Western Europe,1,1,0,0,0.0,31
31,China,Asiatic Region,1,1,0,0,0.0,27
32,Puerto Rico,Latin America,1,1,8,0,8.0,4
33,Serbia,Eastern Europe,1,1,2,0,2.0,5
34,Russian Federation,Eastern Europe,1,1,26,3,26.0,7
35,Rwanda,Africa,1,1,2,1,2.0,6
36,Sudan,Africa,1,1,7,0,7.0,5
37,Congo,Africa,1,1,2,0,2.0,2
38,Slovenia,Eastern Europe,1,1,15,1,15.0,10
39,Swaziland,Africa,1,1,0,0,0.0,3
40,Thailand,Asiatic Region,1,1,12,0,12.0,15
41,Botswana,Africa,1,1,0,0,0.0,4
42,Brazil,Latin America,1,1,42,7,42.0,24
43,Zambia,Africa,1,1,0,0,0.0,8
44,Uganda,Africa,1,1,1,1,1.0,9
45,Burkina Faso,Africa,1,1,1,0,1.0,3
46,Iran,Middle East,1,1,74,20,74.0,34
47,Bangladesh,Asiatic Region,1,1,0,0,0.0,11
