Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,737,561,6844,3558,9.29,98
2,United Kingdom,Western Europe,359,288,2402,729,6.69,64
3,Iran,Middle East,148,144,1457,625,9.84,34
4,Australia,Pacific Region,145,135,2882,895,19.88,69
5,Germany,Western Europe,121,120,1462,453,12.08,40
6,South Africa,Africa,45,44,187,52,4.16,19
7,Spain,Western Europe,44,42,275,62,6.25,25
8,Sweden,Western Europe,43,41,862,185,20.05,55
9,Brazil,Latin America,42,42,309,112,7.36,24
10,France,Western Europe,40,40,67,13,1.68,17
11,Canada,Northern America,34,33,628,94,18.47,51
12,Ireland,Western Europe,28,28,234,43,8.36,31
13,Netherlands,Western Europe,20,19,303,98,15.15,27
14,Norway,Western Europe,17,17,278,48,16.35,31
15,Colombia,Latin America,17,15,59,18,3.47,9
16,Switzerland,Western Europe,15,13,285,35,19.0,28
17,India,Asiatic Region,15,11,431,225,28.73,21
18,Turkey,Middle East,15,11,119,18,7.93,22
19,Italy,Western Europe,14,14,428,78,30.57,29
20,Nigeria,Africa,12,12,136,42,11.33,21
21,Denmark,Western Europe,11,11,276,53,25.09,23
22,Israel,Middle East,10,10,229,27,22.9,22
23,Austria,Western Europe,9,9,125,14,13.89,19
24,New Zealand,Pacific Region,9,8,262,33,29.11,24
25,Ethiopia,Africa,8,8,151,58,18.88,23
26,China,Asiatic Region,8,7,232,27,29.0,27
27,Japan,Asiatic Region,7,7,56,8,8.0,20
28,Finland,Western Europe,7,7,127,12,18.14,20
29,Saudi Arabia,Middle East,7,6,149,28,21.29,12
30,Taiwan,Asiatic Region,6,6,55,11,9.17,22
31,Greece,Western Europe,5,5,58,8,11.6,13
32,Chile,Latin America,5,3,28,4,5.6,13
33,Poland,Eastern Europe,5,5,26,3,5.2,11
34,Portugal,Western Europe,5,5,119,24,23.8,12
35,Mexico,Latin America,5,5,46,11,9.2,11
36,Belgium,Western Europe,5,5,77,11,15.4,17
37,Pakistan,Asiatic Region,4,4,25,14,6.25,12
38,Iceland,Western Europe,4,3,25,9,6.25,11
39,South Korea,Asiatic Region,4,4,53,9,13.25,11
40,Thailand,Asiatic Region,3,3,17,3,5.67,15
41,Lebanon,Middle East,3,3,46,1,15.33,9
42,Slovenia,Eastern Europe,3,3,27,5,9.0,10
43,Malaysia,Asiatic Region,3,3,78,16,26.0,13
44,Zambia,Africa,2,2,8,1,4.0,8
45,Argentina,Latin America,2,2,3,3,1.5,6
46,Cuba,Latin America,2,2,18,0,9.0,7
47,Egypt,Africa/Middle East,2,2,29,4,14.5,16
48,Hong Kong,Asiatic Region,2,2,22,0,11.0,19
49,Cambodia,Asiatic Region,2,2,11,4,5.5,5
50,Malawi,Africa,2,2,38,16,19.0,11
51,Philippines,Asiatic Region,2,2,7,0,3.5,6
52,Puerto Rico,Latin America,2,2,9,2,4.5,4
53,Singapore,Asiatic Region,2,2,45,11,22.5,19
54,Tanzania,Africa,2,2,29,5,14.5,12
55,Panama,Latin America,1,1,38,0,38.0,1
56,Papua New Guinea,Pacific Region,1,1,5,3,5.0,5
57,Cameroon,Africa,1,1,40,2,40.0,4
58,Lesotho,Africa,1,1,1,1,1.0,2
59,Sri Lanka,Asiatic Region,1,1,16,3,16.0,4
60,Viet Nam,Asiatic Region,1,1,15,5,15.0,9
61,Palestine,Middle East,1,1,8,4,8.0,4
62,Kenya,Africa,1,1,9,3,9.0,12
63,Qatar,Middle East,1,1,17,0,17.0,9
64,Serbia,Eastern Europe,1,1,17,4,17.0,5
65,Russian Federation,Eastern Europe,1,1,11,2,11.0,7
66,Rwanda,Africa,1,1,34,9,34.0,6
67,Jordan,Middle East,1,1,23,0,23.0,13
68,Sudan,Africa,1,1,37,2,37.0,5
69,Indonesia,Asiatic Region,1,1,23,10,23.0,12
70,American Samoa,Pacific Region,1,1,20,0,20.0,2
71,Croatia,Eastern Europe,1,1,0,0,0.0,6
72,Sierra Leone,Africa,1,1,4,1,4.0,5
73,Swaziland,Africa,1,1,7,0,7.0,3
74,Honduras,Latin America,1,1,3,0,3.0,2
75,Georgia,Eastern Europe,1,1,26,0,26.0,7
76,Czech Republic,Eastern Europe,1,1,4,1,4.0,7
77,United Arab Emirates,Middle East,1,1,7,3,7.0,7
78,Mali,Africa,1,1,20,0,20.0,3
79,Nepal,Asiatic Region,1,1,11,6,11.0,13
80,Lithuania,Eastern Europe,1,1,9,0,9.0,4
81,Oman,Middle East,1,1,11,0,11.0,8
