Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,623,507,3892,1732,6.25,80
2,United Kingdom,Western Europe,263,160,1605,585,6.1,55
3,Brazil,Latin America,95,93,686,471,7.22,27
4,Australia,Pacific Region,73,60,671,194,9.19,36
5,France,Western Europe,59,51,3,2,0.05,16
6,Spain,Western Europe,40,33,325,147,8.13,19
7,Sweden,Western Europe,38,35,648,181,17.05,41
8,Canada,Northern America,37,32,317,64,8.57,42
9,Denmark,Western Europe,15,12,319,42,21.27,25
10,China,Asiatic Region,14,13,205,28,14.64,18
11,Netherlands,Western Europe,13,11,280,35,21.54,32
12,Belgium,Western Europe,12,7,187,82,15.58,28
13,Turkey,Middle East,10,10,108,6,10.8,25
14,Germany,Western Europe,10,6,114,21,11.4,23
15,Ireland,Western Europe,9,7,291,39,32.33,21
16,Norway,Western Europe,9,6,76,10,8.44,26
17,South Korea,Asiatic Region,9,9,126,17,14.0,19
18,Switzerland,Western Europe,8,5,286,20,35.75,23
19,Austria,Western Europe,7,6,114,4,16.29,15
20,Iran,Middle East,7,7,55,4,7.86,18
21,Japan,Asiatic Region,6,6,93,3,15.5,19
22,Taiwan,Asiatic Region,6,6,36,3,6.0,15
23,Israel,Middle East,5,4,68,10,13.6,18
24,South Africa,Africa,4,2,20,8,5.0,10
25,Finland,Western Europe,4,4,12,0,3.0,15
26,Portugal,Western Europe,4,3,25,4,6.25,10
27,Uganda,Africa,3,2,12,6,4.0,8
28,Italy,Western Europe,3,3,26,3,8.67,25
29,Singapore,Asiatic Region,3,3,52,17,17.33,11
30,New Zealand,Pacific Region,3,3,57,1,19.0,15
31,Jordan,Middle East,2,2,15,4,7.5,10
32,India,Asiatic Region,2,2,5,3,2.5,15
33,Greece,Western Europe,2,2,26,4,13.0,15
34,Poland,Eastern Europe,2,1,23,6,11.5,14
35,Nigeria,Africa,2,1,11,1,5.5,8
36,Bahrain,Middle East,1,1,5,0,5.0,1
37,Cyprus,Western Europe,1,1,13,1,13.0,7
38,Slovenia,Eastern Europe,1,1,8,0,8.0,6
39,Thailand,Asiatic Region,1,0,0,0,0.0,9
40,Colombia,Latin America,1,1,6,0,6.0,5
41,Chile,Latin America,1,1,7,0,7.0,7
42,Ukraine,Eastern Europe,1,0,0,0,0.0,1
43,Botswana,Africa,1,1,3,0,3.0,1
44,Uruguay,Latin America,1,1,7,1,7.0,2
45,Pakistan,Asiatic Region,1,1,33,0,33.0,5
46,Hong Kong,Asiatic Region,1,0,0,0,0.0,15
47,Kenya,Africa,1,1,3,3,3.0,6
48,Lebanon,Middle East,1,1,8,1,8.0,7
49,Morocco,Africa,1,1,0,0,0.0,3
50,Malaysia,Asiatic Region,1,1,14,4,14.0,7
51,Egypt,Africa/Middle East,1,0,8,0,8.0,6
52,Czech Republic,Eastern Europe,1,0,2,2,2.0,4
53,Iceland,Western Europe,1,1,50,0,50.0,7
