Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,233,160,399,170,1.71,22
2,Pakistan,Asiatic Region,3,3,0,0,0.0,0
3,Germany,Western Europe,1,1,1,0,1.0,1
4,France,Western Europe,1,1,0,0,0.0,1
5,United Kingdom,Western Europe,1,0,1,0,1.0,4
6,Ghana,Africa,1,0,7,4,7.0,1
7,Guatemala,Latin America,1,1,0,0,0.0,0
8,Italy,Western Europe,1,1,1,1,1.0,1
9,Taiwan,Asiatic Region,1,0,2,0,2.0,1
10,Aruba,Latin America,1,1,0,0,0.0,0
11,South Africa,Africa,1,0,0,0,0.0,2
12,Canada,Northern America,1,0,0,0,0.0,4
