Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,188,149,16,7,0.09,22
2,Colombia,Latin America,29,29,2,0,0.07,4
3,Brazil,Latin America,18,17,3,2,0.17,4
4,Peru,Latin America,2,2,0,0,0.0,1
5,Chile,Latin America,2,1,1,1,0.5,1
6,Argentina,Latin America,1,1,0,0,0.0,0
7,Mexico,Latin America,1,1,0,0,0.0,2
8,Netherlands,Western Europe,1,0,0,0,0.0,3
9,Norway,Western Europe,1,1,0,0,0.0,0
10,Puerto Rico,Latin America,1,1,0,0,0.0,0
11,Portugal,Western Europe,1,1,0,0,0.0,1
12,South Korea,Asiatic Region,1,1,0,0,0.0,0
13,Canada,Northern America,1,1,0,0,0.0,4
14,Germany,Western Europe,1,1,0,0,0.0,1
15,United Kingdom,Western Europe,1,1,0,0,0.0,4
16,Israel,Middle East,1,1,0,0,0.0,2
