Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3019,2696,45560,23492,15.09,225
2,United Kingdom,Western Europe,1085,903,14790,4212,13.63,175
3,Brazil,Latin America,880,865,6082,4030,6.91,57
4,Australia,Pacific Region,528,471,12596,3535,23.86,142
5,France,Western Europe,514,471,1123,247,2.18,63
6,Canada,Northern America,420,384,8946,1918,21.3,139
7,Taiwan,Asiatic Region,278,275,3725,697,13.4,83
8,Spain,Western Europe,241,214,2519,674,10.45,80
9,South Korea,Asiatic Region,171,169,3044,518,17.8,75
10,Germany,Western Europe,157,99,2216,503,14.11,84
11,New Zealand,Pacific Region,149,93,1970,200,13.22,64
12,Sweden,Western Europe,147,143,3590,796,24.42,98
13,Netherlands,Western Europe,135,122,5379,1077,39.84,111
14,Greece,Western Europe,102,98,635,89,6.23,45
15,Turkey,Middle East,90,90,1464,294,16.27,60
16,Italy,Western Europe,86,76,1907,396,22.17,87
17,China,Asiatic Region,85,84,2621,587,30.84,73
18,Ireland,Western Europe,85,76,1867,187,21.96,75
19,Norway,Western Europe,84,83,2139,416,25.46,72
20,Japan,Asiatic Region,83,79,1090,247,13.13,73
21,Hong Kong,Asiatic Region,73,72,1942,202,26.6,82
22,Portugal,Western Europe,71,70,459,121,6.46,37
23,Iran,Middle East,69,66,955,501,13.84,49
24,Switzerland,Western Europe,62,59,1616,121,26.06,71
25,Singapore,Asiatic Region,56,41,1346,109,24.04,54
26,Belgium,Western Europe,51,48,1685,310,33.04,82
27,Pakistan,Asiatic Region,50,47,125,39,2.5,23
28,Jordan,Middle East,46,46,643,110,13.98,46
29,Finland,Western Europe,43,42,900,150,20.93,74
30,Israel,Middle East,39,33,861,122,22.08,49
31,Thailand,Asiatic Region,37,31,370,99,10.0,41
32,Chile,Latin America,34,32,232,62,6.82,23
33,Denmark,Western Europe,34,31,860,129,25.29,51
34,Colombia,Latin America,34,32,283,45,8.32,23
35,Mexico,Latin America,28,28,618,33,22.07,28
36,Cuba,Latin America,25,19,38,16,1.52,10
37,India,Asiatic Region,22,22,240,64,10.91,39
38,Czech Republic,Eastern Europe,21,19,193,22,9.19,28
39,Austria,Western Europe,20,16,658,36,32.9,37
40,Malaysia,Asiatic Region,19,16,329,35,17.32,32
41,Cyprus,Western Europe,18,17,256,29,14.22,34
42,Poland,Eastern Europe,18,16,383,51,21.28,37
43,Slovakia,Eastern Europe,16,16,98,23,6.13,18
44,South Africa,Africa,13,13,315,33,24.23,43
45,Egypt,Africa/Middle East,11,11,224,18,20.36,27
46,Saudi Arabia,Middle East,9,9,205,46,22.78,37
47,Uganda,Africa,9,7,148,28,16.44,25
48,Argentina,Latin America,7,7,83,6,11.86,21
49,Jamaica,Latin America,7,7,43,8,6.14,13
50,Nigeria,Africa,7,7,85,10,12.14,19
51,Malta,Western Europe,6,5,48,12,8.0,21
52,Lebanon,Middle East,6,6,81,11,13.5,27
53,Hungary,Eastern Europe,5,4,149,5,29.8,18
54,Nicaragua,Latin America,5,5,15,1,3.0,5
55,Croatia,Eastern Europe,5,5,34,9,6.8,18
56,Macao,Asiatic Region,5,5,272,5,54.4,18
57,Iceland,Western Europe,4,4,47,7,11.75,35
58,Philippines,Asiatic Region,4,4,44,5,11.0,23
59,Paraguay,Latin America,3,3,80,0,26.67,6
60,Uruguay,Latin America,3,3,9,3,3.0,6
61,Ghana,Africa,3,3,62,18,20.67,22
62,Bahrain,Middle East,3,3,64,2,21.33,10
63,Iraq,Middle East,3,3,4,2,1.33,12
64,Slovenia,Eastern Europe,3,2,12,0,4.0,25
65,El Salvador,Latin America,2,2,7,2,3.5,5
66,Bangladesh,Asiatic Region,2,2,36,5,18.0,11
67,Bolivia,Latin America,2,2,12,0,6.0,4
68,Botswana,Africa,2,2,8,4,4.0,14
69,Estonia,Eastern Europe,2,1,30,2,15.0,20
70,Ethiopia,Africa,2,2,17,3,8.5,22
71,Guatemala,Latin America,2,2,8,0,4.0,7
72,Haïti,Latin America,2,2,7,2,3.5,6
73,Kenya,Africa,2,2,22,0,11.0,19
74,Lithuania,Eastern Europe,2,1,26,1,13.0,19
75,Malawi,Africa,2,2,6,0,3.0,17
76,Nepal,Asiatic Region,2,1,15,9,7.5,11
77,Panama,Latin America,2,2,6,0,3.0,6
78,Peru,Latin America,2,2,63,0,31.5,13
79,Puerto Rico,Latin America,2,2,18,5,9.0,13
80,United Arab Emirates,Middle East,2,2,26,3,13.0,17
81,Syrian Arab Republic,Middle East,2,2,29,0,14.5,6
82,Ukraine,Eastern Europe,2,2,24,0,12.0,7
83,Venezuela,Latin America,2,2,70,0,35.0,5
84,Viet Nam,Asiatic Region,2,2,50,0,25.0,15
85,Lesotho,Africa,1,1,9,0,9.0,6
86,Kuwait,Middle East,1,1,17,0,17.0,18
87,Romania,Eastern Europe,1,1,39,1,39.0,15
88,Russian Federation,Eastern Europe,1,1,4,0,4.0,13
89,Rwanda,Africa,1,1,5,0,5.0,10
90,Cambodia,Asiatic Region,1,1,12,0,12.0,7
91,Indonesia,Asiatic Region,1,1,3,3,3.0,25
92,Guyana,Latin America,1,1,1,0,1.0,2
93,Grenada,Latin America,1,1,39,0,39.0,4
94,Dominican Republic,Latin America,1,1,14,1,14.0,9
95,Albania,Eastern Europe,1,1,6,2,6.0,6
96,Afghanistan,Asiatic Region,1,1,16,0,16.0,5
97,Dominica,Latin America,1,1,1,0,1.0,5
98,Bhutan,Asiatic Region,1,1,9,0,9.0,5
99,Brunei Darussalam,Asiatic Region,1,0,0,0,0.0,8
100,Tanzania,Africa,1,1,3,0,3.0,12
101,Namibia,Africa,1,1,44,4,44.0,8
102,Oman,Middle East,1,1,14,1,14.0,28
103,Zimbabwe,Africa,1,1,16,5,16.0,11
104,Bosnia and Herzegovina,Eastern Europe,1,1,12,4,12.0,8
105,Mozambique,Africa,1,1,1,1,1.0,3
106,Morocco,Africa,1,0,0,0,0.0,4
107,Luxembourg,Western Europe,1,1,52,0,52.0,8
108,Armenia,Eastern Europe,1,1,2,0,2.0,3
