Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4829,4533,22443,8516,4.65,473
2,China,Asiatic Region,2754,2715,14090,7747,5.12,154
3,United Kingdom,Western Europe,1860,1752,10732,2376,5.77,322
4,Spain,Western Europe,1378,1331,7221,1856,5.24,210
5,Italy,Western Europe,1317,1234,10223,2734,7.76,224
6,Australia,Pacific Region,1314,1263,7249,1665,5.52,218
7,Brazil,Latin America,1192,1152,5108,1220,4.29,140
8,Canada,Northern America,1178,1125,6136,1102,5.21,245
9,France,Western Europe,934,867,4443,801,4.76,233
10,Japan,Asiatic Region,931,904,3788,1146,4.07,166
11,Germany,Western Europe,887,813,4728,892,5.33,226
12,South Korea,Asiatic Region,775,768,2667,716,3.44,124
13,Netherlands,Western Europe,774,745,4468,761,5.77,241
14,Iran,Middle East,699,658,3108,773,4.45,100
15,Poland,Eastern Europe,578,567,3461,660,5.99,110
16,India,Asiatic Region,484,462,2377,630,4.91,125
17,Turkey,Middle East,468,454,1492,271,3.19,88
18,Sweden,Western Europe,393,373,2195,312,5.59,191
19,Denmark,Western Europe,386,379,2111,294,5.47,181
20,Switzerland,Western Europe,381,363,2548,310,6.69,198
21,Mexico,Latin America,361,346,1500,291,4.16,96
22,Belgium,Western Europe,305,289,2121,276,6.95,172
23,New Zealand,Pacific Region,293,282,1349,233,4.6,139
24,Taiwan,Asiatic Region,289,286,1406,310,4.87,98
25,Norway,Western Europe,269,257,1429,222,5.31,155
26,Chile,Latin America,247,234,892,179,3.61,86
27,Ireland,Western Europe,244,234,1515,162,6.21,121
28,Indonesia,Asiatic Region,242,237,519,145,2.14,61
29,Russian Federation,Eastern Europe,235,232,695,238,2.96,50
30,Portugal,Western Europe,225,219,1280,169,5.69,100
31,Greece,Western Europe,218,205,1398,217,6.41,120
32,Finland,Western Europe,201,197,1054,143,5.24,164
33,Malaysia,Asiatic Region,199,192,898,186,4.51,76
34,Austria,Western Europe,195,190,1330,180,6.82,115
35,South Africa,Africa,194,187,955,227,4.92,91
36,Saudi Arabia,Middle East,193,192,922,128,4.78,72
37,Singapore,Asiatic Region,179,164,870,116,4.86,81
38,Israel,Middle East,160,154,835,76,5.22,114
39,Egypt,Africa/Middle East,146,140,901,190,6.17,61
40,Thailand,Asiatic Region,142,141,606,135,4.27,68
41,Colombia,Latin America,132,126,474,85,3.59,55
42,Hong Kong,Asiatic Region,131,125,875,80,6.68,90
43,Ethiopia,Africa,130,130,352,121,2.71,40
44,Peru,Latin America,114,101,311,101,2.73,46
45,Argentina,Latin America,105,103,344,44,3.28,82
46,Bangladesh,Asiatic Region,96,94,411,113,4.28,63
47,Pakistan,Asiatic Region,93,92,568,70,6.11,58
48,Nigeria,Africa,86,84,289,59,3.36,54
49,Serbia,Eastern Europe,81,72,504,67,6.22,46
50,Czech Republic,Eastern Europe,79,73,426,36,5.39,70
51,Lebanon,Middle East,77,76,378,88,4.91,47
52,Ghana,Africa,75,73,224,46,2.99,43
53,United Arab Emirates,Middle East,71,68,749,92,10.55,51
54,Kenya,Africa,69,68,304,53,4.41,54
55,Hungary,Eastern Europe,68,67,432,55,6.35,79
56,Romania,Eastern Europe,66,66,479,63,7.26,44
57,Croatia,Eastern Europe,63,61,614,73,9.75,54
58,Qatar,Middle East,58,56,438,85,7.55,33
59,Slovenia,Eastern Europe,58,58,540,78,9.31,51
60,Ecuador,Latin America,53,53,165,27,3.11,27
61,Jordan,Middle East,50,48,224,37,4.48,35
62,Uruguay,Latin America,50,47,302,45,6.04,61
63,Viet Nam,Asiatic Region,48,48,183,41,3.81,47
64,Cyprus,Western Europe,46,45,191,15,4.15,48
65,Philippines,Asiatic Region,43,41,167,23,3.88,43
66,Nepal,Asiatic Region,37,37,173,20,4.68,42
67,Uganda,Africa,36,36,86,20,2.39,31
68,Malawi,Africa,36,35,182,46,5.06,38
69,Morocco,Africa,33,33,178,31,5.39,42
70,Kuwait,Middle East,31,31,142,13,4.58,37
71,Costa Rica,Latin America,30,29,73,19,2.43,37
72,Tanzania,Africa,30,30,120,20,4.0,42
73,Algeria,Africa,30,30,88,9,2.93,26
74,Tunisia,Africa,29,28,126,7,4.34,47
75,Lithuania,Eastern Europe,28,27,250,13,8.93,32
76,Estonia,Eastern Europe,24,24,193,21,8.04,54
77,Burkina Faso,Africa,24,24,111,22,4.63,31
78,Zambia,Africa,23,23,144,17,6.26,29
79,Sri Lanka,Asiatic Region,22,21,77,12,3.5,41
80,Oman,Middle East,21,20,58,5,2.76,28
81,Guatemala,Latin America,21,20,39,9,1.86,42
82,Iraq,Middle East,20,19,138,34,6.9,22
83,Slovakia,Eastern Europe,20,20,133,11,6.65,43
84,Bahrain,Middle East,20,20,102,7,5.1,27
85,Bulgaria,Eastern Europe,20,20,100,14,5.0,35
86,Venezuela,Latin America,19,19,85,19,4.47,41
87,Luxembourg,Western Europe,18,18,287,22,15.94,39
88,Kazakhstan,Asiatic Region,18,16,87,12,4.83,15
89,Gambia,Africa,16,15,87,6,5.44,35
90,Iceland,Western Europe,15,15,66,18,4.4,50
91,Zimbabwe,Africa,15,15,97,17,6.47,27
92,Senegal,Africa,13,13,61,6,4.69,33
93,Palestine,Middle East,12,12,111,12,9.25,18
94,Cameroon,Africa,12,12,44,7,3.67,27
95,Panama,Latin America,12,12,64,4,5.33,12
96,Paraguay,Latin America,12,11,26,3,2.17,10
97,Benin,Africa,11,11,30,6,2.73,24
98,Macedonia,Eastern Europe,11,10,140,4,12.73,14
99,Jamaica,Latin America,10,10,24,0,2.4,40
100,Latvia,Eastern Europe,10,9,87,6,8.7,21
101,Bosnia and Herzegovina,Eastern Europe,9,9,168,3,18.67,13
102,Cuba,Latin America,9,9,16,1,1.78,25
103,Cambodia,Asiatic Region,9,9,18,3,2.0,27
104,Georgia,Eastern Europe,8,7,50,2,6.25,15
105,Montenegro,Eastern Europe,8,7,37,0,4.63,5
106,Ukraine,Eastern Europe,8,8,57,17,7.13,18
107,Sudan,Africa,8,8,25,4,3.13,24
108,Rwanda,Africa,7,7,16,0,2.29,16
109,Puerto Rico,Latin America,6,6,11,2,1.83,29
110,Libya,Africa,5,5,15,1,3.0,12
111,Macao,Asiatic Region,5,4,23,0,4.6,20
112,Niger,Africa,5,5,7,1,1.4,12
113,Democratic Republic Congo,Africa,5,5,19,5,3.8,7
114,Belarus,Eastern Europe,5,5,21,1,4.2,12
115,Mongolia,Asiatic Region,4,4,9,1,2.25,18
116,Mauritius,Africa,4,4,11,0,2.75,20
117,Reunion,Africa,4,4,6,0,1.5,2
118,Botswana,Africa,4,4,12,0,3.0,18
119,Togo,Africa,4,4,4,2,1.0,7
120,Côte d’Ivoire,Africa,4,4,3,0,0.75,23
121,Malta,Western Europe,3,3,33,4,11.0,18
122,Mozambique,Africa,3,3,4,1,1.33,19
123,Honduras,Latin America,3,3,8,0,2.67,8
124,Faroe Islands,Western Europe,3,3,9,0,3.0,11
125,Fiji,Pacific Region,3,3,12,2,4.0,17
126,Dominican Republic,Latin America,3,3,4,2,1.33,5
127,Solomon Islands,Pacific Region,3,3,17,3,5.67,6
128,Seychelles,Africa,3,3,9,1,3.0,17
129,Congo,Africa,3,3,17,1,5.67,19
130,Sierra Leone,Africa,3,3,11,4,3.67,9
131,Republic of South Sudan,Africa,3,3,8,1,2.67,3
132,Yemen,Middle East,3,3,7,0,2.33,15
133,Kyrgyzstan,Asiatic Region,3,3,35,1,11.67,8
134,Monaco,Western Europe,2,2,7,0,3.5,7
135,Barbados,Latin America,2,2,4,0,2.0,14
136,Uzbekistan,Asiatic Region,2,2,36,3,18.0,5
