Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,181,173,4701,2436,25.97,120
2,United Kingdom,Western Europe,32,23,458,137,14.31,67
3,Canada,Northern America,15,14,998,124,66.53,71
4,Sweden,Western Europe,10,10,421,93,42.1,47
5,Australia,Pacific Region,8,8,416,40,52.0,56
6,Taiwan,Asiatic Region,6,6,222,46,37.0,34
7,South Korea,Asiatic Region,3,3,69,14,23.0,29
8,Israel,Middle East,2,2,88,4,44.0,22
9,Greece,Western Europe,2,1,48,11,24.0,17
10,Hong Kong,Asiatic Region,2,2,80,15,40.0,35
11,Japan,Asiatic Region,2,2,27,3,13.5,19
12,India,Asiatic Region,1,1,1,1,1.0,20
13,Jordan,Middle East,1,1,14,4,14.0,12
14,Brazil,Latin America,1,1,13,2,13.0,21
15,Ireland,Western Europe,1,1,1,1,1.0,28
16,Netherlands,Western Europe,1,1,116,23,116.0,43
17,Finland,Western Europe,1,1,22,2,22.0,21
18,El Salvador,Latin America,1,1,10,1,10.0,2
19,Denmark,Western Europe,1,1,11,4,11.0,27
20,United Arab Emirates,Middle East,1,1,53,3,53.0,4
