Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,653,548,6810,3607,10.43,120
2,United Kingdom,Western Europe,171,138,1649,469,9.64,67
3,France,Western Europe,114,106,322,90,2.82,30
4,Canada,Northern America,91,76,1004,203,11.03,71
5,Australia,Pacific Region,75,60,814,220,10.85,56
6,India,Asiatic Region,37,27,296,229,8.0,20
7,China,Asiatic Region,31,29,421,184,13.58,32
8,Netherlands,Western Europe,28,27,330,85,11.79,43
9,Italy,Western Europe,26,23,279,61,10.73,29
10,Ireland,Western Europe,21,18,166,14,7.9,28
11,Turkey,Middle East,21,21,211,50,10.05,32
12,South Korea,Asiatic Region,20,20,233,27,11.65,29
13,Germany,Western Europe,19,19,273,47,14.37,29
14,Taiwan,Asiatic Region,18,18,160,29,8.89,34
15,Japan,Asiatic Region,18,13,111,35,6.17,19
16,Norway,Western Europe,17,17,301,36,17.71,36
17,Spain,Western Europe,17,13,172,44,10.12,27
18,Switzerland,Western Europe,17,17,199,32,11.71,34
19,Sweden,Western Europe,16,16,142,27,8.88,47
20,South Africa,Africa,15,14,302,90,20.13,31
21,Hong Kong,Asiatic Region,14,11,144,8,10.29,35
22,Iran,Middle East,14,12,194,74,13.86,19
23,Belgium,Western Europe,13,13,132,9,10.15,27
24,Denmark,Western Europe,12,12,202,51,16.83,27
25,Singapore,Asiatic Region,9,8,43,14,4.78,20
26,New Zealand,Pacific Region,9,7,146,17,16.22,19
27,Austria,Western Europe,7,5,56,15,8.0,14
28,Israel,Middle East,6,6,43,5,7.17,22
29,Brazil,Latin America,5,5,17,2,3.4,21
30,Kenya,Africa,4,4,91,17,22.75,11
31,Jordan,Middle East,4,4,21,3,5.25,12
32,Nigeria,Africa,3,3,17,4,5.67,6
33,Finland,Western Europe,3,2,10,0,3.33,21
34,Malaysia,Asiatic Region,3,3,33,1,11.0,11
35,Portugal,Western Europe,3,3,38,4,12.67,17
36,Nepal,Asiatic Region,2,2,5,1,2.5,4
37,Thailand,Asiatic Region,2,2,73,5,36.5,23
38,Cyprus,Western Europe,2,2,47,1,23.5,15
39,Zambia,Africa,2,2,6,2,3.0,3
40,Philippines,Asiatic Region,2,2,2,1,1.0,5
41,Saudi Arabia,Middle East,2,2,6,2,3.0,6
42,Malawi,Africa,2,2,19,2,9.5,7
43,Croatia,Eastern Europe,2,2,3,0,1.5,3
44,Mexico,Latin America,2,2,55,5,27.5,9
45,Lebanon,Middle East,2,2,10,0,5.0,13
46,Sri Lanka,Asiatic Region,1,1,5,0,5.0,1
47,Serbia,Eastern Europe,1,1,0,0,0.0,4
48,Russian Federation,Eastern Europe,1,1,0,0,0.0,3
49,Estonia,Eastern Europe,1,1,0,0,0.0,1
50,Czech Republic,Eastern Europe,1,1,17,3,17.0,7
51,El Salvador,Latin America,1,1,0,0,0.0,2
52,Swaziland,Africa,1,1,4,0,4.0,1
53,Cameroon,Africa,1,1,1,1,1.0,3
54,Uganda,Africa,1,1,18,6,18.0,15
55,Benin,Africa,1,1,0,0,0.0,0
56,Uruguay,Latin America,1,1,4,0,4.0,2
57,Burkina Faso,Africa,1,1,18,3,18.0,1
58,Hungary,Eastern Europe,1,1,19,1,19.0,4
59,Romania,Eastern Europe,1,1,0,0,0.0,4
60,Lithuania,Eastern Europe,1,1,19,0,19.0,3
61,Morocco,Africa,1,1,0,0,0.0,2
62,Malta,Western Europe,1,1,3,0,3.0,3
63,Argentina,Latin America,1,1,20,0,20.0,11
64,Greece,Western Europe,1,1,4,0,4.0,17
65,Ethiopia,Africa,1,1,11,1,11.0,4
66,Pakistan,Asiatic Region,1,1,4,1,4.0,7
67,Poland,Eastern Europe,1,1,9,1,9.0,10
68,Zimbabwe,Africa,1,1,29,6,29.0,6
