Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,270,264,4253,2038,15.75,100
2,United Kingdom,Western Europe,79,70,720,367,9.11,54
3,Australia,Pacific Region,19,19,219,59,11.53,45
4,France,Western Europe,16,16,103,77,6.44,14
5,Canada,Northern America,16,16,373,83,23.31,56
6,Sweden,Western Europe,6,6,99,28,16.5,39
7,South Africa,Africa,3,3,12,2,4.0,18
8,Hong Kong,Asiatic Region,3,3,31,3,10.33,19
9,Japan,Asiatic Region,3,3,17,5,5.67,16
10,Turkey,Middle East,2,2,56,4,28.0,22
11,Ireland,Western Europe,1,1,0,0,0.0,26
12,Italy,Western Europe,1,1,2,0,2.0,27
13,Brunei Darussalam,Asiatic Region,1,1,4,0,4.0,2
14,South Korea,Asiatic Region,1,1,9,0,9.0,37
15,Malawi,Africa,1,1,18,3,18.0,4
16,New Zealand,Pacific Region,1,1,80,1,80.0,20
17,Poland,Eastern Europe,1,1,1,0,1.0,8
18,Cyprus,Western Europe,1,1,2,0,2.0,5
19,Singapore,Asiatic Region,1,1,20,10,20.0,11
20,Taiwan,Asiatic Region,1,1,42,6,42.0,20
21,Spain,Western Europe,1,1,32,0,32.0,18
22,Brazil,Latin America,1,1,7,0,7.0,15
23,Estonia,Eastern Europe,1,1,10,3,10.0,7
