Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,288,237,2991,1682,10.39,68
2,France,Western Europe,48,46,19,12,0.4,4
3,Germany,Western Europe,47,43,65,39,1.38,9
4,Australia,Pacific Region,37,21,25,18,0.68,15
5,Canada,Northern America,14,8,32,7,2.29,16
6,United Kingdom,Western Europe,7,5,85,25,12.14,18
7,India,Asiatic Region,3,3,8,3,2.67,8
8,Brazil,Latin America,3,3,33,13,11.0,10
9,Iceland,Western Europe,3,0,1,0,0.33,1
10,Hong Kong,Asiatic Region,2,2,1,0,0.5,11
11,Taiwan,Asiatic Region,2,2,23,0,11.5,12
12,Spain,Western Europe,2,2,1,0,0.5,7
13,Russian Federation,Eastern Europe,2,2,0,0,0.0,7
14,South Africa,Africa,1,0,14,0,14.0,2
15,China,Asiatic Region,1,1,3,1,3.0,13
16,Colombia,Latin America,1,1,0,0,0.0,2
17,Egypt,Africa/Middle East,1,0,0,0,0.0,5
18,Italy,Western Europe,1,1,2,0,2.0,2
19,Nigeria,Africa,1,1,5,1,5.0,3
20,New Zealand,Pacific Region,1,1,8,0,8.0,6
21,Poland,Eastern Europe,1,1,0,0,0.0,4
22,Puerto Rico,Latin America,1,1,0,0,0.0,1
23,Portugal,Western Europe,1,1,0,0,0.0,6
24,Saudi Arabia,Middle East,1,1,0,0,0.0,3
25,Thailand,Asiatic Region,1,1,2,0,2.0,6
26,Argentina,Latin America,1,1,0,0,0.0,1
