Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,Spain,Western Europe,71,61,229,185,3.23,23
2,United Kingdom,Western Europe,70,56,1013,331,14.47,50
3,United States,Northern America,53,50,1180,543,22.26,65
4,Australia,Pacific Region,39,30,520,201,13.33,47
5,Hong Kong,Asiatic Region,6,4,43,5,7.17,16
6,Canada,Northern America,6,6,96,24,16.0,35
7,Ireland,Western Europe,6,5,17,2,2.83,30
8,Italy,Western Europe,4,3,37,28,9.25,15
9,Brazil,Latin America,4,3,57,30,14.25,15
10,New Zealand,Pacific Region,4,3,13,5,3.25,19
11,Norway,Western Europe,3,3,68,7,22.67,18
12,Japan,Asiatic Region,2,2,15,1,7.5,22
13,South Korea,Asiatic Region,2,2,17,8,8.5,17
14,Kuwait,Middle East,2,1,3,0,1.5,4
15,Sweden,Western Europe,2,2,35,4,17.5,22
16,Chile,Latin America,1,1,5,0,5.0,6
17,Lebanon,Middle East,1,1,4,0,4.0,6
18,Malta,Western Europe,1,1,57,2,57.0,11
19,Mexico,Latin America,1,1,12,0,12.0,6
20,Malaysia,Asiatic Region,1,0,7,5,7.0,11
21,Netherlands,Western Europe,1,1,21,5,21.0,21
22,Germany,Western Europe,1,1,10,1,10.0,11
23,China,Asiatic Region,1,1,3,3,3.0,13
24,South Africa,Africa,1,0,2,0,2.0,14
25,India,Asiatic Region,1,1,0,0,0.0,13
26,Denmark,Western Europe,1,0,2,0,2.0,13
27,Turkey,Middle East,1,1,4,0,4.0,15
