Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5066,4743,35967,19024,7.1,58
2,United Kingdom,Western Europe,1014,710,4935,1732,4.87,28
3,Australia,Pacific Region,308,276,2090,604,6.79,21
4,Canada,Northern America,288,270,2670,512,9.27,25
5,Ireland,Western Europe,53,42,322,43,6.08,10
6,Germany,Western Europe,42,41,65,16,1.55,4
7,New Zealand,Pacific Region,41,36,237,27,5.78,8
8,South Korea,Asiatic Region,37,37,275,53,7.43,8
9,Singapore,Asiatic Region,35,26,128,17,3.66,6
10,Taiwan,Asiatic Region,33,31,209,32,6.33,9
11,Netherlands,Western Europe,31,24,246,63,7.94,9
12,China,Asiatic Region,28,28,106,27,3.79,6
13,Sweden,Western Europe,24,18,173,42,7.21,8
14,Japan,Asiatic Region,24,21,81,14,3.38,6
15,Hong Kong,Asiatic Region,23,17,111,14,4.83,6
16,Finland,Western Europe,23,21,189,30,8.22,9
17,Turkey,Middle East,19,19,92,29,4.84,6
18,India,Asiatic Region,18,13,73,11,4.06,5
19,South Africa,Africa,16,11,50,13,3.13,4
20,Spain,Western Europe,16,15,73,10,4.56,4
21,Italy,Western Europe,14,14,92,18,6.57,6
22,Thailand,Asiatic Region,14,13,47,2,3.36,2
23,Iran,Middle East,14,13,52,11,3.71,4
24,Jordan,Middle East,13,13,94,10,7.23,6
25,Brazil,Latin America,12,10,100,31,8.33,5
26,Saudi Arabia,Middle East,12,12,131,23,10.92,7
27,Malaysia,Asiatic Region,11,10,44,8,4.0,4
28,Pakistan,Asiatic Region,10,10,71,4,7.1,6
29,Israel,Middle East,10,10,87,6,8.7,5
30,Mexico,Latin America,8,8,4,0,0.5,1
31,Nepal,Asiatic Region,7,3,27,8,3.86,3
32,Sri Lanka,Asiatic Region,6,5,20,5,3.33,3
33,Portugal,Western Europe,6,4,24,2,4.0,3
34,Norway,Western Europe,6,6,35,6,5.83,3
35,Russian Federation,Eastern Europe,5,5,25,0,5.0,3
36,Georgia,Eastern Europe,5,5,50,0,10.0,3
37,Switzerland,Western Europe,5,4,26,8,5.2,3
38,Dominican Republic,Latin America,4,0,2,0,0.5,1
39,Lebanon,Middle East,4,4,20,1,5.0,2
40,France,Western Europe,4,3,19,3,4.75,2
41,Rwanda,Africa,4,3,4,1,1.0,1
42,Qatar,Middle East,4,4,104,6,26.0,3
43,Iraq,Middle East,4,3,17,3,4.25,1
44,United Arab Emirates,Middle East,4,4,4,0,1.0,1
45,Egypt,Africa/Middle East,4,4,27,5,6.75,2
46,Austria,Western Europe,3,1,11,0,3.67,2
47,Jamaica,Latin America,3,3,4,2,1.33,1
48,Malawi,Africa,3,2,1,0,0.33,1
49,Bahrain,Middle East,3,3,62,6,20.67,3
50,Belgium,Western Europe,3,3,4,3,1.33,1
51,Brunei Darussalam,Asiatic Region,2,1,1,1,0.5,1
52,Chile,Latin America,2,1,17,15,8.5,1
53,Denmark,Western Europe,2,2,14,0,7.0,2
54,Indonesia,Asiatic Region,2,2,26,4,13.0,1
55,Kuwait,Middle East,2,2,5,0,2.5,1
56,Malta,Western Europe,2,1,10,0,5.0,2
57,Oman,Middle East,2,2,41,2,20.5,2
58,Philippines,Asiatic Region,2,2,23,0,11.5,1
59,Slovenia,Eastern Europe,2,2,14,2,7.0,2
60,Uganda,Africa,2,1,17,2,8.5,2
61,Kenya,Africa,1,1,2,0,2.0,1
62,Hungary,Eastern Europe,1,1,4,0,4.0,1
63,Romania,Eastern Europe,1,1,0,0,0.0,0
64,Serbia,Eastern Europe,1,1,6,0,6.0,1
65,Haïti,Latin America,1,1,2,1,2.0,1
66,Croatia,Eastern Europe,1,1,9,5,9.0,1
67,Greece,Western Europe,1,1,0,0,0.0,0
68,Estonia,Eastern Europe,1,1,20,0,20.0,1
69,Dominica,Latin America,1,1,2,0,2.0,1
70,Afghanistan,Asiatic Region,1,1,2,0,2.0,1
71,Botswana,Africa,1,1,3,2,3.0,1
72,Bulgaria,Eastern Europe,1,0,1,0,1.0,1
73,Barbados,Latin America,1,1,3,0,3.0,1
74,Zambia,Africa,1,1,8,1,8.0,1
75,Panama,Latin America,1,1,1,0,1.0,1
76,Aruba,Latin America,1,1,2,0,2.0,1
77,Lithuania,Eastern Europe,1,1,3,0,3.0,1
