Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,302,263,824,459,2.73,58
2,United Kingdom,Western Europe,84,36,208,83,2.48,28
3,Canada,Northern America,26,21,56,17,2.15,25
4,Australia,Pacific Region,20,12,40,7,2.0,21
5,South Korea,Asiatic Region,7,7,23,4,3.29,8
6,Germany,Western Europe,7,6,3,0,0.43,4
7,Finland,Western Europe,6,5,84,4,14.0,9
8,China,Asiatic Region,5,5,29,10,5.8,6
9,Sweden,Western Europe,4,2,29,7,7.25,8
10,Japan,Asiatic Region,4,1,7,0,1.75,6
11,Ireland,Western Europe,4,3,64,6,16.0,10
12,India,Asiatic Region,4,2,4,1,1.0,5
13,Malaysia,Asiatic Region,3,2,12,2,4.0,4
14,Netherlands,Western Europe,3,2,24,4,8.0,9
15,New Zealand,Pacific Region,3,2,10,2,3.33,8
16,South Africa,Africa,2,1,2,0,1.0,4
17,Spain,Western Europe,2,2,11,2,5.5,4
18,Hong Kong,Asiatic Region,2,0,9,0,4.5,6
19,Italy,Western Europe,2,2,10,2,5.0,6
20,Kuwait,Middle East,2,2,5,0,2.5,1
21,Sri Lanka,Asiatic Region,2,1,4,1,2.0,3
22,Portugal,Western Europe,2,2,10,2,5.0,3
23,Turkey,Middle East,2,2,3,0,1.5,6
24,Norway,Western Europe,1,1,10,1,10.0,3
25,Nepal,Asiatic Region,1,0,21,2,21.0,3
26,Iran,Middle East,1,1,4,1,4.0,4
27,Chile,Latin America,1,0,0,0,0.0,1
28,Qatar,Middle East,1,1,6,0,6.0,3
29,Denmark,Western Europe,1,1,10,0,10.0,2
30,Singapore,Asiatic Region,1,1,10,0,10.0,6
31,United Arab Emirates,Middle East,1,1,3,0,3.0,1
32,Taiwan,Asiatic Region,1,1,1,0,1.0,9
33,Mexico,Latin America,1,1,3,0,3.0,1
34,Malta,Western Europe,1,0,7,0,7.0,2
