Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4830,4629,203774,71716,42.19,482
2,China,Asiatic Region,2695,2686,73171,34176,27.15,229
3,India,Asiatic Region,2548,2529,61442,24939,24.11,240
4,Japan,Asiatic Region,1568,1554,40303,9076,25.7,202
5,United Kingdom,Western Europe,1303,1245,48422,7797,37.16,300
6,Italy,Western Europe,1286,1257,48377,10460,37.62,239
7,Germany,Western Europe,1172,1145,44352,8873,37.84,248
8,France,Western Europe,882,868,35270,5479,39.99,213
9,South Korea,Asiatic Region,862,850,23261,5457,26.98,157
10,Spain,Western Europe,568,560,21759,4059,38.31,179
11,Brazil,Latin America,506,500,16272,5196,32.16,157
12,Canada,Northern America,501,490,17763,2410,35.46,185
13,Iran,Middle East,379,379,11629,4715,30.68,143
14,Australia,Pacific Region,351,344,14478,2426,41.25,174
15,Switzerland,Western Europe,334,321,14306,1699,42.83,199
16,Belgium,Western Europe,297,290,13399,1702,45.11,163
17,Taiwan,Asiatic Region,292,292,9889,1654,33.87,124
18,Russian Federation,Eastern Europe,271,269,4590,1519,16.94,98
19,Poland,Eastern Europe,266,265,6489,1596,24.39,123
20,Turkey,Middle East,217,217,7741,2128,35.67,145
21,Netherlands,Western Europe,214,208,8545,1073,39.93,150
22,Sweden,Western Europe,207,202,7341,970,35.46,145
23,Egypt,Africa/Middle East,206,205,9744,2366,47.3,126
24,Greece,Western Europe,196,190,6435,1065,32.83,109
25,Thailand,Asiatic Region,185,183,10972,1261,59.31,107
26,Austria,Western Europe,162,154,6579,696,40.61,128
27,Portugal,Western Europe,149,149,6845,1323,45.94,128
28,Nigeria,Africa,147,147,3080,660,20.95,77
29,Argentina,Latin America,128,127,3062,705,23.92,91
30,Denmark,Western Europe,126,124,4713,698,37.4,120
31,Mexico,Latin America,124,123,4333,818,34.94,100
32,Singapore,Asiatic Region,122,119,4399,406,36.06,108
33,Hungary,Eastern Europe,119,119,3687,612,30.98,99
34,South Africa,Africa,114,110,4214,767,36.96,124
35,Pakistan,Asiatic Region,113,112,3787,991,33.51,106
36,Hong Kong,Asiatic Region,112,112,4813,516,42.97,111
37,Malaysia,Asiatic Region,111,111,4673,847,42.1,117
38,Czech Republic,Eastern Europe,106,104,3537,851,33.37,104
39,Israel,Middle East,98,97,3508,388,35.8,116
40,Ireland,Western Europe,93,91,2812,378,30.24,99
41,Finland,Western Europe,89,88,3256,371,36.58,98
42,Cuba,Latin America,70,69,648,157,9.26,61
43,New Zealand,Pacific Region,69,68,2662,284,38.58,99
44,Chile,Latin America,68,67,1485,329,21.84,79
45,Saudi Arabia,Middle East,57,57,1537,380,26.96,113
46,Slovenia,Eastern Europe,56,56,1749,276,31.23,74
47,Norway,Western Europe,55,55,1718,208,31.24,85
48,Serbia,Eastern Europe,50,50,1548,292,30.96,67
49,Cameroon,Africa,47,47,1157,317,24.62,59
50,Bulgaria,Eastern Europe,46,46,1505,140,32.72,75
51,Ukraine,Eastern Europe,44,44,1356,310,30.82,69
52,Viet Nam,Asiatic Region,42,41,1046,115,24.9,55
53,Croatia,Eastern Europe,41,41,1223,256,29.83,68
54,Romania,Eastern Europe,41,39,1213,237,29.59,77
55,Indonesia,Asiatic Region,38,37,1033,151,27.18,64
56,Colombia,Latin America,36,36,1448,216,40.22,59
57,Jordan,Middle East,27,27,948,87,35.11,65
58,Slovakia,Eastern Europe,27,27,1041,135,38.56,65
59,Uruguay,Latin America,26,26,808,137,31.08,55
60,Venezuela,Latin America,23,22,597,54,25.96,49
61,Morocco,Africa,23,23,928,89,40.35,80
62,Algeria,Africa,22,22,605,98,27.5,48
63,Tunisia,Africa,21,21,612,129,29.14,49
64,Lithuania,Eastern Europe,19,19,487,55,25.63,41
65,Bangladesh,Asiatic Region,19,19,480,43,25.26,57
66,Cyprus,Western Europe,17,17,400,70,23.53,36
67,Estonia,Eastern Europe,15,15,228,87,15.2,38
68,Ethiopia,Africa,14,14,664,199,47.43,42
69,Macao,Asiatic Region,13,13,697,34,53.62,64
70,Kuwait,Middle East,13,12,368,83,28.31,44
71,Sudan,Africa,13,13,312,26,24.0,39
72,Sri Lanka,Asiatic Region,12,12,191,15,15.92,36
73,Peru,Latin America,12,12,421,49,35.08,46
74,Kenya,Africa,12,12,322,69,26.83,49
75,Lebanon,Middle East,11,11,275,33,25.0,44
76,Iraq,Middle East,11,11,324,38,29.45,57
77,Palestine,Middle East,11,11,382,82,34.73,35
78,Costa Rica,Latin America,10,10,192,11,19.2,37
79,United Arab Emirates,Middle East,9,9,306,35,34.0,55
80,French Polynesia,Pacific Region,9,8,208,28,23.11,20
81,Ghana,Africa,9,9,294,52,32.67,37
82,Uzbekistan,Asiatic Region,9,9,111,10,12.33,31
83,Armenia,Eastern Europe,9,9,65,25,7.22,29
84,Libya,Africa,8,8,152,20,19.0,23
85,Oman,Middle East,8,8,110,5,13.75,36
86,Luxembourg,Western Europe,8,8,266,9,33.25,38
87,Tanzania,Africa,8,7,139,8,17.38,35
88,Belarus,Eastern Europe,8,8,65,31,8.13,27
89,Philippines,Asiatic Region,7,7,221,11,31.57,41
90,Panama,Latin America,7,7,195,9,27.86,42
91,Latvia,Eastern Europe,7,7,146,22,20.86,37
92,Georgia,Eastern Europe,7,7,51,3,7.29,31
93,Botswana,Africa,6,6,165,22,27.5,29
94,New Caledonia,Pacific Region,5,5,143,7,28.6,28
95,Mozambique,Africa,5,5,461,48,92.2,21
96,Puerto Rico,Latin America,5,5,82,9,16.4,39
97,Iceland,Western Europe,5,5,96,11,19.2,34
98,Mongolia,Asiatic Region,5,5,77,7,15.4,23
99,Uganda,Africa,4,4,137,18,34.25,33
100,Madagascar,Africa,4,4,107,7,26.75,31
101,Mali,Africa,4,4,85,6,21.25,32
102,Jamaica,Latin America,4,4,31,12,7.75,24
103,Papua New Guinea,Pacific Region,4,4,73,5,18.25,30
104,Burkina Faso,Africa,4,4,56,5,14.0,31
105,Malta,Western Europe,3,3,69,3,23.0,18
106,Nepal,Asiatic Region,3,3,168,5,56.0,30
107,Ecuador,Latin America,3,3,11,3,3.67,27
108,Gabon,Africa,3,3,20,1,6.67,16
109,Yemen,Middle East,3,3,40,10,13.33,29
110,Guam,Pacific Region,3,3,83,1,27.67,31
