Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2310,2293,71414,24990,30.92,442
2,Japan,Asiatic Region,1281,1276,27056,7268,21.12,227
3,United Kingdom,Western Europe,754,699,19149,3583,25.4,254
4,Germany,Western Europe,631,628,12982,2462,20.57,253
5,France,Western Europe,481,475,8040,1506,16.72,198
6,India,Asiatic Region,322,316,4060,2015,12.61,249
7,Spain,Western Europe,302,302,5546,982,18.36,174
8,Italy,Western Europe,288,288,6419,1098,22.29,186
9,Canada,Northern America,243,239,7391,984,30.42,179
10,China,Asiatic Region,223,222,2621,1144,11.75,235
11,Taiwan,Asiatic Region,167,165,3767,687,22.56,126
12,Netherlands,Western Europe,151,146,4748,637,31.44,178
13,Poland,Eastern Europe,145,144,1300,542,8.97,101
14,Belgium,Western Europe,141,141,3948,480,28.0,157
15,South Korea,Asiatic Region,141,141,2756,979,19.55,195
16,Switzerland,Western Europe,136,132,5123,572,37.67,170
17,Turkey,Middle East,114,114,2005,425,17.59,120
18,Austria,Western Europe,110,110,1119,274,10.17,113
19,Brazil,Latin America,101,101,1341,614,13.28,134
20,Australia,Pacific Region,95,95,2425,444,25.53,163
21,Sweden,Western Europe,90,88,4204,594,46.71,148
22,Egypt,Africa/Middle East,87,86,1208,199,13.89,121
23,Czech Republic,Eastern Europe,87,87,964,221,11.08,89
24,Hungary,Eastern Europe,84,84,926,243,11.02,83
25,Slovakia,Eastern Europe,74,74,591,159,7.99,61
26,Saudi Arabia,Middle East,61,60,525,93,8.61,108
27,Slovenia,Eastern Europe,56,56,180,78,3.21,71
28,Finland,Western Europe,51,51,895,132,17.55,112
29,Denmark,Western Europe,51,51,1958,247,38.39,127
30,Israel,Middle East,45,45,1067,200,23.71,115
31,Argentina,Latin America,38,37,401,104,10.55,74
32,Greece,Western Europe,36,36,802,121,22.28,109
33,Russian Federation,Eastern Europe,30,30,824,152,27.47,89
34,Nigeria,Africa,30,30,584,73,19.47,61
35,New Zealand,Pacific Region,28,28,612,77,21.86,100
36,South Africa,Africa,28,27,658,40,23.5,96
37,Mexico,Latin America,27,26,624,203,23.11,82
38,Thailand,Asiatic Region,26,26,958,99,36.85,111
39,Croatia,Eastern Europe,25,25,232,43,9.28,65
40,Ireland,Western Europe,24,24,316,49,13.17,104
41,Cuba,Latin America,22,22,209,69,9.5,55
42,Portugal,Western Europe,22,22,545,66,24.77,136
43,Norway,Western Europe,21,21,1078,51,51.33,87
44,Iran,Middle East,20,19,396,163,19.8,135
45,Hong Kong,Asiatic Region,18,18,351,40,19.5,103
46,Jordan,Middle East,14,14,66,12,4.71,65
47,Iceland,Western Europe,14,14,2439,146,174.21,59
48,Bulgaria,Eastern Europe,12,12,85,34,7.08,52
49,Malaysia,Asiatic Region,11,10,249,46,22.64,111
50,Puerto Rico,Latin America,10,10,174,14,17.4,47
51,Singapore,Asiatic Region,10,10,411,21,41.1,134
52,United Arab Emirates,Middle East,9,9,152,5,16.89,50
53,Chile,Latin America,9,9,272,17,30.22,67
54,Kenya,Africa,9,9,95,23,10.56,32
55,Serbia,Eastern Europe,9,9,96,20,10.67,58
56,Pakistan,Asiatic Region,8,8,111,12,13.88,86
57,Macedonia,Eastern Europe,8,8,46,6,5.75,22
58,Romania,Eastern Europe,8,8,80,10,10.0,71
59,Indonesia,Asiatic Region,6,6,134,24,22.33,60
60,Sudan,Africa,5,5,20,2,4.0,33
61,Paraguay,Latin America,5,5,204,6,40.8,18
62,Kuwait,Middle East,4,4,70,5,17.5,40
63,New Caledonia,Pacific Region,4,4,125,7,31.25,22
64,Venezuela,Latin America,4,4,91,16,22.75,35
65,Philippines,Asiatic Region,4,4,187,6,46.75,33
66,Viet Nam,Asiatic Region,4,4,97,11,24.25,54
67,Costa Rica,Latin America,3,3,169,3,56.33,27
68,Algeria,Africa,3,3,44,21,14.67,41
69,Dominican Republic,Latin America,3,3,32,0,10.67,9
70,Ethiopia,Africa,3,3,14,5,4.67,35
71,Panama,Latin America,3,3,75,4,25.0,35
72,Peru,Latin America,3,2,20,3,6.67,33
73,Zimbabwe,Africa,3,3,113,1,37.67,17
74,Morocco,Africa,3,3,81,18,27.0,54
75,Belarus,Eastern Europe,2,2,9,2,4.5,28
76,Madagascar,Africa,2,2,29,2,14.5,31
77,Mauritius,Africa,2,2,47,10,23.5,21
78,Jamaica,Latin America,2,2,16,2,8.0,16
79,Oman,Middle East,2,2,71,0,35.5,31
80,Colombia,Latin America,2,2,49,7,24.5,46
81,Cameroon,Africa,2,2,24,6,12.0,44
82,Congo,Africa,2,2,131,2,65.5,22
83,Trinidad and Tobago,Latin America,2,2,38,2,19.0,19
84,Bolivia,Latin America,2,2,57,1,28.5,26
85,Tanzania,Africa,2,2,59,1,29.5,28
86,Bangladesh,Asiatic Region,2,2,33,3,16.5,50
87,Armenia,Eastern Europe,2,2,32,0,16.0,23
88,Côte d’Ivoire,Africa,1,1,20,4,20.0,20
89,Senegal,Africa,1,1,27,1,27.0,10
90,Guatemala,Latin America,1,1,19,0,19.0,11
91,Tunisia,Africa,1,1,48,3,48.0,46
92,Luxembourg,Western Europe,1,1,6,0,6.0,29
93,Monaco,Western Europe,1,1,4,0,4.0,14
94,Yemen,Middle East,1,1,40,1,40.0,21
95,Lithuania,Eastern Europe,1,1,25,0,25.0,36
96,Ukraine,Eastern Europe,1,1,9,1,9.0,41
97,Estonia,Eastern Europe,1,1,6,0,6.0,44
98,Papua New Guinea,Pacific Region,1,1,10,0,10.0,24
99,Georgia,Eastern Europe,1,1,69,16,69.0,27
100,Cyprus,Western Europe,1,1,6,0,6.0,30
101,Nepal,Asiatic Region,1,0,12,2,12.0,23
102,Guadeloupe,Latin America,1,1,0,0,0.0,1
103,Uganda,Africa,1,1,0,0,0.0,15
104,Zambia,Africa,1,1,39,0,39.0,8
